期間,出生人數_原始值,出生人數_年增率(%),粗出生率(0/00)_原始值,粗出生率(0/00)_年增率(%),男性出生人數_原始值,男性出生人數_年增率(%),女性出生人數_原始值,女性出生人數_年增率(%),死亡人數_原始值,死亡人數_年增率(%),粗死亡率(0/00)_原始值,粗死亡率(0/00)_年增率(%),男性死亡人數_原始值,男性死亡人數_年增率(%),女性死亡人數_原始值,女性死亡人數_年增率(%),自然增加-人數_原始值,自然增加-人數_年增率(%),自然增加-增加率(0/00)_原始值,自然增加-增加率(0/00)_年增率(%),社會增加-增加人數_原始值,社會增加-增加人數_年增率(%),社會增加-增加率(0/00)_原始值,社會增加-增加率(0/00)_年增率(%),總增加-增加人數_原始值,總增加-增加人數_年增率(%),總增加-總增加率(0/00)_原始值,總增加-總增加率(0/00)_年增率(%),婚生-計_原始值,婚生-計_年增率(%),婚生-男性_原始值,婚生-男性_年增率(%),婚生-女性_原始值,婚生-女性_年增率(%),非婚生-已認領-計_原始值,非婚生-已認領-計_年增率(%),非婚生-已認領-男性_原始值,非婚生-已認領-男性_年增率(%),非婚生-已認領-女性_原始值,非婚生-已認領-女性_年增率(%),非婚生-未認領-計_原始值,非婚生-未認領-計_年增率(%),非婚生-未認領-男性_原始值,非婚生-未認領-男性_年增率(%),非婚生-未認領-女性_原始值,非婚生-未認領-女性_年增率(%),棄嬰或無依兒童-計_原始值,棄嬰或無依兒童-計_年增率(%),棄嬰或無依兒童-男性_原始值,棄嬰或無依兒童-男性_年增率(%),棄嬰或無依兒童-女性_原始值,棄嬰或無依兒童-女性_年增率(%),出生登記人數-遺腹子-計_原始值,出生登記人數-遺腹子-計_年增率(%),出生登記人數-遺腹子-男性_原始值,出生登記人數-遺腹子-男性_年增率(%),出生登記人數-遺腹子-女性_原始值,出生登記人數-遺腹子-女性_年增率(%),出生登記人數-雙生者-計_原始值,出生登記人數-雙生者-計_年增率(%),出生登記人數-雙生者-男性_原始值,出生登記人數-雙生者-男性_年增率(%),出生登記人數-雙生者-女性_原始值,出生登記人數-雙生者-女性_年增率(%),出生登記人數-三生以上者-計_原始值,出生登記人數-三生以上者-計_年增率(%),出生登記人數-三生以上者-男性_原始值,出生登記人數-三生以上者-男性_年增率(%),出生登記人數-三生以上者-女性_原始值,出生登記人數-三生以上者-女性_年增率(%)
2011M11,"18,443",19.71,0.79,-,"9,523",17.70,"8,920",21.94,"12,109",-2.69,0.52,-,"7,538",-0.66,"4,571",-5.87,"6,334",-,0.27,-,"2,681",-,0.12,-,"9,015",-,0.39,-,"17,799",20.87,"9,205",19.04,"8,594",22.89,248,-6.06,119,-8.46,129,-3.73,395,-4.82,199,-12.72,196,4.81,1,0.00,0,--,1,0.00,4,0.00,4,100.00,0,-100.00,526,23.47,257,12.72,269,35.86,9,125.00,6,200.00,3,50.00
2011M12,"18,703",22.92,0.81,-,"9,597",22.11,"9,106",23.79,"12,725",-1.26,0.55,-,"7,842",-0.90,"4,883",-1.83,"5,978",-,0.26,-,"4,314",-,0.19,-,"10,292",-,0.44,-,"18,021",23.75,"9,246",23.08,"8,775",24.47,273,3.41,138,4.55,135,2.27,406,5.18,210,-1.41,196,13.29,3,0.00,3,50.00,0,-100.00,7,133.33,3,200.00,4,100.00,627,42.82,316,43.64,311,42.01,22,266.67,11,120.00,11,"1,000.00"
2012M01,"15,296",4.03,0.66,-,"7,955",5.22,"7,341",2.77,"12,991",-9.24,0.56,-,"7,979",-9.46,"5,012",-8.87,"2,305",-,0.10,-,"3,289",-,0.14,-,"5,594",-,0.24,-,"14,732",4.60,"7,657",5.89,"7,075",3.24,205,-25.18,103,-29.93,102,-19.69,357,3.48,193,6.04,164,0.61,2,--,2,--,0,--,0,-100.00,0,-100.00,0,-100.00,525,12.90,268,30.73,257,-1.15,6,-33.33,4,-33.33,2,-33.33
2012M02,"17,500",42.62,0.75,-,"9,171",42.41,"8,329",42.86,"14,318",12.01,0.62,-,"8,686",10.13,"5,632",15.03,"3,182",-,0.14,-,315,-,0.01,-,"3,497",-,0.15,-,"16,872",43.31,"8,841",43.29,"8,031",43.33,264,26.92,132,14.78,132,41.94,364,26.39,198,27.74,166,24.81,0,-100.00,0,--,0,-100.00,0,-100.00,0,--,0,-100.00,607,70.03,333,112.10,274,37.00,15,--,9,--,6,--
2012M03,"19,283",10.04,0.83,-,"9,940",10.10,"9,343",9.97,"14,487",-9.50,0.62,-,"8,778",-9.84,"5,709",-8.96,"4,796",-,0.21,-,469,-,0.02,-,"5,265",-,0.23,-,"18,580",10.35,"9,553",9.73,"9,027",11.02,295,14.79,158,33.90,137,-1.44,406,-5.14,228,12.32,178,-20.89,2,0.00,1,0.00,1,0.00,4,100.00,1,--,3,50.00,631,19.06,347,21.75,284,15.92,10,-33.33,8,0.00,2,-71.43
2012M04,"17,405",15.35,0.75,-,"8,957",14.12,"8,448",16.69,"12,919",-2.91,0.56,-,"7,818",-4.61,"5,101",-0.18,"4,486",-,0.19,-,"1,264",-,0.05,-,"5,750",-,0.25,-,"16,815",15.82,"8,655",14.30,"8,160",17.48,216,-9.62,114,7.55,102,-23.31,372,12.39,187,9.36,185,15.62,2,100.00,1,--,1,0.00,8,100.00,3,0.00,5,400.00,604,25.57,310,28.63,294,22.50,6,-50.00,2,-50.00,4,-50.00
2012M05,"18,542",14.41,0.80,-,"9,527",13.17,"9,015",15.76,"13,120",1.67,0.56,-,"7,977",2.16,"5,143",0.90,"5,422",-,0.23,-,"1,952",-,0.08,-,"7,374",-,0.32,-,"17,865",14.42,"9,176",12.98,"8,689",15.99,255,14.86,140,19.66,115,9.52,420,13.51,211,18.54,209,8.85,2,100.00,0,-100.00,2,--,1,0.00,1,--,0,-100.00,572,3.62,298,4.93,274,2.24,9,0.00,4,100.00,5,-28.57
2012M06,"19,482",22.79,0.84,-,"10,192",23.81,"9,290",21.69,"11,719",-3.13,0.50,-,"7,053",-5.43,"4,666",0.56,"7,763",-,0.33,-,"1,592",-,0.07,-,"9,355",-,0.40,-,"18,792",23.25,"9,826",24.30,"8,966",22.12,267,4.30,145,5.07,122,3.39,420,16.34,219,16.49,201,16.18,3,50.00,2,100.00,1,0.00,3,0.00,1,0.00,2,0.00,682,27.72,358,35.61,324,20.00,6,-33.33,3,50.00,3,-57.14
2012M07,"16,897",6.36,0.73,-,"8,806",5.73,"8,091",7.05,"13,576",21.86,0.58,-,"8,190",21.26,"5,386",22.77,"3,321",-,0.14,-,"3,304",-,0.14,-,"6,625",-,0.28,-,"16,209",5.89,"8,445",5.26,"7,764",6.59,279,25.11,153,22.40,126,28.57,408,14.61,207,14.36,201,14.86,1,0.00,1,--,0,-100.00,4,300.00,1,0.00,3,--,605,29.27,301,22.36,304,36.94,21,75.00,14,133.33,7,16.67
2012M08,"19,615",16.78,0.84,-,"10,020",16.03,"9,595",17.57,"12,726",3.57,0.55,-,"7,696",2.01,"5,030",6.05,"6,889",-,0.30,-,"1,180",-,0.05,-,"8,069",-,0.35,-,"18,913",17.20,"9,661",16.59,"9,252",17.83,298,18.25,160,21.21,138,15.00,404,-0.49,199,-8.29,205,8.47,0,-100.00,0,-100.00,0,--,3,200.00,3,200.00,0,--,690,38.00,332,45.61,358,31.62,7,-41.67,4,-33.33,3,-50.00
