期間,合計_原始值,合計_年增率(%),食品及飲料製造業_原始值,食品及飲料製造業_年增率(%),食品及飲料製造業-飲料製造業_原始值,食品及飲料製造業-飲料製造業_年增率(%),菸草製造業_原始值,菸草製造業_年增率(%),紡織業_原始值,紡織業_年增率(%),成衣及服飾品製造業_原始值,成衣及服飾品製造業_年增率(%),皮革、毛皮及其製品製造業_原始值,皮革、毛皮及其製品製造業_年增率(%),木竹製品製造業_原始值,木竹製品製造業_年增率(%),紙漿、紙及紙製品製造業_原始值,紙漿、紙及紙製品製造業_年增率(%),印刷及資料儲存媒體複製業_原始值,印刷及資料儲存媒體複製業_年增率(%),石油及煤製品製造業_原始值,石油及煤製品製造業_年增率(%),化學材料製造業_原始值,化學材料製造業_年增率(%),化學製品製造業_原始值,化學製品製造業_年增率(%),化學製品製造業-藥品製造業_原始值,化學製品製造業-藥品製造業_年增率(%),橡膠製品製造業_原始值,橡膠製品製造業_年增率(%),塑膠製品製造業_原始值,塑膠製品製造業_年增率(%),非金屬礦物製品製造業_原始值,非金屬礦物製品製造業_年增率(%),基本金屬製造業_原始值,基本金屬製造業_年增率(%),金屬製品製造業_原始值,金屬製品製造業_年增率(%),電子零組件製造業_原始值,電子零組件製造業_年增率(%),電腦、電子產品及光學製品製造業_原始值,電腦、電子產品及光學製品製造業_年增率(%),電力設備製造業_原始值,電力設備製造業_年增率(%),機械設備製造業_原始值,機械設備製造業_年增率(%),運輸工具製造業_原始值,運輸工具製造業_年增率(%),運輸工具製造業-汽車及其零件製造業_原始值,運輸工具製造業-汽車及其零件製造業_年增率(%),家具製造業_原始值,家具製造業_年增率(%),其他製造業_原始值,其他製造業_年增率(%),產業用機械設備維修及安裝業_原始值,產業用機械設備維修及安裝業_年增率(%)
2010M01,"3,499,520",-3.50,"123,285",-6.58,"7,966",-8.38,440,41.03,"127,296",-16.19,"22,477",-11.69,"32,002",-5.19,"10,811",-1.96,"43,874",5.36,"22,895",-4.44,"183,484",-13.59,"212,748",-10.90,"80,215",-1.64,"18,429",-7.72,"26,537",-23.77,"131,332",-7.00,"88,556",9.56,"316,975",9.12,"242,451",-2.57,"1,075,693",-0.88,"297,494",4.68,"135,701",-8.30,"126,502",-9.49,"140,197",-11.86,"82,950",-5.70,"15,945",1.67,"36,805",-8.65,"5,805",7.80
2010M02,"3,526,068",0.17,"125,309",4.00,"8,240",13.99,367,16.14,"129,570",-11.92,"22,537",-6.88,"32,490",-10.06,"10,572",-2.93,"45,334",9.00,"23,119",-3.21,"167,628",-6.49,"215,126",-3.32,"81,306",5.46,"18,594",-4.46,"27,263",-18.35,"132,928",-4.62,"85,320",6.88,"324,738",15.79,"244,660",1.28,"1,079,626",-1.25,"313,294",16.66,"137,111",-3.80,"126,374",-9.71,"142,650",-9.12,"84,250",-2.85,"15,532",-1.89,"37,341",-5.12,"5,873",9.47
2010M03,"3,514,294",-0.90,"125,888",5.22,"8,797",22.61,701,102.60,"142,046",-3.33,"20,707",-12.39,"29,983",-15.43,"10,131",-6.82,"47,907",16.02,"23,475",-1.47,"174,537",-15.18,"213,808",-1.37,"75,746",-1.39,"18,393",-7.30,"27,676",-16.17,"132,317",-4.30,"84,407",4.09,"338,441",16.75,"240,579",1.30,"1,086,884",-1.20,"273,682",1.79,"135,635",-4.51,"124,743",-11.40,"144,681",-5.70,"84,468",-2.77,"15,830",0.65,"38,683",-0.30,"5,807",6.81
2010M04,"3,539,986",0.78,"130,113",11.78,"8,704",22.87,970,229.93,"132,678",-2.23,"21,093",-10.01,"28,735",-16.14,"10,200",-4.86,"44,500",8.60,"23,572",1.14,"174,367",-19.01,"216,237",4.09,"71,684",-5.82,"16,804",-14.27,"28,619",-11.11,"133,584",-2.88,"80,764",1.45,"329,505",18.02,"245,082",5.65,"1,075,861",-1.79,"324,386",14.27,"138,519",0.75,"126,546",-10.41,"142,399",-5.27,"83,801",-2.01,"15,764",3.98,"38,793",1.22,"6,015",-0.58
2010M05,"3,655,512",4.20,"130,023",13.75,"8,269",19.17,793,61.84,"128,297",-2.79,"21,658",-10.18,"29,746",-14.08,"10,475",-1.23,"49,553",21.62,"23,643",1.38,"192,070",-12.26,"229,027",8.13,"72,987",-4.24,"17,996",-6.59,"29,300",-7.30,"137,862",0.68,"81,317",3.74,"336,629",18.96,"247,542",7.82,"1,105,335",2.47,"357,834",23.16,"135,958",-2.44,"129,211",-7.32,"144,988",-5.20,"86,604",0.17,"15,679",1.70,"39,483",0.88,"6,102",1.19
2010M06,"3,644,037",2.81,"130,576",7.87,"8,307",18.98,729,153.13,"142,325",1.45,"22,559",-7.22,"29,606",-12.07,"10,661",-5.77,"49,961",13.46,"23,804",-1.77,"186,204",-12.54,"224,060",0.92,"72,350",-8.80,"18,446",-6.17,"30,308",-1.52,"131,575",-6.36,"86,290",2.65,"342,192",22.10,"250,655",5.51,"1,082,559",-1.02,"347,915",28.81,"140,344",-1.07,"131,700",-4.60,"145,757",-5.00,"87,415",1.53,"15,662",-0.15,"39,763",2.64,"6,482",4.06
2010M07,"3,699,697",6.12,"144,250",21.40,"8,437",25.66,552,88.40,"125,458",-2.83,"22,987",-4.37,"29,310",-11.85,"10,694",-1.56,"47,829",20.28,"23,772",0.45,"191,392",-16.82,"213,489",-2.03,"72,261",-3.72,"17,276",-5.65,"30,454",6.19,"132,265",-3.45,"81,565",-0.19,"353,852",24.84,"252,178",9.99,"1,094,167",1.00,"378,552",41.37,"145,515",9.29,"132,147",1.20,"154,569",2.99,"86,970",2.86,"15,748",2.32,"39,857",5.74,"6,834",24.12
2010M08,"3,814,856",8.04,"141,330",16.25,"8,743",21.89,744,160.14,"124,999",-3.76,"23,397",-2.09,"32,635",-3.46,"10,838",0.80,"48,671",18.97,"24,146",0.33,"185,192",-20.62,"220,532",-1.56,"74,382",-3.14,"18,463",4.48,"31,481",7.76,"129,337",-7.57,"89,448",10.27,"364,805",27.74,"258,520",10.06,"1,149,821",5.37,"408,895",51.20,"138,763",1.41,"140,413",6.32,"152,528",0.32,"86,739",4.75,"15,661",-1.06,"40,876",10.66,"7,442",30.01
2010M09,"3,767,552",6.35,"141,353",15.69,"8,755",21.80,741,52.78,"135,316",-1.73,"22,898",-4.23,"32,550",-3.66,"10,973",5.16,"50,466",14.64,"24,733",1.13,"187,622",-16.21,"215,177",-4.30,"73,888",-3.12,"19,062",6.85,"32,004",9.16,"130,782",-5.90,"91,622",15.88,"364,534",22.23,"258,136",9.84,"1,149,030",5.47,"353,757",30.52,"133,173",-3.64,"140,742",6.33,"153,723",2.25,"85,859",2.17,"15,740",1.78,"41,039",9.67,"7,553",32.49
2010M10,"3,821,868",8.42,"139,074",14.78,"8,802",16.99,689,35.10,"127,557",-0.24,"22,969",-0.86,"31,144",-5.81,"10,889",5.06,"49,507",12.91,"25,487",6.47,"194,332",-9.31,"211,231",-5.12,"72,916",-5.13,"19,506",7.56,"32,822",11.61,"131,818",-4.14,"91,147",15.10,"373,393",25.22,"268,859",12.22,"1,144,283",4.98,"397,783",40.07,"132,194",-4.96,"143,283",9.43,"155,554",10.27,"86,348",1.76,"15,867",1.22,"41,093",11.29,"7,977",35.92
