期間,合計_原始值,合計_年增率(%),男_原始值,男_年增率(%),女_原始值,女_年增率(%),15~24歲_原始值,15~24歲_年增率(%),25~44歲_原始值,25~44歲_年增率(%),45~64歲_原始值,45~64歲_年增率(%),65歲以上_原始值,65歲以上_年增率(%),國中及以下_原始值,國中及以下_年增率(%),高中(職)_原始值,高中(職)_年增率(%),大專及以上_原始值,大專及以上_年增率(%),初次尋職者_原始值,初次尋職者_年增率(%),非初次尋職者_原始值,非初次尋職者_年增率(%)
2003M09,30.15,1.21,33.21,3.62,24.99,-1.46,20.91,-2.61,33.33,3.03,34.75,-5.98,2.00,-87.66,33.65,-0.50,29.81,0.85,26.96,6.56,23.66,-7.07,31.87,3.54
2003M10,30.41,-1.59,32.71,0.55,26.54,-4.67,23.23,-2.39,32.68,0.62,34.43,-9.77,3.00,-90.00,31.90,-7.72,30.66,1.66,28.46,3.19,26.92,0.11,31.33,-1.35
2003M11,31.44,1.03,32.96,2.90,28.79,-1.97,24.91,0.93,33.57,5.33,34.68,-10.60,3.00,--,32.47,-5.31,30.96,1.81,30.89,9.11,30.16,2.48,31.73,0.86
2003M12,32.44,1.66,33.53,-0.56,30.43,7.83,25.57,6.32,32.77,0.40,40.03,-1.77,8.00,--,34.90,-3.32,30.98,3.23,31.72,6.66,33.39,4.77,32.25,1.07
2004M01,31.86,2.15,33.24,-1.63,29.35,13.63,22.61,-11.02,33.14,1.38,39.67,15.49,-,--,33.85,4.31,30.87,2.32,30.83,-1.44,31.36,-4.42,31.96,3.46
2004M02,31.22,2.16,31.73,-0.72,30.30,9.31,24.55,-0.85,33.44,5.16,33.61,-1.38,4.00,45.99,31.84,0.41,31.12,2.60,30.66,4.61,30.79,-5.70,31.31,3.61
2004M03,31.84,1.89,33.92,4.21,28.28,-1.50,25.03,2.33,33.34,6.18,35.66,-8.75,-,--,34.03,-0.12,30.92,5.64,30.87,0.36,30.28,-6.14,32.13,3.35
2004M04,30.95,-1.40,33.03,-2.28,27.37,1.86,23.02,-6.65,31.92,2.14,37.37,-4.89,-,--,32.97,-1.49,31.38,6.05,28.26,-10.37,30.65,-5.34,31.00,-0.80
2004M05,29.53,-5.08,31.43,-3.44,26.15,-7.60,20.99,-17.94,30.98,-2.70,35.69,1.22,2.00,-74.46,29.48,-8.79,31.53,4.30,26.84,-12.77,30.78,-8.45,29.29,-4.65
2004M06,29.37,-2.26,30.96,-5.12,26.50,5.37,16.23,-30.16,32.78,4.53,37.42,8.91,2.00,0.00,30.83,1.51,30.99,-1.77,25.74,-5.12,23.68,-16.82,30.62,0.96
2004M07,26.60,-6.70,29.18,-8.47,22.44,-1.67,16.26,-15.53,29.46,-4.81,34.36,-2.61,4.00,-85.71,31.04,1.54,27.53,-6.42,21.46,-13.47,20.22,-20.71,28.45,-2.80
2004M08,26.15,-7.92,29.16,-8.01,21.44,-6.05,18.45,-4.06,27.39,-14.70,34.34,8.16,40.00,"1,233.33",28.55,-10.05,26.35,-6.69,23.90,-4.32,19.36,-17.58,28.13,-5.29
2004M09,27.39,-9.15,29.36,-11.59,24.16,-3.32,20.26,-3.11,29.69,-10.92,31.94,-8.09,-,--,27.17,-19.26,28.55,-4.23,26.16,-2.97,25.16,6.34,28.03,-12.05
2004M10,27.80,-8.58,30.14,-7.86,23.70,-10.70,22.14,-4.69,30.85,-5.60,27.82,-19.20,2.00,-33.33,29.06,-8.90,28.28,-7.76,26.13,-8.19,28.67,6.50,27.55,-12.07
2004M11,29.82,-5.15,32.61,-1.06,24.75,-14.03,21.71,-12.85,31.47,-6.26,36.01,3.84,-,--,32.05,-1.29,29.55,-4.55,28.03,-9.26,27.70,-8.16,30.34,-4.38
2004M12,30.66,-5.49,32.50,-3.07,27.22,-10.55,23.74,-7.16,31.14,-4.97,38.09,-4.85,-,--,31.95,-8.45,29.44,-4.97,31.09,-1.99,32.90,-1.47,30.18,-6.42
2005M01,28.85,-9.45,30.50,-8.24,25.88,-11.82,23.69,4.78,29.86,-9.90,32.37,-18.40,45.34,--,31.22,-7.77,27.78,-10.01,28.17,-8.63,33.46,6.70,27.88,-12.77
2005M02,28.05,-10.15,29.48,-7.09,25.62,-15.45,23.27,-5.21,29.21,-12.65,30.13,-10.35,45.99,"1,049.75",29.90,-6.09,27.09,-12.95,27.51,-10.27,33.36,8.35,27.01,-13.73
2005M03,29.98,-5.84,31.25,-7.87,27.79,-1.73,21.70,-13.30,31.71,-4.89,34.31,-3.79,2.00,--,31.85,-6.41,28.64,-7.37,29.99,-2.85,30.98,2.31,29.78,-7.31
2005M04,30.46,-1.58,31.50,-4.63,28.73,4.97,23.33,1.35,32.43,1.60,33.26,-11.00,4.00,--,31.19,-5.40,30.61,-2.45,29.60,4.74,34.31,11.94,29.79,-3.90
2005M05,29.60,0.24,30.94,-1.56,27.54,5.32,23.40,11.48,30.84,-0.45,33.42,-6.36,12.00,500.00,32.30,9.57,28.98,-8.09,27.92,4.02,34.64,12.54,28.67,-2.12
2005M06,27.47,-6.47,29.69,-4.10,24.23,-8.57,20.39,25.63,27.84,-15.07,35.23,-5.85,9.89,394.50,29.11,-5.58,27.29,-11.94,26.40,2.56,25.98,9.71,27.82,-9.14
2005M07,24.71,-7.11,26.09,-10.59,22.72,1.25,16.09,-1.05,28.45,-3.43,28.44,-17.23,2.40,-40.00,25.88,-16.62,25.74,-6.50,22.91,6.76,18.16,-10.19,26.74,-6.01
2005M08,24.37,-6.81,26.16,-10.29,21.86,1.96,15.38,-16.64,27.93,1.97,28.61,-16.69,27.59,-31.03,29.65,3.85,25.22,-4.29,20.12,-15.82,17.91,-7.49,26.35,-6.33
2005M09,26.36,-3.76,27.75,-5.48,24.49,1.37,18.76,-7.40,27.62,-6.97,35.48,11.08,38.68,--,27.86,2.54,27.46,-3.82,24.12,-7.80,24.23,-3.70,27.03,-3.57
2005M10,26.41,-5.00,27.58,-8.49,24.82,4.73,19.62,-11.38,26.72,-13.39,36.63,31.67,4.14,107.00,25.61,-11.87,27.29,-3.50,25.92,-0.80,27.01,-5.79,26.25,-4.72
2005M11,27.13,-9.02,28.74,-11.87,24.77,0.08,20.56,-5.30,27.44,-12.81,35.62,-1.08,24.13,--,30.38,-5.21,26.37,-10.76,25.84,-7.81,25.30,-8.66,27.57,-9.13
2005M12,28.10,-8.35,29.79,-8.34,25.35,-6.87,21.53,-9.31,29.62,-4.88,32.09,-15.75,27.84,--,29.87,-6.51,26.23,-10.90,28.87,-7.14,28.84,-12.34,27.93,-7.46
2006M01,27.39,-5.06,29.21,-4.23,24.51,-5.29,18.13,-23.47,28.79,-3.58,35.02,8.19,68.00,49.98,30.24,-3.14,25.89,-6.80,26.98,-4.22,27.33,-18.32,27.41,-1.69
2006M02,25.48,-9.16,25.71,-12.79,25.11,-1.99,18.76,-19.38,26.38,-9.69,31.11,3.25,-,--,24.17,-19.16,25.77,-4.87,26.04,-5.34,27.55,-17.42,25.01,-7.40
2006M03,25.25,-15.78,26.07,-16.58,23.98,-13.71,20.27,-6.59,25.36,-20.03,31.15,-9.21,5.97,198.50,25.61,-19.59,23.46,-18.09,27.13,-9.54,28.98,-6.46,24.45,-17.90
2006M04,26.30,-13.66,27.50,-12.70,24.37,-15.18,19.29,-17.32,27.17,-16.22,32.40,-2.59,9.72,143.00,29.06,-6.83,23.66,-22.70,27.37,-7.53,26.59,-22.50,26.24,-11.92
2006M05,25.41,-14.16,26.10,-15.64,24.30,-11.76,19.89,-15.00,26.00,-15.69,30.78,-7.90,14.79,23.25,27.78,-13.99,23.30,-19.60,26.21,-6.12,27.35,-21.05,24.99,-12.84
2006M06,24.22,-11.83,25.96,-12.56,21.63,-10.73,16.48,-19.18,25.58,-8.12,31.52,-10.53,5.61,-43.28,24.10,-17.21,24.77,-9.23,23.72,-10.15,20.78,-20.02,25.09,-9.81
2006M07,20.54,-16.88,23.83,-8.66,15.90,-30.02,13.64,-15.23,22.54,-20.77,25.10,-11.74,6.81,183.75,22.80,-11.90,21.90,-14.92,18.10,-21.00,15.89,-12.50,21.98,-17.80
2006M08,21.91,-10.09,24.31,-7.07,18.69,-14.50,15.90,3.38,24.29,-13.03,23.81,-16.78,7.65,-72.27,24.31,-18.01,21.96,-12.93,20.85,3.63,19.23,7.37,22.74,-13.70
2006M09,23.24,-11.84,24.70,-10.99,21.21,-13.39,17.86,-4.80,23.59,-14.59,30.60,-13.75,5.00,-87.07,25.95,-6.86,23.73,-13.58,21.34,-11.53,23.01,-5.04,23.31,-13.76
2006M10,24.94,-5.57,25.65,-7.00,23.93,-3.59,19.02,-3.06,25.05,-6.25,33.93,-7.37,10.00,141.55,26.39,3.05,23.79,-12.83,25.27,-2.51,25.09,-7.11,24.90,-5.14
2006M11,23.21,-14.45,24.14,-16.01,21.95,-11.38,17.40,-15.37,25.36,-7.58,24.95,-29.96,7.82,-67.59,24.11,-20.64,22.49,-14.71,23.39,-9.48,20.38,-19.45,23.84,-13.53
2006M12,23.97,-14.70,24.55,-17.59,23.13,-8.76,17.82,-17.23,25.71,-13.20,26.75,-16.64,29.87,7.29,25.75,-13.79,23.24,-11.40,23.61,-18.22,21.27,-26.25,24.57,-12.03
2007M01,25.10,-8.36,26.70,-8.59,22.69,-7.43,19.49,7.50,25.82,-10.32,29.50,-15.76,30.09,-55.75,23.42,-22.55,26.33,1.70,24.82,-8.01,26.09,-4.54,24.88,-9.23
2007M02,25.26,-0.86,27.02,5.10,22.63,-9.88,18.99,1.23,25.93,-1.71,30.63,-1.54,-,--,25.42,5.17,26.81,4.04,23.57,-9.49,24.21,-12.12,25.50,1.96
2007M03,25.46,0.83,25.50,-2.19,25.40,5.92,20.84,2.81,26.72,5.36,27.40,-12.04,-,--,28.01,9.37,24.96,6.39,24.40,-10.06,23.84,-17.74,25.83,5.64
2007M04,24.47,-6.96,25.65,-6.73,22.70,-6.85,21.24,10.11,24.77,-8.83,27.53,-15.03,-,--,25.46,-12.39,24.16,2.11,24.19,-11.62,25.88,-2.67,24.16,-7.93
2007M05,24.60,-3.19,25.48,-2.38,23.34,-3.95,18.36,-7.69,25.54,-1.77,29.36,-4.61,40.00,170.45,25.16,-9.43,22.85,-1.93,26.13,-0.31,25.18,-7.93,24.47,-2.08
2007M06,24.84,2.56,25.69,-1.04,23.60,9.11,17.95,8.92,26.38,3.13,29.21,-7.33,26.93,380.04,27.12,12.53,24.41,-1.45,23.86,0.59,23.52,13.19,25.17,0.32
2007M07,20.40,-0.68,22.17,-6.97,17.94,12.83,13.14,-3.67,22.05,-2.17,26.04,3.75,4.00,-41.26,22.49,-1.36,21.55,-1.60,18.19,0.50,15.31,-3.65,22.06,0.36
2007M08,21.71,-0.91,22.60,-7.03,20.55,9.95,14.54,-8.55,23.94,-1.44,26.14,9.79,-,--,23.51,-3.29,21.73,-1.05,20.85,0.00,19.12,-0.57,22.60,-0.62
2007M09,23.45,0.90,25.00,1.21,21.39,0.85,15.18,-15.01,26.91,14.07,25.86,-15.49,-,--,24.23,-6.63,23.38,-1.47,23.16,8.53,23.10,0.39,23.56,1.07
2007M10,24.75,-0.76,26.42,3.00,22.26,-6.98,16.33,-14.14,27.45,9.58,28.99,-14.56,10.00,0.00,25.37,-3.87,26.47,11.27,22.65,-10.37,23.57,-6.06,25.06,0.64
2007M11,25.42,9.52,26.97,11.72,23.02,4.87,17.95,3.16,27.24,7.41,30.65,22.85,9.00,15.09,27.76,15.14,26.61,18.32,23.05,-1.45,23.11,13.40,26.03,9.19
2007M12,25.80,7.63,26.27,7.01,25.08,8.43,21.28,19.42,27.23,5.91,27.51,2.84,4.77,-84.03,26.09,1.32,25.75,10.80,25.68,8.77,27.33,28.49,25.41,3.42
2008M01,25.91,3.23,25.24,-5.47,26.96,18.82,22.19,13.85,28.30,9.60,23.46,-20.47,5.00,-83.38,24.49,4.57,26.43,0.38,26.25,5.76,27.64,5.94,25.50,2.49
2008M02,24.93,-1.31,24.72,-8.51,25.28,11.71,20.92,10.16,26.83,3.47,24.31,-20.63,1.00,--,22.52,-11.41,27.10,1.08,24.40,3.52,26.95,11.32,24.49,-3.96
2008M03,25.77,1.22,27.17,6.55,23.55,-7.28,20.15,-3.31,26.62,-0.37,30.19,10.18,5.68,--,26.27,-6.21,25.62,2.64,25.60,4.92,28.34,18.88,25.17,-2.56
2008M04,26.08,6.58,27.78,8.30,23.51,3.57,19.27,-9.27,27.92,12.72,28.81,4.65,7.00,--,26.80,5.26,26.34,9.02,25.44,5.17,29.90,15.53,25.26,4.55
2008M05,24.77,0.69,26.18,2.75,22.78,-2.40,18.95,3.21,27.33,7.01,24.05,-18.09,15.25,-61.88,25.49,1.31,24.57,7.53,24.54,-6.08,28.33,12.51,23.99,-1.96
2008M06,25.02,0.72,26.75,4.13,22.51,-4.62,20.33,13.26,26.71,1.25,26.31,-9.93,9.35,-65.28,27.59,1.73,25.22,3.32,23.43,-1.80,25.12,6.80,24.99,-0.72
2008M07,22.98,12.65,25.37,14.43,19.49,8.64,15.74,19.79,24.66,11.84,29.31,12.56,4.36,9.00,25.68,14.18,23.93,11.04,20.85,14.62,20.55,34.23,23.77,7.75
2008M08,23.89,10.04,24.64,9.03,22.86,11.24,17.27,18.78,25.39,6.06,30.47,16.56,6.00,--,24.59,4.59,23.99,10.40,23.49,12.66,21.96,14.85,24.56,8.67
2008M09,24.38,3.97,25.54,2.16,22.75,6.36,17.85,17.59,26.48,-1.60,27.74,7.27,4.11,--,23.72,-2.10,24.18,3.42,24.89,7.47,22.27,-3.59,25.06,6.37
2008M10,26.10,5.45,25.80,-2.35,26.57,19.36,18.16,11.21,29.07,5.90,27.74,-4.31,-,--,25.33,-0.16,26.50,0.11,26.12,15.32,24.49,3.90,26.56,5.99
2008M11,26.66,4.88,25.77,-4.45,28.11,22.11,21.09,17.49,27.73,1.80,30.00,-2.12,-,--,26.24,-5.48,28.71,7.89,25.04,8.63,28.13,21.72,26.30,1.04
2008M12,26.19,1.51,26.04,-0.88,26.43,5.38,21.30,0.09,27.52,1.07,27.64,0.47,3.81,-20.13,24.28,-6.94,27.55,6.99,26.06,1.48,28.47,4.17,25.70,1.14
