期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),鋼骨鋼筋混凝土構造_原始值,鋼骨鋼筋混凝土構造_年增率(%),鋼骨鋼筋混凝土構造_原始值,鋼骨鋼筋混凝土構造_年增率(%),混凝土構造_原始值,混凝土構造_年增率(%),混凝土構造_原始值,混凝土構造_年增率(%),鋼構造_原始值,鋼構造_年增率(%),鋼構造_原始值,鋼構造_年增率(%),磚構造_原始值,磚構造_年增率(%),磚構造_原始值,磚構造_年增率(%),木構造_原始值,木構造_年增率(%),木構造_原始值,木構造_年增率(%),其他_原始值,其他_年增率(%),其他_原始值,其他_年增率(%)
2012M11,"3,307,703",16.24,"28,915,571",31.35,"631,359",362.35,"7,872,682",625.57,"2,332,703",-0.61,"19,369,581",6.60,"317,811",-6.47,"1,587,934",-41.07,"22,135",72.71,"71,708",87.08,"2,778",-25.12,"8,042",-33.75,917,-84.07,"5,624",-60.86
2012M12,"3,255,516",-18.03,"29,624,105",-12.86,"226,552",-52.34,"2,863,101",-41.89,"2,484,390",-20.44,"21,460,135",-19.54,"527,372",51.86,"5,245,026",129.48,"9,141",-19.92,"31,549",-17.87,"7,386",11.29,"21,247",61.80,675,-91.70,"3,047",-94.89
2013M01,"3,806,945",42.95,"34,761,689",59.45,"207,098",-19.80,"2,318,613",-4.53,"3,061,066",43.07,"28,888,666",64.24,"493,083",93.33,"3,404,156",95.62,"34,689",496.85,"106,560",359.29,"2,249",191.70,"6,163",230.10,"8,760",140.73,"37,531",102.79
2013M02,"2,273,367",20.02,"19,892,529",34.21,"129,018",-0.21,"976,645",-17.77,"1,947,384",27.01,"17,889,578",45.24,"188,430",-8.79,"991,200",-20.44,"5,288",-75.07,"23,406",-61.57,687,-54.77,"2,236",-17.43,"2,560",10.49,"9,464",24.20
2013M03,"2,740,039",-19.40,"22,374,077",-19.61,"213,265",-60.70,"2,180,757",-47.47,"2,115,548",-11.49,"17,743,124",-13.55,"386,589",-11.67,"2,356,435",-22.14,"15,384",-20.83,"52,383",-15.12,"5,634",239.60,"22,554",355.82,"3,619",-53.88,"18,824",-70.16
2013M04,"3,540,828",46.06,"31,946,314",61.71,"437,584",150.42,"5,005,913",296.69,"2,446,458",31.93,"21,762,949",42.17,"635,677",68.47,"5,101,022",63.76,"12,645",58.44,"44,304",44.52,780,259.45,"2,173",257.99,"7,684",-20.46,"29,953",-24.96
2013M05,"3,837,357",24.10,"33,644,427",30.51,"120,788",-52.51,"828,184",-70.20,"3,031,813",22.63,"27,962,203",35.99,"655,136",86.74,"4,737,445",98.55,"11,607",13.13,"34,797",23.40,"9,259","1,697.86","33,000","2,631.79","8,754",119.95,"48,798",116.35
2013M06,"2,700,716",-8.81,"21,992,053",-19.49,"183,296",47.26,"1,561,600",29.41,"2,121,589",-13.79,"17,803,064",-26.01,"382,728",6.14,"2,578,233",29.33,"8,817",-16.70,"31,410",-12.15,"2,027",15.83,"6,387",-23.58,"2,259",-32.67,"11,359",0.76
2013M07,"3,224,244",37.98,"26,024,438",47.78,"216,276",45.60,"1,871,472",4.24,"2,465,712",42.78,"20,379,980",57.12,"529,343",18.41,"3,727,469",33.37,"8,257",68.58,"30,263",54.71,"3,841",-2.24,"11,582",0.53,815,-85.04,"3,672",-79.61
2013M08,"3,668,138",50.76,"34,485,440",65.46,"203,118",80.62,"1,718,233",108.64,"2,718,598",32.87,"25,094,487",37.76,"723,884",190.20,"7,591,183",344.22,"6,764",-65.12,"27,635",-61.93,"7,430",105.93,"24,232",125.00,"8,344",312.25,"29,670",197.32
