期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),中央政府發行_原始值,中央政府發行_年增率(%),中央政府發行_原始值,中央政府發行_年增率(%),中央政府發行_原始值,中央政府發行_年增率(%),直轄市政府發行_原始值,直轄市政府發行_年增率(%),直轄市政府發行_原始值,直轄市政府發行_年增率(%),直轄市政府發行_原始值,直轄市政府發行_年增率(%)
2010M01,"70,000",75.00,"75,002","1,071,357.14","3,965,938",5.03,"70,000",75.00,"70,002","7,000,100.00","3,829,578",4.93,-,-,"5,000","83,233.33","136,360",7.84
2010M02,"80,000",166.67,2,-100.00,"4,045,936",7.43,"80,000",166.67,-,-,"3,909,578",7.41,-,-,2,-66.67,"136,358",7.84
2010M03,"40,000",0.00,2,-99.91,"4,085,934",7.41,"40,000",0.00,-,-,"3,949,578",7.34,-,-,2,-99.90,"136,356",9.62
2010M04,"70,000",75.00,-,-,"4,155,934",8.12,"70,000",75.00,-,-,"4,019,578",8.07,-,-,-,-,"136,356",9.64
2010M05,"40,000",4.44,1,-100.00,"4,195,933",8.92,"40,000",33.33,1,-100.00,"4,059,577",9.14,-,-,-,-,"136,356",2.78
2010M06,"50,600",1.20,"49,938","134,867.57","4,196,595",7.55,"40,000",0.00,"49,937","499,270.00","4,049,640",7.72,"10,600",6.00,1,-96.30,"146,955",3.03
2010M07,"40,000",0.00,"70,040",-0.67,"4,166,555",7.62,"40,000",0.00,"70,040",0.04,"4,019,600",7.78,-,-,-,-,"146,955",3.39
2010M08,"40,000",33.33,"9,965",-67.80,"4,196,590",8.42,"40,000",33.33,"9,952",-67.82,"4,049,648",8.61,-,-,13,-51.85,"146,942",3.40
2010M09,"40,000",0.00,"9,992","110,922.22","4,226,598",8.08,"40,000",0.00,"9,992","999,100.00","4,079,656",8.25,-,-,-,-,"146,942",3.41
2010M10,"40,000",-42.86,16,"1,500.00","4,266,582",7.18,"40,000",-42.86,12,-,"4,119,644",7.32,-,-,4,300.00,"146,938",3.41
2010M11,"48,700",30.56,"2,019",-94.95,"4,313,263",8.43,"40,000",33.33,"2,019",-94.95,"4,157,625",8.59,"8,700",19.18,-,-,"155,638",4.19
2010M12,"70,000",75.00,"48,965",4.13,"4,334,298",9.15,"70,000",75.00,"40,034",2.65,"4,187,591",9.35,-,-,"8,931",11.30,"146,707",3.78
2011M01,"75,000",7.14,"161,009",114.67,"4,248,289",7.12,"75,000",7.14,"149,009",112.86,"4,113,582",7.42,-,-,"12,000",140.00,"134,707",-1.21
2011M02,"70,000",-12.50,5,150.00,"4,318,284",6.73,"70,000",-12.50,-,-,"4,183,582",7.01,-,-,5,150.00,"134,702",-1.21
2011M03,"40,000",0.00,"15,009","750,350.00","4,343,275",6.30,"40,000",0.00,"14,997",-,"4,208,585",6.56,-,-,12,500.00,"134,690",-1.22
2011M04,"70,000",0.00,3,-,"4,413,272",6.19,"70,000",0.00,3,-,"4,278,582",6.44,-,-,-,-,"134,690",-1.22
2011M05,"60,000",50.00,"9,864","986,300.00","4,463,408",6.37,"60,000",50.00,5,400.00,"4,338,577",6.87,-,-,"9,859",-,"124,831",-8.45
2011M06,"40,000",-20.95,61,-99.88,"4,503,347",7.31,"40,000",0.00,4,-99.99,"4,378,573",8.12,-,-,57,"5,600.00","124,774",-15.09
2011M07,"30,000",-25.00,"73,880",5.48,"4,459,467",7.03,"30,000",-25.00,"64,002",-8.62,"4,344,571",8.08,-,-,"9,878",-,"114,896",-21.82
2011M08,"60,000",50.00,"29,988",200.93,"4,489,479",6.98,"60,000",50.00,"29,909",200.53,"4,374,662",8.03,-,-,79,507.69,"114,817",-21.86
