期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),妨害安寧秩序_原始值,妨害安寧秩序_年增率(%),妨害安寧秩序_原始值,妨害安寧秩序_年增率(%),妨害善良風俗_原始值,妨害善良風俗_年增率(%),妨害善良風俗_原始值,妨害善良風俗_年增率(%),妨害公務_原始值,妨害公務_年增率(%),妨害公務_原始值,妨害公務_年增率(%),妨害他人身體及財產_原始值,妨害他人身體及財產_年增率(%),妨害他人身體及財產_原始值,妨害他人身體及財產_年增率(%)
2007M03,"1,276",13.83,"1,818",14.92,664,13.89,672,8.56,604,13.53,"1,131",18.43,0,-100.00,0,-100.00,8,100.00,15,200.00
2007M04,744,7.67,"1,068",9.99,280,-10.26,281,-14.33,457,22.85,776,22.40,2,--,2,--,5,-28.57,9,0.00
2007M05,677,-15.48,"1,160",3.29,143,-48.00,173,-38.87,520,-0.38,951,14.30,4,--,8,--,10,150.00,28,250.00
2007M06,571,-23.66,897,-6.66,146,-35.96,156,-33.62,424,-17.83,740,2.49,0,-100.00,0,-100.00,1,-66.67,1,-66.67
2007M07,"1,151",-2.95,"1,453",-9.53,681,5.58,694,5.95,467,-12.38,756,-19.49,1,-66.67,1,-83.33,2,-60.00,2,-66.67
2007M08,"1,331",-1.11,"1,627",-0.97,885,10.21,888,6.86,436,-17.42,727,-7.97,0,-100.00,0,-100.00,10,-16.67,12,-29.41
2007M09,920,-3.36,"1,314",18.81,524,12.69,526,9.36,392,-15.70,784,31.54,1,-50.00,1,-50.00,3,-85.00,3,-88.89
2007M10,741,1.93,"1,007",10.66,305,-8.96,295,-12.98,433,13.95,709,27.75,0,-100.00,0,-100.00,3,-66.67,3,-75.00
2007M11,633,5.68,827,6.03,146,-17.98,157,-16.04,485,17.15,668,14.38,0,-100.00,0,-100.00,2,-33.33,2,-60.00
2007M12,645,1.74,895,-9.23,166,-2.35,168,-9.68,475,3.94,723,-8.60,0,-100.00,0,-100.00,4,-33.33,4,-50.00
2008M01,716,34.33,"1,175",16.80,126,31.25,146,5.80,587,37.47,"1,025",20.31,2,--,2,--,1,-90.00,2,-87.50
2008M02,892,12.63,"1,546",0.85,370,-2.63,394,-8.58,517,27.03,"1,147",4.94,2,100.00,2,100.00,3,-25.00,3,-62.50
2008M03,882,-30.88,"1,339",-26.35,243,-63.40,245,-63.54,632,4.64,"1,087",-3.89,2,--,2,--,5,-37.50,5,-66.67
2008M04,707,-4.97,"1,081",1.22,192,-31.43,195,-30.60,508,11.16,880,13.40,1,-50.00,1,-50.00,6,20.00,5,-44.44
2008M05,887,31.02,"1,190",2.59,215,50.35,217,25.43,668,28.46,960,0.95,0,-100.00,0,-100.00,4,-60.00,13,-53.57
2008M06,670,17.34,912,1.67,115,-21.23,147,-5.77,554,30.66,764,3.24,0,--,0,--,1,0.00,1,0.00
2008M07,"1,395",21.20,"1,652",13.70,868,27.46,903,30.12,526,12.63,748,-1.06,0,-100.00,0,-100.00,1,-50.00,1,-50.00
2008M08,"1,572",18.11,"1,845",13.40,"1,059",19.66,"1,100",23.87,506,16.06,731,0.55,3,--,3,--,4,-60.00,11,-8.33
2008M09,"1,321",43.59,"1,620",23.29,846,61.45,856,62.74,466,18.88,748,-4.59,2,100.00,2,100.00,7,133.33,14,366.67
2008M10,819,10.53,"1,061",5.36,309,1.31,308,4.41,500,15.47,741,4.51,5,--,6,--,5,66.67,6,100.00
2008M11,525,-17.06,715,-13.54,110,-24.66,126,-19.75,405,-16.49,570,-14.67,3,--,3,--,7,250.00,16,700.00
