期間,新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%)
2006M10,"9,051",9.95,"2,357",9.22,"2,257",21.34,"1,759",18.77,901,-8.25,235,-29.43,"27,293",10.89,"7,108",10.20,"6,806",22.37,"5,304",19.76,"2,716",-7.46,710,-28.64
2006M11,"8,920",8.12,"2,260",3.86,"2,263",17.93,"1,729",12.20,919,-2.34,214,-18.63,"27,216",10.60,"6,897",6.29,"6,907",20.65,"5,276",14.82,"2,805",-0.07,653,-16.82
2006M12,"8,569",4.82,"2,230",-1.46,"2,167",16.13,"1,662",21.85,822,-24.38,193,-24.02,"26,388",7.31,"6,867",0.91,"6,673",18.88,"5,119",24.82,"2,532",-22.55,595,-22.12
2007M01,"8,481",19.60,"2,191",11.90,"2,170",36.22,"1,587",27.27,765,-9.57,238,11.21,"25,925",17.27,"6,697",9.70,"6,631",33.50,"4,853",24.79,"2,337",-11.44,728,8.98
2007M02,"7,215",10.17,"1,853",9.58,"1,702",9.66,"1,417",19.28,804,6.35,165,-26.99,"21,918",8.17,"5,629",7.57,"5,170",7.69,"4,303",17.12,"2,441",4.32,501,-28.22
2007M03,"9,239",14.20,"2,297",5.27,"2,356",22.96,"1,748",26.12,922,4.54,183,-32.97,"28,032",12.40,"6,970",3.61,"7,148",20.99,"5,304",24.13,"2,798",2.94,557,-33.77
2007M04,"9,088",14.13,"2,253",2.83,"2,402",19.03,"1,535",16.38,945,17.10,209,-9.52,"27,462",11.27,"6,807",0.22,"7,258",16.05,"4,635",13.35,"2,856",14.10,631,-11.99
2007M05,"9,145",17.21,"2,260",16.14,"2,476",22.27,"1,560",34.14,816,8.80,230,-10.85,"27,528",11.91,"6,803",10.85,"7,452",16.67,"4,698",28.01,"2,457",3.80,694,-14.74
2007M06,"9,440",16.83,"2,405",9.27,"2,433",17.31,"1,624",32.25,888,7.90,342,28.57,"28,698",15.18,"7,310",7.72,"7,395",15.62,"4,937",30.33,"2,700",6.34,"1,038",26.74
2007M07,"9,734",24.16,"2,256",7.07,"2,576",25.35,"1,582",33.16,"1,005",26.26,277,20.96,"29,723",23.50,"6,888",6.51,"7,865",24.68,"4,829",32.48,"3,069",25.68,847,20.66
2007M08,"10,033",16.92,"2,367",4.32,"2,876",25.10,"1,797",36.55,885,1.37,259,19.91,"30,488",16.31,"7,192",3.77,"8,740",24.48,"5,459",35.80,"2,690",0.90,787,19.24
2007M09,"10,185",16.35,"2,492",4.14,"2,788",20.59,"1,890",29.01,966,13.78,239,11.68,"30,919",16.10,"7,562",3.83,"8,462",20.27,"5,737",28.63,"2,933",13.46,725,11.54
2007M10,"10,463",15.60,"2,463",4.50,"2,839",25.79,"2,050",16.54,998,10.77,257,9.36,"32,200",17.98,"7,580",6.64,"8,735",28.34,"6,307",18.91,"3,071",13.07,789,11.13
2007M11,"10,293",15.39,"2,445",8.19,"2,687",18.74,"1,989",15.04,"1,021",11.10,241,12.62,"31,892",17.18,"7,573",9.80,"8,325",20.53,"6,164",16.83,"3,164",12.80,747,14.40
2007M12,"10,041",17.18,"2,434",9.15,"2,668",23.12,"1,810",8.90,"1,006",22.38,295,52.85,"31,023",17.56,"7,518",9.48,"8,243",23.53,"5,591",9.22,"3,107",22.71,913,53.45
2008M01,"9,810",15.67,"2,334",6.53,"2,612",20.37,"1,720",8.38,925,20.92,254,6.72,"30,306",16.90,"7,209",7.65,"8,070",21.70,"5,314",9.50,"2,857",22.25,785,7.83
