期間,機動車輛數(輛) - 合計_原始值,機動車輛數(輛) - 合計_年增率(%),機動車輛數(輛) - 汽車 (不含軍車)_原始值,機動車輛數(輛) - 汽車 (不含軍車)_年增率(%),機動車輛數(輛) - 機車_原始值,機動車輛數(輛) - 機車_年增率(%),肇事總件數(件)_原始值,肇事總件數(件)_年增率(%),肇事率(件/萬輛)_原始值,肇事率(件/萬輛)_年增率(%),A1類件數(件)_原始值,A1類件數(件)_年增率(%),A1類死亡人數(人)_原始值,A1類死亡人數(人)_年增率(%),A1類受傷人數(人)_原始值,A1類受傷人數(人)_年增率(%),A2類件數(件)_原始值,A2類件數(件)_年增率(%),A2類受傷人數(人)_原始值,A2類受傷人數(人)_年增率(%),A1類肇事件數按肇事原因(件) - 汽(機、慢)車駕駛人_原始值,A1類肇事件數按肇事原因(件) - 汽(機、慢)車駕駛人_年增率(%),A1類肇事件數按肇事原因(件) - 機件_原始值,A1類肇事件數按肇事原因(件) - 機件_年增率(%),A1類肇事件數按肇事原因(件) - 行人(或乘客)_原始值,A1類肇事件數按肇事原因(件) - 行人(或乘客)_年增率(%),A1類肇事件數按肇事原因(件) - 交通管制(設施)_原始值,A1類肇事件數按肇事原因(件) - 交通管制(設施)_年增率(%),A1類肇事件數按肇事原因(件) - 其他_原始值,A1類肇事件數按肇事原因(件) - 其他_年增率(%)
2003M08,"18,269,895",2.64,"6,068,445",3.78,"12,201,450",2.09,"9,915",29.91,5.44,-,220,4.76,229,-2.14,124,3.33,"9,695",30.63,"12,873",33.30,213,4.41,1,-75.00,6,500.00,0,--,0,-100.00
2003M09,"18,364,797",2.86,"6,086,804",3.82,"12,277,993",2.40,"9,733",31.65,5.31,-,234,4.93,246,6.03,150,85.19,"9,499",32.48,"12,562",34.41,230,9.00,2,-33.33,2,-75.00,0,--,0,-100.00
2003M10,"18,422,766",3.06,"6,108,061",3.82,"12,314,705",2.68,"10,854",25.35,5.90,-,205,-15.29,230,-8.00,177,25.53,"10,649",26.52,"14,254",28.58,192,-14.67,1,-80.00,12,9.09,0,--,0,-100.00
2003M11,"18,465,223",3.19,"6,129,644",3.84,"12,335,579",2.87,"10,310",17.04,5.59,-,220,-0.45,237,1.72,78,-36.07,"10,090",17.49,"13,357",19.72,211,-3.21,0,-100.00,9,350.00,0,--,0,--
2003M12,"18,500,658",3.32,"6,133,794",3.56,"12,366,864",3.20,"11,783",36.08,6.38,-,218,-9.54,226,-12.40,137,59.30,"11,565",37.38,"15,178",39.82,207,-11.54,3,200.00,7,40.00,1,0.00,0,--
2004M01,"18,557,796",3.37,"6,170,215",3.65,"12,387,581",3.24,"11,083",8.92,5.98,-,213,-18.08,228,-17.69,131,14.91,"10,870",9.63,"14,304",11.44,200,-21.26,1,0.00,12,140.00,0,--,0,--
2004M02,"18,593,499",3.49,"6,184,874",3.85,"12,408,625",3.31,"10,636",33.33,5.73,-,201,-0.99,206,-1.44,120,21.21,"10,435",34.23,"13,651",32.73,191,-0.52,1,0.00,8,-11.11,0,-100.00,1,--
2004M03,"18,646,915",3.58,"6,203,014",3.93,"12,443,901",3.41,"11,158",13.88,5.99,-,197,2.60,204,0.00,96,74.55,"10,961",14.11,"14,380",13.90,187,1.63,0,-100.00,9,50.00,0,--,1,--
2004M04,"18,698,995",3.68,"6,222,576",4.00,"12,476,419",3.53,"10,829",11.58,5.80,-,194,-4.43,207,-0.48,85,21.43,"10,635",11.92,"14,054",12.92,181,-7.65,3,50.00,10,100.00,0,--,0,--
2004M05,"18,749,007",3.67,"6,239,680",3.91,"12,509,327",3.55,"11,736",20.10,6.27,-,224,7.18,241,13.15,127,95.38,"11,512",20.38,"15,362",22.97,215,5.39,2,--,7,40.00,0,--,0,--
