期間,合計_原始值,合計_年增率(%),企業及個人存款-計_原始值,企業及個人存款-計_年增率(%),企業及個人存款-支票存款_原始值,企業及個人存款-支票存款_年增率(%),企業及個人存款-活期存款_原始值,企業及個人存款-活期存款_年增率(%),企業及個人存款-活期儲蓄存款_原始值,企業及個人存款-活期儲蓄存款_年增率(%),企業及個人存款-定期存款_原始值,企業及個人存款-定期存款_年增率(%),企業及個人存款-定期儲蓄存款_原始值,企業及個人存款-定期儲蓄存款_年增率(%),企業及個人存款-外匯活期存款_原始值,企業及個人存款-外匯活期存款_年增率(%),企業及個人存款-外匯定期存款_原始值,企業及個人存款-外匯定期存款_年增率(%),政府存款-計_原始值,政府存款-計_年增率(%),政府存款-公庫收入總存款_原始值,政府存款-公庫收入總存款_年增率(%),政府存款-機關存款_原始值,政府存款-機關存款_年增率(%),政府存款-機關外匯存款_原始值,政府存款-機關外匯存款_年增率(%)
1997M01,"8,930,191",35.79,"8,347,636",40.28,"282,029",19.29,"610,191",52.50,"1,449,506",52.62,"1,929,652",31.06,"3,749,447",36.81,"123,823",85.75,"202,988",139.72,"582,555",-6.92,"41,099",-37.13,"539,034",-3.60,"2,422",86.02
1997M02,"8,970,638",37.60,"8,407,770",40.80,"258,545",25.53,"593,505",58.20,"1,488,576",50.28,"1,945,852",33.28,"3,785,410",36.12,"127,718",87.76,"208,164",128.87,"562,868",2.77,"36,302",-12.64,"524,370",3.85,"2,196",79.27
1997M03,"9,038,021",38.30,"8,465,366",41.86,"262,091",20.48,"619,345",69.88,"1,503,401",51.90,"1,949,815",34.64,"3,796,754",36.07,"121,656",78.93,"212,304",138.14,"572,655",0.94,"36,319",-5.46,"534,395",1.34,"1,941",23.55
1997M04,"9,017,166",36.67,"8,439,511",40.19,"256,803",25.10,"608,163",55.76,"1,513,850",52.73,"1,927,732",33.30,"3,805,387",34.55,"117,686",70.05,"209,890",134.26,"577,655",0.01,"35,304",-28.10,"540,876",2.54,"1,475",39.68
1997M05,"9,100,323",34.81,"8,490,375",38.35,"246,816",22.42,"626,820",58.93,"1,493,649",51.86,"1,958,228",29.82,"3,821,651",32.78,"123,255",65.91,"219,956",127.92,"609,948",-0.54,"47,040",-24.35,"561,746",2.20,"1,162",-18.51
1997M06,"9,301,409",32.86,"8,666,101",35.88,"297,474",7.51,"681,268",54.84,"1,563,126",47.74,"1,944,544",28.88,"3,829,727",31.66,"120,927",40.41,"229,035",130.78,"635,308",1.89,"49,889",-33.64,"583,904",6.63,"1,515",105.84
1997M07,"9,307,957",32.95,"8,686,404",35.68,"267,710",11.10,"689,996",63.77,"1,590,603",54.70,"1,939,084",23.48,"3,831,831",29.74,"130,217",53.19,"236,963",130.37,"621,553",3.77,"52,189",-13.41,"567,334",5.58,"2,030",52.75
1997M08,"9,398,044",34.30,"8,790,002",36.74,"295,219",48.25,"716,262",71.58,"1,561,313",53.45,"1,979,767",22.84,"3,838,235",28.60,"148,024",66.24,"251,182",130.82,"608,042",6.74,"47,366",-4.45,"558,871",7.74,"1,805",33.31
1997M09,"9,595,683",35.47,"8,972,629",37.96,"300,972",32.01,"662,649",55.32,"1,547,962",52.06,"2,094,740",28.95,"3,941,664",31.09,"151,705",75.79,"272,937",140.02,"623,054",7.57,"35,277",-27.84,"586,676",10.96,"1,101",-32.08
1997M10,"9,760,184",37.16,"9,182,185",40.04,"282,145",21.10,"628,325",55.66,"1,568,292",51.13,"2,284,010",38.29,"3,913,744",29.17,"168,952",96.45,"336,717",192.21,"577,999",3.42,"29,160",-22.02,"546,752",5.24,"2,087",6.97
