期間,經常帳,經常帳--商品--出口f.o.b,經常帳--商品--進口f.o.b,經常帳--商品貿易淨額,經常帳--服務--收入,經常帳--服務--支出,經常帳--商品與服務收支淨額,經常帳--所得--收入,經常帳--所得--支出,經常帳--商品、服務與所得收支淨額,經常帳--經常移轉--收入,經常帳--經常移轉--支出,資本帳,資本帳--收入,資本帳--支出,合計--經常帳+資本帳,金融帳,金融帳--對外直接投資,金融帳--來台直接投資,金融帳--證券投資(資產),金融帳--證券投資(資產)--股權證券,金融帳--證券投資(資產)--債權證券,金融帳--證券投資(負債),金融帳--證券投資(負債)--股權證券,金融帳--證券投資(負債)--債權證券,金融帳--衍生性金融商品,金融帳--衍生性金融商品(資產),金融帳--衍生性金融商品(負債),其他投資(資產),其他投資(資產)--貨幣當局,其他投資(資產)--政府,其他投資(資產)--銀行,其他投資(資產)--其他部門,其他投資(負債),其他投資(負債)--貨幣當局,其他投資(負債)--政府,其他投資(負債)--銀行,其他投資(負債)--其他部門,合計--經常帳+資本帳+金融帳,誤差與遺漏淨額,合計--經常帳+資本帳+金融帳+誤差與遺漏淨額,準備與相關項目,準備與相關項目--準備資產,準備與相關項目--基金信用的使用及自基金之借款,準備與相關項目--特殊融資
1997Q3,"1,980","31,647","-27,930","3,717","4,716","-6,624","1,809","1,881","-1,040","2,650",689,"-1,359",-87,...,-87,"1,893","-4,775","-1,771","1,088","-2,624","-2,401",-223,"-1,963","-2,028",65,-331,54,-385,"-1,511",...,-5,"-1,137",-369,"2,337",...,-15,"1,398",954,"-2,882",-503,"-3,385","3,385","3,385",-,-
1997Q4,"2,236","33,016","-29,289","3,727","4,585","-6,291","2,021","1,679","-1,179","2,521",844,"-1,129",-52,...,-52,"2,184","-3,788","-1,402",563,-486,-480,-6,-247,-397,150,-43,153,-196,127,...,-6,-471,604,"-2,300",...,-21,"-2,811",532,"-1,604",81,"-1,523","1,523","1,523",-,-
1998Q1,-15,"27,322","-26,388",934,"4,241","-5,677",-502,"1,671",-845,324,761,"-1,100",-42,...,-42,-57,"1,314",-962,104,"-1,194","-1,099",-95,"1,017",938,79,-39,72,-111,"1,817",...,-2,"1,565",254,571,...,10,245,316,"1,257",-429,828,-828,-828,-,-
1998Q2,766,"28,039","-25,445","2,594","4,136","-5,744",986,"1,410","-1,204","1,192",710,"-1,136",-51,...,-51,715,-851,"-1,099",344,"-2,035","-1,724",-311,-181,-719,538,-49,97,-146,"2,064",...,2,"1,124",938,105,...,-11,250,-134,-136,-187,-323,323,323,-,-
1998Q3,"1,930","28,596","-24,281","4,315","4,390","-6,489","2,216","1,552","-1,410","2,358",712,"-1,140",-48,...,-48,"1,882","-3,537","-1,021",759,-798,-867,69,-134,158,-292,-17,72,-89,"-2,361",...,-10,"-2,797",446,35,...,-16,-584,635,"-1,655",672,-983,983,983,-,-
1998Q4,755,"28,794","-26,322","2,472","4,001","-6,259",214,"1,848",-973,"1,089",760,"-1,094",-40,...,-40,715,"5,569",-754,-985,-109,-203,94,"1,146","1,176",-30,-19,76,-95,"1,974",...,-,"-1,335","3,309","4,316",...,3,"1,493","2,820","6,284",-979,"5,305","-5,305","-5,305",-,-
1999Q1,"2,409","28,228","-24,694","3,534","4,168","-5,722","1,980","1,672",-791,"2,861",732,"-1,184",-32,...,-32,"2,377","1,644",-784,416,-977,-882,-95,"1,879","1,902",-23,-48,40,-88,"5,233",...,1,"4,111","1,121","-4,075",...,-3,"-4,330",258,"4,021",861,"4,882","-4,882","-4,882",-,-
1999Q2,"2,253","30,098","-25,952","4,146","4,204","-5,884","2,466","1,486","-1,152","2,800",719,"-1,266",-39,...,-39,"2,214","2,180",-908,516,-967,"-1,178",211,"3,743","3,794",-51,-85,44,-129,-810,...,-,-967,157,691,...,-6,-385,"1,082","4,394","1,071","5,465","-5,465","-5,465",-,-
1999Q3,"1,527","30,762","-27,004","3,758","4,625","-6,403","1,980","1,832","-1,391","2,421",729,"-1,623",-58,...,-58,"1,469","1,937","-1,116",864,-591,-918,327,"3,573","4,031",-458,-90,61,-151,"-2,608",...,-9,"-3,353",754,"1,905",...,-,659,"1,246","3,406",-700,"2,706","-2,706","-2,706",-,-
1999Q4,"1,804","34,675","-31,407","3,268","4,164","-6,353","1,079","1,975",-826,"2,228",946,"-1,370",-44,...,-44,"1,760","3,459","-1,612","1,130","-2,042","-2,080",38,"4,718","5,038",-320,-34,106,-140,519,...,-3,-714,"1,236",780,...,2,-589,"1,367","5,219",321,"5,540","-5,540","-5,540",-,-
2000Q1,"1,447","33,606","-31,170","2,436","4,813","-6,439",810,"2,079",-909,"1,980",834,"-1,367",-118,...,-118,"1,329","7,329","-1,597","1,146","-4,057","-3,775",-282,"6,612","5,709",903,-124,92,-216,"1,475",...,-9,221,"1,263","3,874",...,1,"2,555","1,318","8,658",-634,"8,024","-8,024","-8,024",-,-
2000Q2,"1,076","38,693","-36,044","2,649","4,865","-6,688",826,"2,202","-1,287","1,741",781,"-1,446",-82,...,-82,994,"-1,043","-1,507","1,148","-1,895","-2,021",126,344,572,-228,-52,88,-140,-879,...,-,-637,-242,"1,798",...,10,865,923,-49,"1,060","1,011","-1,011","-1,011",-,-
2000Q3,"2,412","40,254","-36,855","3,399","5,482","-6,817","2,064","2,385","-1,368","3,081",800,"-1,469",-42,...,-42,"2,370","-3,994","-1,701","1,472","-1,861","-1,834",-27,-114,-167,53,-28,153,-181,"-3,284",...,-4,"-3,803",523,"1,522",...,-9,131,"1,400","-1,624","1,187",-437,437,437,-,-
2000Q4,"3,964","39,346","-34,158","5,188","4,850","-6,703","3,335","2,500","-1,134","4,701",787,"-1,524",-45,...,-45,"3,919","-10,311","-1,896","1,162","-1,967","-1,635",-332,"2,714","2,375",339,-100,81,-181,"-5,680",...,-,"-5,886",206,"-4,544",...,-9,"-5,256",721,"-6,392",271,"-6,121","6,121","6,121",-,-
2001Q1,"4,041","32,390","-27,850","4,540","4,844","-6,272","3,112","2,544",-852,"4,804",669,"-1,432",-63,-,-63,"3,978","1,520","-1,958","1,528","-2,584","-2,223",-361,"3,875","3,691",184,-62,62,-124,"2,759",...,-1,"1,737","1,023","-2,038",...,-1,"-3,000",963,"5,498",168,"5,666","-5,666","-5,666",-,-
2001Q2,"3,386","32,072","-27,945","4,127","4,876","-6,331","2,672","2,313",-863,"4,122",638,"-1,374",-39,-,-39,"3,347","-3,038","-1,349",850,"-2,750","-2,341",-409,"4,036","3,656",380,60,184,-124,"-5,219",...,4,"-5,966",743,"1,334",...,-4,851,487,309,-910,-601,601,601,-,-
2001Q3,"4,480","28,866","-24,143","4,723","5,285","-6,151","3,857","2,297","-1,003","5,151",640,"-1,311",-37,-,-37,"4,443",-519,"-1,043","1,047","-1,785","-1,473",-312,281,239,42,-674,107,-781,"-3,202",...,1,"-4,976","1,773","4,857",...,-4,"3,797","1,064","3,924",226,"4,150","-4,150","-4,150",-,-
2001Q4,"7,029","32,919","-25,748","7,171","4,890","-5,711","6,350","2,173",-930,"7,593",660,"-1,224",-24,-,-24,"7,005","1,653","-1,130",684,"-4,228","-2,612","-1,616","2,927","3,712",-785,-387,182,-569,"3,892",...,4,"1,864","2,024",-105,...,5,"-1,012",902,"8,658",-520,"8,138","-8,138","-8,138",-,-
2002Q1,"7,223","30,187","-23,689","6,498","4,961","-5,533","5,926","2,451",-545,"7,832",675,"-1,284",-21,-,-21,"7,202","-1,312",-891,233,"-5,188","-2,860","-2,328","4,222","3,700",522,-62,81,-143,-862,...,-3,"-2,374","1,515","1,236",...,-,208,"1,028","5,890",331,"6,221","-6,221","-6,221",-,-
2002Q2,"6,052","34,223","-28,310","5,913","5,304","-6,124","5,093","2,211",-622,"6,682",656,"-1,286",-63,-,-63,"5,989","10,948","-1,409",123,"-2,702","-1,708",-994,"2,728","1,006","1,722",-44,109,-153,"5,355",...,2,"3,314","2,039","6,897",...,-3,"5,697","1,203","16,937",-745,"16,192","-16,192","-16,192",-,-
2002Q3,"4,923","34,530","-29,709","4,821","5,607","-6,525","3,903","2,962","-1,301","5,564",673,"-1,314",-28,1,-29,"4,895","3,357",-922,433,"-3,974","-2,234","-1,740","-1,633","-2,215",582,-49,77,-126,"10,157",...,2,"7,627","2,528",-655,...,8,"-1,842","1,179","8,252",730,"8,982","-8,982","-8,982",-,-
2002Q4,"8,159","36,328","-28,640","7,688","5,763","-6,537","6,914","2,710",-853,"8,771",617,"-1,229",-27,-,-27,"8,132","-4,244","-1,664",656,"-3,578","-2,340","-1,238","1,299","1,145",154,-87,133,-220,"-2,660",...,1,"-5,545","2,884","1,790",...,-10,614,"1,186","3,888","-1,619","2,269","-2,269","-2,269",-,-
2003Q1,"7,899","33,806","-28,139","5,667","5,610","-6,067","5,210","3,726",-438,"8,498",642,"-1,241",-17,-,-17,"7,882",-705,"-1,085",232,"-7,401","-1,965","-5,436","1,897","1,214",683,-79,59,-138,"3,406",...,2,"1,517","1,887","2,325",...,3,"2,063",259,"7,177","-1,276","5,901","-5,901","-5,901",-,-
