期間,收受部門-中央銀行_原始值,收受部門-中央銀行_年增率(%),存款部門-其他貨幣機構_原始值,存款部門-其他貨幣機構_年增率(%),存款部門-保險公司及退休基金_原始值,存款部門-保險公司及退休基金_年增率(%),存款部門-其他金融機構_原始值,存款部門-其他金融機構_年增率(%)
2006,"1,990,677",-2.64,"1,969,985",-2.72,"20,689",5.45,3,-57.14
2007,"2,085,113",4.74,"2,074,277",5.29,"10,834",-47.63,2,-33.33
2008,"2,108,130",1.10,"2,095,265",1.01,"12,863",18.73,2,0.00
