期間,總指數_原始值,總指數_年增率(%),依內外銷-一、內銷品_原始值,依內外銷-一、內銷品_年增率(%),(一)國產內銷品_原始值,(一)國產內銷品_年增率(%),(二)進口品_原始值,(二)進口品_年增率(%),依內外銷--二、出口品_原始值,依內外銷--二、出口品_年增率(%),依產地來源--一、國產品_原始值,依產地來源--一、國產品_年增率(%),依產地來源--二、進口品_原始值,依產地來源--二、進口品_年增率(%)
2006M04,86.70,3.30,80.96,4.25,82.58,1.46,79.23,7.58,101.17,0.95,90.97,1.25,79.23,7.58
2006M05,87.99,6.59,82.52,8.07,84.88,5.77,80.00,10.85,101.48,2.83,92.54,4.53,80.00,10.85
2006M06,89.86,8.79,84.18,10.14,86.28,7.58,81.95,13.24,103.94,5.31,94.37,6.62,81.95,13.24
2006M07,91.26,9.19,85.76,10.96,87.62,8.91,83.77,13.37,104.77,4.77,95.54,7.16,83.77,13.37
2006M08,92.34,9.11,86.69,10.40,88.49,8.76,84.78,12.32,106.23,5.78,96.65,7.51,84.78,12.32
2006M09,92.34,6.90,86.46,8.06,89.06,8.45,83.68,7.61,106.97,3.96,97.29,6.53,83.68,7.61
2006M10,91.73,5.77,85.67,6.87,87.61,6.84,83.60,6.91,106.95,2.99,96.36,5.17,83.60,6.91
2006M11,90.83,5.96,84.93,7.44,87.08,7.83,82.65,7.00,105.60,2.31,95.51,5.44,82.65,7.00
2006M12,90.53,6.38,84.92,8.03,87.14,8.42,82.53,7.53,104.42,2.35,95.10,5.81,82.53,7.53
2007M01,89.91,7.04,84.09,7.74,86.76,8.03,81.23,7.40,104.45,5.21,94.87,6.85,81.23,7.40
2007M02,90.49,6.74,84.72,7.46,86.65,7.07,82.65,7.90,104.87,4.88,94.96,6.15,82.65,7.90
2007M03,91.64,7.55,86.00,8.61,87.19,7.46,84.75,9.95,105.57,4.86,95.57,6.35,84.75,9.95
2007M04,93.69,8.06,88.18,8.92,88.93,7.69,87.40,10.31,107.09,5.85,97.26,6.91,87.40,10.31
2007M05,94.85,7.80,89.25,8.16,90.19,6.26,88.28,10.35,108.44,6.86,98.57,6.52,88.28,10.35
2007M06,94.89,5.60,89.53,6.36,91.06,5.54,87.91,7.27,107.70,3.62,98.85,4.75,87.91,7.27
2007M07,95.00,4.10,89.91,4.84,91.07,3.94,88.68,5.86,106.94,2.07,98.56,3.16,88.68,5.86
2007M08,95.73,3.67,90.47,4.36,92.10,4.08,88.75,4.68,108.17,1.83,99.68,3.14,88.75,4.68
2007M09,96.82,4.85,91.66,6.01,92.75,4.14,90.53,8.19,108.90,1.80,100.37,3.17,90.53,8.19
2007M10,97.05,5.80,92.25,7.68,93.44,6.65,91.02,8.88,108.00,0.98,100.47,4.27,91.02,8.88
2007M11,98.22,8.14,93.80,10.44,94.14,8.11,93.50,13.13,107.83,2.11,100.86,5.60,93.50,13.13
2007M12,98.32,8.60,93.98,10.67,94.26,8.17,93.73,13.57,107.70,3.14,100.89,6.09,93.73,13.57
2008M01,98.99,10.10,95.23,13.25,95.29,9.83,95.17,17.16,107.14,2.58,101.13,6.60,95.17,17.16
2008M02,98.43,8.77,95.35,12.55,96.05,10.85,94.70,14.58,105.10,0.22,100.51,5.84,94.70,14.58
2008M03,98.23,7.19,96.05,11.69,97.14,11.41,95.06,12.17,102.97,-2.46,100.01,4.65,95.06,12.17
2008M04,99.62,6.33,97.73,10.83,99.02,11.35,96.54,10.46,103.74,-3.13,101.34,4.19,96.54,10.46
2008M05,102.36,7.92,100.61,12.73,100.64,11.59,100.59,13.94,106.14,-2.12,103.35,4.85,100.59,13.94
2008M06,104.24,9.85,103.09,15.15,104.31,14.55,101.99,16.02,106.72,-0.91,105.50,6.73,101.99,16.02
2008M07,105.87,11.44,105.23,17.04,106.56,17.01,104.03,17.31,107.24,0.28,106.89,8.45,104.03,17.31
