期間,總計_原始值,總計_年增率(%),中央政府_原始值,中央政府_年增率(%),省市政府_原始值,省市政府_年增率(%),縣市政府_原始值,縣市政府_年增率(%),鄉鎮市公所_原始值,鄉鎮市公所_年增率(%)
1994,"1,826,367,353",3.99,"921,588,392",-8.67,"526,639,868",29.37,"289,144,593",14.96,"88,994,500",0.37
1995,"1,910,066,033",4.58,"1,029,314,366",11.69,"533,457,249",1.29,"277,321,460",-4.09,"69,972,958",-21.37
1996,"1,843,786,165",-3.47,"933,296,904",-9.33,"556,891,352",4.39,"280,029,230",0.98,"73,568,679",5.14
1997,"1,878,763,513",1.90,"960,255,313",2.89,"554,076,180",-0.51,"285,043,599",1.79,"79,388,421",7.91
1998,"1,992,593,487",6.06,"1,016,628,434",5.87,"593,631,821",7.14,"299,469,604",5.06,"82,863,628",4.38
1999,"2,050,003,571",2.88,"1,169,428,698",15.03,"508,191,243",-14.39,"295,166,708",-1.44,"77,216,922",-6.81
2000,"3,140,936,188",53.22,"2,077,018,084",77.61,"336,928,897",-33.70,"548,665,068",85.88,"178,324,139",130.94
