期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%)
2011M01,"20,438,772",-4.44,"2,087,043",-9.10,"10,736,265",-4.15,"1,286,122",-15.33,"4,503,115",-4.92,"519,002",26.36,"101,538",-38.86,"1,205,687",13.96,"15,092,145",-4.66,"1,632,558",-7.99,"7,635,302",-6.93,"385,006",5.26,"3,962,259",-5.57,"315,272",44.19,"97,186",-40.41,"1,064,562",17.13,"5,346,627",-3.79,"454,485",-12.87,"3,100,963",3.44,"901,116",-21.87,"540,856",0.12,"203,730",6.05,"4,352",45.75,"141,125",-5.35
2011M02,"18,274,656",9.90,"1,501,711",-0.42,"9,533,546",13.58,"889,504",-11.11,"4,882,678",11.56,"508,046",-7.15,"88,187",-20.91,"870,984",26.19,"13,650,310",8.77,"1,140,963",-3.18,"6,812,880",12.72,"181,401",-28.71,"4,358,237",8.43,"334,894",-4.86,"79,025",-22.38,"742,910",23.94,"4,624,346",13.39,"360,748",9.48,"2,720,666",15.79,"708,103",-5.10,"524,441",46.82,"173,152",-11.28,"9,162",-5.44,"128,074",41.02
2011M03,"22,354,842",8.82,"2,128,766",-11.51,"11,370,589",13.12,"1,160,239",5.67,"6,062,720",15.04,"331,246",-44.96,"116,083",1.91,"1,185,199",18.38,"16,750,686",15.01,"1,601,589",-12.21,"8,128,861",22.60,"251,328",297.32,"5,459,711",15.76,"201,738",-45.26,"107,946",0.41,"999,513",17.09,"5,604,156",-6.26,"527,177",-9.31,"3,241,728",-5.26,"908,911",-12.16,"603,009",8.88,"129,508",-44.48,"8,137",27.12,"185,686",25.80
2011M04,"21,427,249",6.04,"2,065,166",-0.39,"10,755,393",3.26,"1,288,039",15.41,"5,466,882",11.04,"474,266",-20.13,"89,991",6.47,"1,287,512",28.61,"15,916,792",8.17,"1,553,701",0.58,"7,606,486",2.56,"359,908",136.22,"4,891,803",11.47,"321,843",4.55,"78,265",-3.44,"1,104,786",34.21,"5,510,457",0.32,"511,465",-3.21,"3,148,907",5.00,"928,131",-3.69,"575,079",7.58,"152,423",-46.70,"11,726",238.12,"182,726",2.72
2011M05,"22,169,246",1.89,"2,076,778",-11.90,"11,331,997",6.41,"1,153,217",-10.55,"5,835,275",0.08,"424,807",21.54,"87,927",7.85,"1,259,245",4.85,"16,531,720",3.46,"1,575,819",-10.05,"7,992,533",9.63,"257,694",-28.19,"5,275,945",0.23,"282,395",30.95,"82,535",12.71,"1,064,799",3.91,"5,637,526",-2.47,"500,959",-17.26,"3,339,464",-0.59,"895,523",-3.74,"559,330",-1.30,"142,412",6.39,"5,392",-35.01,"194,446",10.29
2011M06,"20,386,585",-1.90,"1,870,620",-11.00,"10,212,306",-3.58,"871,327",-19.36,"5,464,851",-4.12,"445,665",106.42,"89,095",-17.25,"1,432,721",45.48,"15,650,863",-0.87,"1,387,652",-12.53,"7,485,059",-3.21,"192,765",-17.02,"4,970,839",-4.63,"307,262",195.04,"79,218",-19.40,"1,228,068",49.48,"4,735,722",-5.16,"482,968",-6.30,"2,727,247",-4.57,"678,562",-20.01,"494,012",1.37,"138,403",23.84,"9,877",5.34,"204,653",25.35
2011M07,"21,165,223",3.65,"1,927,806",-4.43,"10,902,738",2.43,"984,697",-21.42,"5,536,121",11.02,"512,387",37.27,"87,426",8.23,"1,214,048",14.12,"15,669,353",3.51,"1,415,162",-6.36,"7,701,898",0.06,"242,811",-24.26,"4,896,030",10.60,"316,418",30.69,"81,140",2.04,"1,015,894",18.04,"5,495,870",4.07,"512,644",1.34,"3,200,840",8.62,"741,886",-20.44,"640,091",14.33,"195,969",49.43,"6,286",399.68,"198,154",-2.50
2011M08,"19,313,450",-12.17,"2,071,635",-4.96,"9,319,029",-14.03,"1,069,177",-3.39,"4,725,749",-21.09,"411,858",-45.15,"97,988",2.29,"1,618,014",57.61,"14,290,850",-12.49,"1,581,647",-5.84,"6,420,268",-14.10,"269,502",-0.41,"4,224,532",-22.53,"259,146",-53.47,"96,487",10.02,"1,439,268",77.99,"5,022,600",-11.23,"489,988",-2.02,"2,898,761",-13.86,"799,675",-4.36,"501,217",-6.51,"152,712",-21.26,"1,501",-81.45,"178,746",-18.01
2011M09,"20,762,584",4.96,"1,971,955",2.09,"11,022,981",8.87,"1,025,198",4.95,"5,085,491",-2.11,"389,285",-16.73,"92,000",25.79,"1,175,674",16.18,"15,474,519",6.86,"1,536,216",5.29,"7,773,877",12.15,"180,390",6.80,"4,617,882",-1.27,"279,865",-11.75,"82,534",21.26,"1,003,755",16.83,"5,288,065",-0.23,"435,739",-7.77,"3,249,104",1.75,"844,808",4.56,"467,609",-9.76,"109,420",-27.25,"9,466",86.56,"171,919",12.51
2011M10,"20,605,319",-0.20,"2,019,599",0.30,"10,004,648",-2.17,"1,192,314",-3.72,"5,245,949",-9.79,"473,037",39.14,"102,189",4.64,"1,567,583",71.30,"14,970,021",-1.97,"1,403,954",-6.85,"6,694,905",-6.50,"414,483",28.52,"4,663,168",-10.32,"327,807",48.93,"97,780",3.87,"1,367,924",78.39,"5,635,298",4.83,"615,645",21.58,"3,309,743",7.94,"777,831",-15.07,"582,781",-5.32,"145,230",21.15,"4,409",25.29,"199,659",34.63
2011M11,"19,133,746",-11.67,"1,863,065",-10.52,"9,616,902",-13.08,"1,000,956",-9.27,"5,016,863",-13.12,"334,853",-18.47,"59,703",-27.59,"1,241,404",8.44,"14,195,176",-12.52,"1,414,472",-11.64,"6,795,676",-13.69,"216,518",9.44,"4,499,284",-13.60,"168,609",-41.36,"55,183",-27.17,"1,045,434",6.38,"4,938,570",-9.15,"448,593",-6.80,"2,821,226",-11.59,"784,438",-13.36,"517,579",-8.65,"166,244",34.98,"4,520",-32.28,"195,970",20.96
2011M12,"18,389,176",-11.08,"1,783,907",-12.57,"9,125,506",-15.10,"1,017,896",-10.05,"4,843,688",-4.58,"483,767",6.86,"77,244",-24.21,"1,057,168",-6.42,"13,194,632",-13.44,"1,302,928",-17.78,"6,156,840",-18.58,"164,230",-32.53,"4,281,537",-5.23,"337,782",13.19,"67,101",-29.66,"884,214",-6.03,"5,194,544",-4.47,"480,979",5.55,"2,968,666",-6.83,"853,666",-3.89,"562,151",0.72,"145,985",-5.40,"10,143",55.40,"172,954",-8.40
2012M01,"20,137,855",-1.47,"1,814,266",-13.07,"10,275,946",-4.29,"861,163",-33.04,"5,597,751",24.31,"345,675",-33.40,"102,790",1.23,"1,140,264",-5.43,"15,419,108",2.17,"1,454,903",-10.88,"7,425,494",-2.75,"160,457",-58.32,"5,153,808",30.07,"167,135",-46.99,"87,149",-10.33,"970,162",-8.87,"4,718,747",-11.74,"359,363",-20.93,"2,850,452",-8.08,"700,706",-22.24,"443,943",-17.92,"178,540",-12.36,"15,641",259.40,"170,102",20.53
2012M02,"18,929,297",3.58,"1,609,635",7.19,"9,790,481",2.70,"824,445",-7.31,"5,118,009",4.82,"396,824",-21.89,"82,772",-6.14,"1,107,131",27.11,"13,925,805",2.02,"1,140,896",-0.01,"6,734,763",-1.15,"233,110",28.51,"4,550,949",4.42,"264,400",-21.05,"73,460",-7.04,"928,227",24.94,"5,003,492",8.20,"468,739",29.94,"3,055,718",12.32,"591,335",-16.49,"567,060",8.13,"132,424",-23.52,"9,312",1.64,"178,904",39.69
2012M03,"20,306,151",-9.16,"1,899,323",-10.78,"10,199,690",-10.30,"1,198,962",3.34,"5,166,731",-14.78,"558,687",68.66,"95,800",-17.47,"1,186,958",0.15,"14,712,872",-12.17,"1,361,817",-14.97,"6,891,039",-15.23,"384,167",52.85,"4,618,052",-15.42,"403,276",99.90,"79,672",-26.19,"974,849",-2.47,"5,593,279",-0.19,"537,506",1.96,"3,308,651",2.06,"814,795",-10.35,"548,679",-9.01,"155,411",20.00,"16,128",98.21,"212,109",14.23
2012M04,"21,553,033",0.59,"1,866,758",-9.61,"11,259,038",4.68,"856,325",-33.52,"5,815,774",6.38,"326,029",-31.26,"72,938",-18.95,"1,356,171",5.33,"16,319,794",2.53,"1,401,265",-9.81,"8,035,531",5.64,"188,184",-47.71,"5,293,337",8.21,"218,229",-32.19,"66,985",-14.41,"1,116,263",1.04,"5,233,239",-5.03,"465,493",-8.99,"3,223,507",2.37,"668,141",-28.01,"522,437",-9.15,"107,800",-29.28,"5,953",-49.23,"239,908",31.29
2012M05,"20,325,694",-8.32,"1,947,760",-6.21,"10,565,794",-6.76,"1,049,251",-9.02,"4,717,857",-19.15,"449,380",5.78,"114,083",29.75,"1,481,569",17.66,"15,022,696",-9.13,"1,506,542",-4.40,"7,355,941",-7.96,"415,984",61.43,"4,116,654",-21.97,"290,452",2.85,"98,131",18.90,"1,238,992",16.36,"5,302,998",-5.93,"441,218",-11.93,"3,209,853",-3.88,"633,267",-29.29,"601,203",7.49,"158,928",11.60,"15,952",195.85,"242,577",24.75
2012M06,"19,133,312",-6.15,"1,823,611",-2.51,"9,521,670",-6.76,"815,909",-6.36,"5,350,888",-2.09,"321,893",-27.77,"71,348",-19.92,"1,227,993",-14.29,"14,256,401",-8.91,"1,408,482",1.50,"6,503,359",-13.12,"212,592",10.29,"4,843,563",-2.56,"228,639",-25.59,"62,085",-21.63,"997,681",-18.76,"4,876,911",2.98,"415,129",-14.05,"3,018,311",10.67,"603,317",-11.09,"507,325",2.69,"93,254",-32.62,"9,263",-6.22,"230,312",12.54
2012M07,"21,136,245",-0.14,"1,979,224",2.67,"10,976,602",0.68,"772,050",-21.60,"5,516,341",-0.36,"392,399",-23.42,"113,928",30.31,"1,385,701",14.14,"16,149,607",3.06,"1,542,630",9.01,"7,877,254",2.28,"228,389",-5.94,"4,971,346",1.54,"295,936",-6.47,"99,470",22.59,"1,134,582",11.68,"4,986,638",-9.27,"436,594",-14.83,"3,099,348",-3.17,"543,661",-26.72,"544,995",-14.86,"96,463",-50.78,"14,458",130.00,"251,119",26.73
2012M08,"18,991,535",-1.67,"1,845,533",-10.91,"9,468,850",1.61,"788,053",-26.29,"5,415,886",14.60,"305,419",-25.84,"80,525",-17.82,"1,087,269",-32.80,"14,411,634",0.85,"1,416,469",-10.44,"6,738,615",4.96,"262,735",-2.51,"4,908,447",16.19,"197,249",-23.88,"65,743",-31.86,"822,376",-42.86,"4,579,901",-8.81,"429,064",-12.43,"2,730,235",-5.81,"525,318",-34.31,"507,439",1.24,"108,170",-29.17,"14,782",884.81,"264,893",48.20
2012M09,"20,667,540",-0.46,"1,912,863",-3.00,"10,407,835",-5.58,"878,650",-14.29,"5,517,566",8.50,"481,094",23.58,"108,701",18.15,"1,360,831",15.75,"15,394,851",-0.51,"1,502,758",-2.18,"7,142,298",-8.12,"275,148",52.53,"4,925,106",6.65,"329,364",17.69,"96,422",16.83,"1,123,755",11.96,"5,272,689",-0.29,"410,105",-5.88,"3,265,537",0.51,"603,502",-28.56,"592,460",26.70,"151,730",38.67,"12,279",29.72,"237,076",37.90
2012M10,"20,520,897",-0.41,"2,009,092",-0.52,"10,571,187",5.66,"854,661",-28.32,"5,349,280",1.97,"307,407",-35.01,"120,102",17.53,"1,309,168",-16.48,"15,407,714",2.92,"1,554,099",10.69,"7,570,319",13.08,"132,807",-67.96,"4,784,178",2.60,"229,502",-29.99,"104,785",7.16,"1,032,024",-24.56,"5,113,183",-9.27,"454,993",-26.09,"3,000,868",-9.33,"721,854",-7.20,"565,102",-3.03,"77,905",-46.36,"15,317",247.40,"277,144",38.81
2012M11,"17,562,105",-8.21,"1,779,746",-4.47,"8,399,725",-12.66,"1,029,636",2.87,"4,731,961",-5.68,"373,988",11.69,"90,215",51.11,"1,156,834",-6.81,"12,885,124",-9.23,"1,359,735",-3.87,"5,714,684",-15.91,"352,721",62.91,"4,135,085",-8.09,"280,375",66.29,"84,596",53.30,"957,928",-8.37,"4,676,981",-5.30,"420,011",-6.37,"2,685,041",-4.83,"676,915",-13.71,"596,876",15.32,"93,613",-43.69,"5,619",24.31,"198,906",1.50
