期間,總人口數_原始值,總人口數_年增率(%),0~4歲_原始值,0~4歲_年增率(%),5~9歲_原始值,5~9歲_年增率(%),10~14歲_原始值,10~14歲_年增率(%),15~19歲_原始值,15~19歲_年增率(%),20~24歲_原始值,20~24歲_年增率(%),25~29歲_原始值,25~29歲_年增率(%),30~34歲_原始值,30~34歲_年增率(%),35~39歲_原始值,35~39歲_年增率(%),40~44歲_原始值,40~44歲_年增率(%),45~49歲_原始值,45~49歲_年增率(%),50~54歲_原始值,50~54歲_年增率(%),55~59歲_原始值,55~59歲_年增率(%),60~64歲_原始值,60~64歲_年增率(%),65~69歲_原始值,65~69歲_年增率(%),70~74歲_原始值,70~74歲_年增率(%),75~79歲_原始值,75~79歲_年增率(%),80~84歲_原始值,80~84歲_年增率(%),85~89歲_原始值,85~89歲_年增率(%),90~94歲_原始值,90~94歲_年增率(%),95~99歲_原始值,95~99歲_年增率(%),100歲以上_原始值,100歲以上_年增率(%),平均年齡(歲)_原始值,平均年齡(歲)_年增率(%)
2008M05,"487,863",1.97,"31,986",-0.18,"39,396",-0.70,"45,752",1.24,"44,900",5.00,"40,075",-2.23,"43,185",3.06,"38,447",1.99,"37,495",0.09,"38,787",0.18,"36,140",3.52,"29,275",6.13,"20,583",7.53,"12,170",6.76,"10,857",0.24,"8,555",2.47,"5,718",3.62,"3,008",5.10,"1,158",9.35,300,1.35,67,21.82,9,-30.77,31.78,0.79
2008M06,"488,773",1.99,"32,015",0.01,"39,331",-0.66,"45,831",1.13,"45,132",5.26,"40,003",-2.40,"43,304",3.18,"38,537",2.02,"37,513",0.03,"38,875",0.47,"36,155",3.21,"29,406",5.81,"20,707",7.79,"12,232",7.09,"10,850",0.06,"8,583",2.68,"5,731",3.41,"3,032",5.61,"1,159",9.03,303,4.12,65,14.04,9,-30.77,31.80,0.77
2008M07,"489,663",2.01,"31,971",-0.10,"39,369",-0.52,"45,826",1.03,"45,328",5.26,"39,997",-2.25,"43,405",3.23,"38,599",1.81,"37,538",0.20,"38,921",0.52,"36,197",3.14,"29,566",5.56,"20,861",8.12,"12,261",7.09,"10,868",0.32,"8,573",2.21,"5,769",3.85,"3,055",6.26,"1,186",9.51,298,2.41,66,17.86,9,-30.77,31.82,1.63
2008M08,"490,765",2.00,"32,030",0.27,"39,383",-0.68,"45,820",0.83,"45,638",5.18,"39,995",-1.96,"43,433",2.94,"38,766",2.03,"37,539",0.11,"38,939",0.52,"36,235",2.94,"29,783",5.72,"21,015",8.10,"12,342",7.14,"10,815",-0.03,"8,592",2.19,"5,782",3.77,"3,074",6.70,"1,209",9.21,297,5.32,69,16.95,9,-25.00,31.84,0.78
2008M09,"491,722",2.02,"32,050",0.69,"39,388",-0.75,"45,861",0.93,"45,820",4.81,"39,959",-1.61,"43,481",2.71,"38,924",2.20,"37,557",0.12,"38,910",0.21,"36,320",3.08,"30,021",5.82,"21,076",7.81,"12,426",7.29,"10,805",-0.16,"8,647",2.50,"5,786",3.60,"3,093",6.43,"1,225",10.16,297,6.07,67,11.67,9,-18.18,31.86,0.76
2008M10,"492,548",2.02,"32,066",0.80,"39,325",-0.75,"45,880",0.70,"45,959",4.82,"39,950",-1.13,"43,549",2.26,"38,988",2.20,"37,623",0.19,"38,827",-0.01,"36,504",3.45,"30,133",5.72,"21,241",7.84,"12,489",7.39,"10,843",-0.29,"8,645",2.34,"5,800",3.46,"3,117",6.64,"1,236",11.15,296,3.50,68,11.48,9,-18.18,31.88,0.76
2008M11,"493,285",2.03,"32,178",1.30,"39,288",-0.72,"45,743",0.31,"46,019",4.66,"39,968",-1.07,"43,645",2.47,"39,067",2.17,"37,647",0.31,"38,813",-0.24,"36,633",3.71,"30,210",5.38,"21,387",7.97,"12,577",7.50,"10,862",-0.08,"8,679",2.54,"5,810",3.27,"3,142",7.05,"1,238",9.36,301,5.61,69,16.95,9,-10.00,31.91,0.76
2008M12,"494,107",2.05,"32,187",1.21,"39,284",-0.34,"45,779",0.21,"46,136",4.45,"39,991",-0.82,"43,766",2.56,"39,125",2.06,"37,660",0.34,"38,813",-0.27,"36,716",3.73,"30,355",5.61,"21,510",7.66,"12,616",7.30,"10,885",0.03,"8,699",2.51,"5,816",3.40,"3,131",6.21,"1,259",9.57,303,5.94,68,17.24,8,-20.00,31.93,0.74
2009M01,"494,785",2.04,"32,136",1.11,"39,211",-0.64,"45,788",0.21,"46,298",4.43,"39,977",-0.53,"43,723",2.18,"39,201",2.22,"37,645",0.36,"38,803",-0.20,"36,778",3.49,"30,623",6.05,"21,652",7.56,"12,666",6.87,"10,891",0.04,"8,724",2.64,"5,852",3.32,"3,156",6.98,"1,281",10.91,303,4.12,69,18.97,8,-20.00,31.96,0.77
2009M02,"496,086",2.14,"32,294",1.50,"39,352",-0.32,"45,897",0.34,"46,608",4.67,"39,955",-0.35,"43,717",1.86,"39,323",2.51,"37,719",0.60,"38,776",-0.10,"36,867",3.05,"30,632",5.79,"21,869",8.05,"12,748",6.73,"10,903",0.21,"8,716",2.84,"5,874",3.45,"3,168",6.56,"1,290",12.17,304,0.33,66,17.86,8,-20.00,31.96,0.72
