期間,總指數_原始值,總指數_年增率(%),總指數(不含土石採取業)_原始值,總指數(不含土石採取業)_年增率(%),總指數(不含建築工程業)_原始值,總指數(不含建築工程業)_年增率(%),總指數(不含土石採取及建築工程業)_原始值,總指數(不含土石採取及建築工程業)_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),製造業_原始值,製造業_年增率(%),金屬機械工業_原始值,金屬機械工業_年增率(%),資訊電子工業_原始值,資訊電子工業_年增率(%),化學工業_原始值,化學工業_年增率(%),民生工業_原始值,民生工業_年增率(%),電力及燃氣供應業_原始值,電力及燃氣供應業_年增率(%),用水供應業_原始值,用水供應業_年增率(%),建築工程業_原始值,建築工程業_年增率(%)
1991,...,...,39.79,7.40,...,...,38.38,7.54,...,...,37.82,7.38,52.44,10.84,11.50,9.94,51.33,5.40,131.67,4.92,43.02,9.05,64.41,5.45,126.89,3.52
1992,...,...,41.55,4.42,...,...,39.93,4.04,...,...,39.29,3.89,56.52,7.78,12.05,4.78,53.27,3.78,131.40,-0.21,45.24,5.16,68.55,6.43,148.65,17.15
1993,...,...,43.15,3.85,...,...,41.14,3.03,...,...,40.28,2.52,57.90,2.44,13.23,9.79,54.53,2.37,127.13,-3.25,49.14,8.62,73.57,7.32,190.57,28.20
1994,...,...,46.00,6.60,...,...,43.56,5.88,...,...,42.59,5.73,60.75,4.92,14.75,11.49,57.70,5.81,129.92,2.19,53.19,8.24,76.66,4.20,236.12,23.90
1995,...,...,48.20,4.78,...,...,45.88,5.33,...,...,44.83,5.26,63.29,4.18,17.05,15.59,59.44,3.02,127.94,-1.52,56.83,6.84,78.29,2.13,226.32,-4.15
1996,49.19,...,49.08,1.83,47.31,...,47.19,2.86,182.06,...,46.03,2.68,64.63,2.12,17.98,5.45,62.00,4.31,125.59,-1.84,64.15,12.88,78.01,-0.36,186.80,-17.46
1997,52.22,6.16,52.09,6.13,50.68,7.12,50.55,7.12,181.97,-0.05,49.36,7.23,70.91,9.72,20.44,13.68,64.76,4.45,124.62,-0.77,68.25,6.39,80.02,2.58,156.62,-16.16
1998,54.00,3.41,53.85,3.38,52.45,3.49,52.30,3.46,170.80,-6.14,50.93,3.18,70.89,-0.03,22.94,12.23,65.16,0.62,121.66,-2.38,73.80,8.13,84.37,5.44,157.48,0.55
1999,57.97,7.35,57.83,7.39,56.32,7.38,56.19,7.44,157.10,-8.02,54.89,7.78,73.04,3.03,26.83,16.96,69.47,6.61,122.41,0.62,76.21,3.27,87.94,4.23,167.89,6.61
2000,61.86,6.71,61.73,6.74,60.68,7.74,60.55,7.76,143.83,-8.45,59.20,7.85,74.99,2.67,32.30,20.39,72.18,3.90,123.64,1.00,81.22,6.57,100.25,14.00,143.29,-14.65
