期間,總件數_原始值,總件數_年增率(%),室外集會_原始值,室外集會_年增率(%),室外遊行_原始值,室外遊行_年增率(%),室內集會_原始值,室內集會_年增率(%),申請核准_原始值,申請核准_年增率(%),申請不核准_原始值,申請不核准_年增率(%),未申請_原始值,未申請_年增率(%),政治性_原始值,政治性_年增率(%),社會性_原始值,社會性_年增率(%),經濟性_原始值,經濟性_年增率(%),涉外性_原始值,涉外性_年增率(%),其他活動性質_原始值,其他活動性質_年增率(%),使用警力(人次)_原始值,使用警力(人次)_年增率(%)
1998,"7,808",88.05,"6,563",96.73,"1,110",79.32,135,-31.47,"7,071",105.55,3,50.00,734,3.38,"6,880",110.40,877,7.87,38,-19.15,1,--,12,-45.45,"369,623",39.06
1999,"1,265",-83.80,991,-84.90,155,-86.04,119,-11.85,557,-92.12,4,33.33,704,-4.09,504,-92.67,676,-22.92,50,31.58,1,0.00,34,183.33,"116,036",-68.61
2000,"2,304",82.13,"1,682",69.73,492,217.42,130,9.24,"1,698",204.85,3,-25.00,603,-14.35,"1,609",219.25,607,-10.21,59,18.00,0,-100.00,29,-14.71,"195,334",68.34
2001,"5,628",144.27,"4,287",154.88,"1,080",119.51,261,100.77,"4,706",177.15,12,300.00,910,50.91,"4,536",181.91,929,53.05,121,105.08,1,--,41,41.38,"323,873",65.80
2002,"5,856",4.05,"4,254",-0.77,"1,368",26.67,234,-10.34,"5,166",9.77,10,-16.67,680,-25.27,"4,867",7.30,862,-7.21,87,-28.10,7,600.00,33,-19.51,"236,764",-26.90
