期間,總計_原始值,總計_年增率(%),中央政府_原始值,中央政府_年增率(%),省市政府_原始值,省市政府_年增率(%),縣市政府_原始值,縣市政府_年增率(%),鄉鎮市公所_原始值,鄉鎮市公所_年增率(%)
2008,"2,231,613,847",-0.59,"1,648,767,679",0.78,"169,721,280",-21.94,"312,887,745",4.58,"100,237,143",8.84
2009,"2,113,644,128",-5.29,"1,566,644,095",-4.98,"162,491,810",-4.26,"288,578,906",-7.77,"95,929,317",-4.30
2010,"2,115,553,880",0.09,"1,500,534,074",-4.22,"188,019,075",15.71,"313,690,751",8.70,"113,309,980",18.12
2011,"2,306,173,039",9.01,"1,672,870,756",11.49,"407,262,696",116.61,"172,053,560",-45.15,"53,986,027",-52.36
2012,"2,321,205,197",0.65,"1,661,695,391",-0.67,"423,819,177",4.07,"183,986,176",6.94,"51,704,453",-4.23
2013,"2,457,613,272",5.88,"1,745,109,020",5.02,"462,206,110",9.06,"196,211,504",6.64,"54,086,638",4.61
2014,"2,467,524,000",0.40,"1,706,892,000",-2.19,"470,370,000",1.77,...,...,...,...
