期間,想工作而未找工作_原始值,想工作而未找工作_年增率(%),想工作而未找工作_原始值,想工作而未找工作_年增率(%),想工作而未找工作_原始值,想工作而未找工作_年增率(%),求學及準備升學_原始值,求學及準備升學_年增率(%),求學及準備升學_原始值,求學及準備升學_年增率(%),求學及準備升學_原始值,求學及準備升學_年增率(%),料理家務_原始值,料理家務_年增率(%),料理家務_原始值,料理家務_年增率(%),料理家務_原始值,料理家務_年增率(%),衰老殘障_原始值,衰老殘障_年增率(%),衰老殘障_原始值,衰老殘障_年增率(%),衰老殘障_原始值,衰老殘障_年增率(%),其它未參與勞動力原因_原始值,其它未參與勞動力原因_年增率(%),其它未參與勞動力原因_原始值,其它未參與勞動力原因_年增率(%),其它未參與勞動力原因_原始值,其它未參與勞動力原因_年增率(%)
1992M07,75,-25.89,50,-21.23,25,-33.72,"1,755",4.95,884,3.23,871,6.76,"2,617",0.68,11,-6.93,"2,606",0.72,"1,211",6.13,690,6.25,522,5.96,330,0.09,288,-2.69,42,24.47
1992M08,63,-32.28,39,-34.72,24,-27.87,"1,720",5.08,866,4.71,854,5.44,"2,597",-0.89,10,-10.52,"2,587",-0.85,"1,222",6.64,694,3.90,528,10.46,333,-1.27,289,-6.10,44,49.56
1992M09,69,-20.25,42,-24.12,27,-13.26,"1,739",3.81,890,4.59,849,3.00,"2,564",-3.39,8,-11.64,"2,555",-3.36,"1,269",9.20,723,6.47,547,13.04,352,2.71,305,-1.38,47,41.03
1992M10,69,-18.41,40,-23.67,28,-9.54,"1,766",3.90,896,3.42,871,4.41,"2,565",-3.68,11,-29.46,"2,554",-3.53,"1,257",7.34,719,6.25,538,8.83,353,7.50,305,4.86,48,28.13
1992M11,69,-14.90,43,-15.09,27,-14.58,"1,797",3.81,899,1.24,898,6.52,"2,569",-1.44,13,3.23,"2,555",-1.46,"1,244",4.84,713,4.37,531,5.47,351,0.51,299,-1.82,52,16.41
1992M12,65,-13.25,40,-17.48,26,-5.84,"1,785",1.51,894,-1.25,891,4.44,"2,590",-0.04,13,-1.83,"2,577",-0.03,"1,262",5.86,735,9.04,526,1.71,346,4.04,297,1.06,49,26.64
1993M01,72,6.69,42,-8.97,30,41.33,"1,839",4.90,924,3.85,916,5.99,"2,597",-0.30,12,11.40,"2,585",-0.35,"1,242",3.76,717,5.68,525,1.25,343,4.49,304,3.32,39,14.45
1993M02,78,15.32,52,17.44,26,11.22,"1,902",6.18,956,6.00,945,6.36,"2,677",1.53,9,-17.77,"2,668",1.60,"1,236",4.39,706,5.26,530,3.25,336,0.06,297,-1.77,39,16.43
1993M03,92,36.56,61,40.10,31,30.12,"1,920",7.09,970,7.75,950,6.43,"2,631",-0.72,12,19.15,"2,619",-0.80,"1,250",5.78,711,5.31,539,6.40,328,-1.10,283,-4.48,45,27.23
1993M04,91,39.09,61,42.20,31,33.32,"1,930",7.52,984,9.14,946,5.88,"2,610",-2.19,11,-0.76,"2,599",-2.20,"1,260",6.41,719,5.96,540,7.02,323,0.39,279,-2.08,45,19.18
1993M05,76,11.80,53,16.86,23,1.53,"1,926",6.42,979,7.42,947,5.40,"2,567",-2.07,9,35.43,"2,557",-2.17,"1,329",10.01,749,9.06,581,11.25,334,6.12,291,3.76,43,25.17
1993M06,85,18.81,62,23.91,23,7.05,"1,962",7.38,"1,005",9.05,958,5.69,"2,577",-0.47,8,-27.34,"2,569",-0.36,"1,326",8.57,750,8.46,576,8.70,323,1.32,288,2.25,35,-5.80
1993M07,97,30.55,63,26.87,34,37.89,"1,831",4.29,944,6.70,887,1.84,"2,628",0.42,8,-30.67,"2,620",0.56,"1,322",9.13,752,8.98,570,9.33,344,4.15,306,6.12,38,-9.37
1993M08,90,43.10,59,51.21,31,29.84,"1,793",4.28,922,6.43,872,2.10,"2,505",-3.52,10,0.79,"2,496",-3.54,"1,349",10.39,761,9.68,588,11.33,350,5.23,313,8.50,37,-16.33
1993M09,86,24.04,51,20.40,35,29.80,"1,880",8.09,967,8.62,913,7.52,"2,500",-2.48,10,15.18,"2,490",-2.54,"1,328",4.66,749,3.58,580,6.09,351,-0.30,312,2.13,39,-16.27
