期間,廣義貨幣總計數M2增( + )  減( - ),國外資產淨額,對政府債權,對公營事業債權,對民間部門債權,政府存款,其他項目(淨額)
2005,"1,517,001","627,642","-65,400","117,067","1,344,522","-6,718","-500,112"
2006,"1,258,148","493,211","68,627","-17,095","742,175","29,933","-58,703"
2007,"214,878","172,633","-112,783","71,797","513,984","-30,076","-400,677"
2008,"1,872,371","1,458,757","119,816","281,625","303,175","-16,185","-274,817"
