期間,日圓_原始值,日圓_年增率(%),日圓_原始值,日圓_年增率(%),港幣_原始值,港幣_年增率(%),港幣_原始值,港幣_年增率(%),新加坡幣_原始值,新加坡幣_年增率(%),新加坡幣_原始值,新加坡幣_年增率(%),泰銖_原始值,泰銖_年增率(%),泰銖_原始值,泰銖_年增率(%),澳幣_原始值,澳幣_年增率(%),澳幣_原始值,澳幣_年增率(%),紐西蘭幣_原始值,紐西蘭幣_年增率(%),紐西蘭幣_原始值,紐西蘭幣_年增率(%),英鎊_原始值,英鎊_年增率(%),英鎊_原始值,英鎊_年增率(%),瑞典克郎_原始值,瑞典克郎_年增率(%),瑞典克郎_原始值,瑞典克郎_年增率(%),加拿大元_原始值,加拿大元_年增率(%),加拿大元_原始值,加拿大元_年增率(%),歐元_原始值,歐元_年增率(%),歐元_原始值,歐元_年增率(%),瑞士法郎_原始值,瑞士法郎_年增率(%),瑞士法郎_原始值,瑞士法郎_年增率(%),南非幣_原始值,南非幣_年增率(%),南非幣_原始值,南非幣_年增率(%)
2010M01,0.3526,7.7141,0.3566,7.6276,4.09,5.38,4.15,5.30,22.66,-1.81,22.86,-1.79,0.95,-0.03,1.00,-0.03,28.44,-24.05,28.64,-23.88,22.46,-22.26,22.66,-22.07,51.42,-11.20,51.82,-11.12,4.31,-7.89,4.41,-7.71,29.91,-10.97,30.11,-10.89,44.46,-3.24,44.86,-3.21,30.33,-4.91,30.53,-4.88,4.17,...,4.27,...
2010M02,0.3570,-0.6162,0.3610,-0.6094,4.10,9.27,4.16,9.13,22.68,-0.62,22.88,-0.61,0.96,-0.22,1.00,-0.21,28.37,-21.01,28.57,-20.86,22.11,-20.62,22.31,-20.44,48.70,1.77,49.10,1.75,4.41,-13.15,4.51,-12.86,30.17,-8.09,30.37,-8.03,43.30,2.01,43.70,1.99,29.64,0.40,29.84,0.40,4.07,...,4.17,...
2010M03,0.3390,1.1209,0.3430,1.1079,4.07,6.88,4.13,6.78,22.62,-1.90,22.82,-1.88,0.97,-2.77,1.01,-2.65,29.02,-19.85,29.22,-19.71,22.48,-14.64,22.68,-14.51,47.83,0.82,48.23,0.81,4.34,-6.68,4.44,-6.53,31.18,-13.57,31.38,-13.48,42.54,5.38,42.94,5.33,29.76,-0.64,29.96,-0.63,4.29,...,4.39,...
2010M04,0.3316,1.7189,0.3356,1.6985,4.02,5.72,4.08,5.64,22.89,-2.23,23.09,-2.21,0.96,-3.29,1.00,-3.14,29.15,-16.47,29.35,-16.35,22.75,-16.70,22.95,-16.56,48.10,2.43,48.50,2.41,4.29,-4.20,4.39,-4.10,31.21,-10.96,31.41,-10.89,41.55,6.21,41.95,6.15,28.99,0.76,29.19,0.75,4.24,...,4.34,...
2010M05,0.3501,-2.7135,0.3541,-2.6829,4.11,1.70,4.17,1.68,22.94,-2.22,23.14,-2.20,0.98,-4.28,1.02,-4.09,27.25,-6.17,27.45,-6.12,21.90,-8.04,22.10,-7.96,46.52,11.76,46.92,11.66,4.07,4.91,4.17,4.80,30.61,-4.48,30.81,-4.45,39.47,15.10,39.87,14.95,27.76,8.14,27.96,8.08,4.17,...,4.27,...
2010M06,0.3621,-5.7443,0.3661,-5.6815,4.12,1.94,4.18,1.91,22.98,-1.74,23.18,-1.73,0.98,-3.18,1.03,-3.04,27.47,-3.39,27.67,-3.36,22.27,-4.36,22.47,-4.32,48.38,12.71,48.78,12.61,4.10,2.93,4.20,2.86,30.65,-7.54,30.85,-7.49,39.27,17.37,39.67,17.19,29.73,1.78,29.93,1.77,4.17,0.24,4.27,0.23
2010M07,0.3690,-7.5610,0.3730,-7.4799,4.10,2.44,4.16,2.40,23.45,-3.33,23.65,-3.30,0.98,-3.01,1.02,-2.87,28.71,-5.71,28.91,-5.67,23.02,-6.91,23.22,-6.85,49.89,8.48,50.29,8.41,4.38,0.91,4.47,0.89,30.88,-2.01,31.08,-1.99,41.62,10.79,42.02,10.69,30.80,-2.31,31.00,-2.29,4.31,-3.25,4.42,-3.39
2010M08,0.3791,-6.9639,0.3831,-6.8912,4.10,2.93,4.16,2.88,23.56,-3.57,23.76,-3.54,1.01,-5.75,1.06,-5.50,28.45,-3.37,28.65,-3.35,22.32,0.18,22.52,0.18,49.28,7.87,49.68,7.81,4.27,6.79,4.37,6.64,30.16,-0.99,30.36,-0.99,40.44,15.73,40.84,15.57,31.32,-1.28,31.52,-1.27,4.30,-2.56,4.41,-2.72
2010M09,0.3741,-4.8383,0.3781,-4.7871,4.01,2.74,4.07,2.70,23.71,-4.51,23.91,-4.48,1.02,-7.15,1.06,-6.85,30.24,-6.81,30.44,-6.77,23.02,0.00,23.22,0.00,49.49,4.02,49.89,3.99,4.61,-1.52,4.71,-1.49,30.25,-1.88,30.45,-1.87,42.48,10.12,42.88,10.03,31.95,-2.94,32.15,-2.92,4.44,-2.93,4.55,-3.08
2010M10,0.3797,-6.5315,0.3837,-6.4634,3.94,5.84,4.00,5.75,23.59,-1.74,23.79,-1.72,1.01,-5.36,1.06,-5.13,29.88,-0.94,30.08,-0.93,23.12,2.12,23.32,2.10,48.73,10.06,49.13,9.97,4.49,2.45,4.59,2.40,30.00,1.13,30.20,1.13,42.46,13.09,42.86,12.97,31.03,2.61,31.23,2.59,4.33,-4.39,4.44,-4.50
