期間,勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%)
1998M03,50.96,1.19,60.37,0.23,156.40,14.74,45.86,8.78,50.07,1.03,101.89,-9.51,78.91,0.11,98.61,2.71,189.07,-5.71,112.59,-25.77,140.43,4.28,73.52,6.74,71.21,10.28,45.38,19.08,43.72,-4.14,78.09,5.78,92.24,-3.27,82.77,-5.52,97.55,-1.76,79.53,0.75,72.81,7.74,100.69,-11.06,26.59,4.15,42.48,0.33,92.47,9.43,68.32,-9.21,87.33,11.05,94.13,7.63,106.44,6.63,77.67,-3.02,60.39,6.68,64.44,7.98,130.84,1.30,103.47,5.67,37.32,-11.12,185.14,-1.62,133.16,1.41,77.11,13.20,83.78,6.33,77.87,1.30,30.88,3.49,49.75,26.24,49.79,-0.70,105.04,-5.90,120.45,-11.54,153.30,-6.79,125.60,1.49,75.93,-0.95,71.56,4.70,91.78,10.86,82.54,12.36,93.42,3.54,80.45,-4.43,79.03,13.08,231.22,1.82,135.55,1.75,84.22,-4.53,109.43,11.44,81.57,-10.92,82.96,-11.62,72.71,-2.64,83.43,2.87,104.55,-0.70,132.63,43.69
1998M04,51.55,4.90,61.40,1.69,146.42,16.35,48.02,10.16,50.40,4.54,108.69,10.94,82.67,5.53,101.08,6.20,208.83,11.58,117.57,-10.82,144.49,5.11,74.74,6.07,75.30,15.19,43.96,8.20,48.46,9.56,77.97,2.08,97.20,2.00,85.10,-9.04,91.18,-2.05,78.82,2.01,74.04,9.72,107.67,-2.43,25.38,5.93,39.30,-2.94,94.80,11.90,71.92,-6.32,85.59,5.17,91.04,1.64,99.70,5.70,77.93,-1.91,65.95,14.52,64.30,10.48,134.48,-0.42,106.23,5.53,43.36,-8.83,178.86,-2.50,137.69,-0.01,74.59,-7.28,74.58,-2.42,77.72,-0.98,29.22,-5.77,50.56,12.78,48.14,-1.63,106.52,-6.41,122.83,-9.86,165.94,-23.71,119.59,-5.51,80.46,2.59,68.31,-0.84,87.94,14.22,84.14,4.30,96.48,2.56,82.86,-3.75,81.82,11.79,253.97,0.95,157.11,8.34,82.98,-7.95,106.22,9.77,90.59,-1.19,85.72,3.55,83.87,5.02,86.31,4.48,95.42,-9.59,101.33,-30.70
1998M05,52.42,8.64,59.28,-5.48,141.26,17.26,47.39,6.16,50.87,7.96,100.78,10.43,88.57,11.69,98.49,5.60,221.35,11.75,123.37,-2.47,145.76,5.32,73.67,3.60,74.18,16.40,46.64,20.49,47.70,10.62,77.33,1.12,96.23,-0.18,83.19,0.11,91.77,-0.75,79.12,7.30,76.78,15.72,108.12,-1.86,25.80,6.74,41.93,10.05,95.33,9.70,73.13,-0.71,84.81,2.85,89.11,-4.22,97.93,7.37,75.89,-5.16,74.02,20.44,64.20,17.41,139.46,4.52,111.10,18.89,43.62,-3.26,189.91,4.91,143.88,5.16,83.80,4.51,73.91,0.89,79.83,3.63,28.34,2.68,51.40,8.99,49.50,3.90,112.73,2.96,126.12,-7.92,153.41,-0.74,138.66,-0.76,95.64,17.05,74.64,14.74,95.01,11.68,87.27,10.73,107.21,2.02,81.89,-2.99,82.12,16.30,267.57,9.31,164.72,7.21,87.43,1.20,110.28,11.16,97.93,14.08,93.79,16.81,86.96,11.20,93.49,22.93,89.48,-4.53,96.54,-4.07
1998M06,51.66,6.10,55.99,-3.80,129.88,5.17,45.78,6.71,50.11,5.72,101.48,3.20,90.51,20.44,94.59,0.85,220.25,14.12,115.68,5.29,139.21,8.57,75.81,6.21,75.36,9.68,48.24,21.18,43.52,1.85,72.57,1.27,93.06,2.21,78.07,-2.66,86.45,-6.11,76.09,2.29,72.33,4.28,107.84,-0.50,25.79,2.83,44.75,12.64,90.43,9.91,70.28,-5.22,84.06,10.27,89.35,-0.96,94.91,4.94,76.54,-0.60,71.13,10.66,61.56,3.95,134.06,-3.66,112.04,4.47,45.44,-0.81,185.97,-7.91,138.39,-3.25,78.14,-12.48,70.75,-17.97,80.77,0.47,27.52,-8.63,51.92,0.37,49.94,-7.28,105.38,-5.56,120.22,-6.57,183.76,12.11,132.04,-5.35,82.45,-4.39,71.54,-4.50,94.47,3.62,88.51,3.86,99.78,0.32,83.44,-0.49,81.02,7.43,246.42,-3.28,145.47,-5.11,90.21,-4.37,106.82,4.73,95.58,-7.84,85.32,2.31,83.45,-0.48,87.38,3.85,85.92,-10.13,172.05,18.34
1998M07,49.78,6.80,56.49,8.59,129.77,14.20,45.59,17.83,47.83,5.98,94.81,6.98,87.63,13.53,94.93,4.79,249.47,20.27,113.05,7.30,139.76,7.28,72.12,3.53,69.04,15.49,39.21,0.54,42.67,1.91,74.92,3.81,85.46,-3.25,72.72,-12.31,85.90,-1.24,79.46,11.99,74.12,15.51,104.53,3.64,23.93,-2.21,42.15,13.12,84.97,11.61,65.93,-2.79,74.98,6.45,79.64,-3.41,88.99,1.19,73.87,1.89,76.09,19.11,64.09,11.33,134.66,-1.92,107.21,-3.71,42.75,-7.57,181.66,-12.56,140.44,-1.27,85.00,-3.97,66.06,-10.43,75.63,-4.13,23.86,-14.57,53.91,3.65,49.41,2.47,102.74,-0.93,130.48,-13.46,165.31,6.62,137.10,-4.34,84.89,-2.00,91.70,12.18,95.48,11.93,86.82,6.41,95.19,-0.50,78.27,-8.18,76.36,0.24,273.42,6.62,152.12,-3.13,90.84,-8.71,112.43,6.62,94.47,1.68,88.93,7.43,83.64,5.97,87.92,2.84,75.94,-7.42,103.38,14.19
1998M08,51.41,6.66,56.37,6.68,122.33,10.34,46.32,14.23,49.33,5.95,98.95,-2.42,85.61,4.61,95.80,8.21,244.81,6.79,113.22,9.77,148.80,12.82,69.60,0.85,69.80,16.66,47.91,6.07,43.96,1.06,77.76,9.27,85.23,1.88,73.99,-7.88,85.67,-0.37,81.38,16.34,75.78,13.78,103.95,1.19,24.97,-3.25,42.75,12.09,88.12,17.18,65.36,-7.96,75.17,13.79,84.85,-7.01,87.68,-2.26,77.12,3.34,82.10,10.96,70.26,14.58,130.47,-3.61,108.41,-4.77,47.69,-3.42,177.79,-12.75,136.14,-2.97,80.21,10.97,69.17,-6.83,76.18,-7.03,24.61,-1.09,53.48,-0.61,48.04,-3.69,109.63,0.59,121.44,-14.29,137.81,-11.18,128.72,-7.56,76.20,-9.00,77.82,5.83,96.62,4.35,87.18,4.03,93.72,-8.47,77.75,-10.04,76.62,-2.64,245.14,6.87,143.95,-6.39,89.37,-12.73,116.98,13.88,113.93,-3.54,90.95,4.20,84.54,4.56,84.53,-0.25,73.93,-9.00,84.36,-5.66
1998M09,52.48,6.08,56.67,2.05,116.52,-8.65,47.44,14.98,51.00,5.85,95.48,-5.87,82.98,4.91,98.37,7.61,213.48,4.44,116.89,15.93,139.09,-1.64,70.92,0.37,72.56,8.54,53.53,26.13,46.31,4.99,77.07,3.88,86.98,-4.90,78.37,-0.17,89.93,6.21,79.56,4.97,74.72,6.91,105.29,5.42,26.40,-2.83,47.55,15.72,88.73,12.30,67.19,-5.87,75.82,-2.14,90.65,-0.74,92.31,2.67,75.06,4.13,71.63,7.99,68.28,5.70,133.77,-4.30,110.09,-5.22,50.55,15.36,178.08,-19.51,137.92,-4.10,92.92,8.86,74.66,-5.41,77.31,-7.59,28.98,-1.09,53.98,-5.35,51.02,5.96,113.96,0.38,120.27,-17.64,181.66,14.94,133.38,-11.46,91.38,2.60,77.68,4.13,92.10,-8.59,87.45,-3.26,99.73,0.24,80.26,-4.83,77.19,-8.61,240.61,6.41,136.41,-10.97,92.79,-10.41,116.21,8.63,117.30,5.02,82.47,-1.07,80.84,-8.88,91.57,0.09,86.42,-5.76,85.12,-4.46
1998M10,55.13,5.61,56.33,-5.72,130.56,-1.11,46.74,7.55,53.83,5.38,96.25,-5.85,83.33,-1.31,100.82,7.19,224.01,8.74,124.90,10.75,139.37,-1.60,72.56,-0.82,79.83,19.52,50.65,20.08,49.69,11.79,79.95,4.51,88.98,-1.61,77.11,-10.52,96.48,3.34,81.19,-2.16,80.63,3.90,112.38,3.70,26.59,-2.60,55.31,19.51,89.06,6.94,73.41,-4.25,78.14,-5.53,88.73,-2.41,102.66,1.55,81.41,-3.51,73.35,9.38,72.10,10.33,128.08,-2.27,114.37,8.73,45.36,5.27,187.07,-7.07,131.42,-2.06,91.21,12.93,76.91,2.02,78.18,-5.97,27.85,-6.89,50.50,-6.17,55.97,13.69,110.72,-0.99,114.58,-22.73,131.32,-17.04,124.64,-3.85,80.18,4.66,76.10,4.28,97.93,5.14,83.16,1.61,99.00,6.33,78.17,1.53,75.21,-3.25,240.59,4.51,116.28,-9.83,91.06,-4.68,107.95,9.43,103.01,10.80,89.47,9.24,78.03,-1.35,85.15,9.43,86.50,-4.28,85.54,-28.72
1998M11,55.10,6.76,59.87,5.28,138.79,-0.17,48.65,17.65,54.06,6.54,98.23,-6.56,85.57,1.03,99.07,8.55,222.68,19.96,123.59,12.18,141.43,-4.33,75.98,6.30,71.88,8.63,49.00,16.44,45.14,1.83,80.48,3.18,91.13,-2.47,75.71,-10.55,96.68,-0.61,85.14,3.31,82.14,7.11,111.60,5.23,28.10,-0.57,54.90,19.79,93.15,15.97,69.12,-7.07,81.33,-9.17,85.38,-5.79,108.58,8.56,76.92,-2.90,69.17,10.78,72.95,9.44,127.57,-5.45,107.69,-3.19,44.03,4.39,178.52,-16.45,130.20,-5.32,84.01,6.99,77.89,-5.80,76.87,-11.55,28.87,-10.98,51.52,-2.96,52.95,11.50,105.63,-9.14,129.32,-16.37,158.77,-10.44,137.12,8.83,80.87,-1.06,77.06,3.56,96.75,0.18,83.35,5.07,92.94,-1.72,76.53,-4.72,75.19,-7.57,225.21,0.63,116.79,-13.78,87.59,-13.23,113.67,8.74,94.30,4.94,90.44,1.70,72.27,-8.63,88.88,5.03,92.94,-6.42,85.89,-15.91
1998M12,53.87,4.60,60.12,0.47,137.68,-0.56,47.88,14.44,52.98,4.29,100.24,-5.25,83.04,-0.78,98.52,7.74,245.61,15.88,122.72,6.80,140.44,8.48,74.81,8.75,72.55,5.85,45.26,20.15,42.88,-3.64,78.12,-0.62,95.18,5.29,77.65,-11.10,91.98,-5.92,85.91,3.13,80.38,5.93,114.07,9.01,27.22,-3.51,49.59,9.64,95.02,14.66,75.12,-7.86,85.31,-6.84,88.82,3.70,108.01,2.83,77.60,4.96,63.53,11.03,69.58,15.07,138.10,-1.93,103.10,-4.94,39.75,-7.54,178.44,-16.91,139.06,-1.89,86.30,9.85,88.56,-18.69,79.51,-8.12,25.59,-15.12,54.30,7.23,53.11,-4.94,122.75,-7.25,161.03,14.37,151.55,-30.72,161.51,4.97,100.14,15.30,104.46,-11.77,111.34,17.52,86.44,14.58,91.76,2.19,77.25,-1.15,74.51,-13.30,233.12,0.07,130.86,0.38,90.37,-5.30,107.12,7.37,107.43,14.25,107.25,4.51,71.07,-5.73,85.52,-12.80,158.43,2.39,96.40,9.81
