期間,資產--放款_原始值,資產--放款_年增率(%),資產--證券投資-政府債券_原始值,資產--證券投資-政府債券_年增率(%),資產--證券投資-股份與債券等-公營事業_原始值,資產--證券投資-股份與債券等-公營事業_年增率(%),資產--證券投資-股份與債券等-民營企業_原始值,資產--證券投資-股份與債券等-民營企業_年增率(%),資產--證券投資-股份與債券等-金融機構_原始值,資產--證券投資-股份與債券等-金融機構_年增率(%),資產--不動產投資_原始值,資產--不動產投資_年增率(%),資產--對金融機構債權-中央銀行_原始值,資產--對金融機構債權-中央銀行_年增率(%),資產--對金融機構債權-其他貨幣機構_原始值,資產--對金融機構債權-其他貨幣機構_年增率(%),資產--對金融機構債權-其他金融機構_原始值,資產--對金融機構債權-其他金融機構_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),資產--其他資產_原始值,資產--其他資產_年增率(%),資產合計=負債淨值合計_原始值,資產合計=負債淨值合計_年增率(%),負債與淨值--信託資金_原始值,負債與淨值--信託資金_年增率(%),負債與淨值--對金融機構負債-中央銀行_原始值,負債與淨值--對金融機構負債-中央銀行_年增率(%),負債與淨值--對金融機構負債-其他貨幣機構_原始值,負債與淨值--對金融機構負債-其他貨幣機構_年增率(%),負債與淨值--對金融機構負債-其他金融機構_原始值,負債與淨值--對金融機構負債-其他金融機構_年增率(%),負債與淨值--其他負債_原始值,負債與淨值--其他負債_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%)
1985,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,--
1986,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,--
1987,"71,001",...,"15,112",...,"4,252",...,"18,327",...,"14,100",...,"8,124",...,8,...,"7,379",...,570,...,199,...,"64,704",...,"203,776",...,"136,970",...,803,...,"21,954",...,230,...,"34,845",...,"8,974",--
1988,"99,832",40.61,"20,424",35.15,"3,588",-15.62,"21,978",19.92,"13,504",-4.23,"6,256",-22.99,10,25.00,"13,921",88.66,92,-83.86,200,0.50,"73,315",13.31,"253,120",24.21,"168,116",22.74,412,-48.69,"17,051",-22.33,"1,520",560.87,"41,538",19.21,"24,483",--
1989,"142,418",42.66,"36,843",80.39,"4,037",12.51,"32,555",48.13,"17,437",29.12,"5,323",-14.91,15,50.00,"48,204",246.27,"1,350","1,367.39",312,56.00,"71,663",-2.25,"360,157",42.29,"252,114",49.96,502,21.84,"18,193",6.70,"4,800",215.79,"45,780",10.21,"38,768",--
1990,"203,556",42.93,"28,210",-23.43,"9,212",128.19,"45,184",38.79,"37,413",114.56,"5,958",11.93,20,33.33,"80,171",66.32,"1,169",-13.41,377,20.83,"79,331",10.70,"490,601",36.22,"362,403",43.75,464,-7.57,"16,723",-8.08,"5,110",6.46,"54,574",19.21,"51,327",--
1991,"292,197",43.55,"48,986",73.65,"9,499",3.12,"45,423",0.53,"43,760",16.96,"8,915",49.63,15,-25.00,"91,592",14.25,"8,892",660.65,458,21.49,"84,264",6.22,"634,001",29.23,"481,597",32.89,694,49.57,"19,038",13.84,"12,220",139.14,"62,373",14.29,"58,079",--
1992,"233,222",-20.18,"48,154",-1.70,"8,254",-13.11,"37,625",-17.17,"14,748",-66.30,"9,591",7.58,11,-26.67,"28,563",-68.81,"3,677",-58.65,212,-53.71,"73,136",-13.21,"457,193",-27.89,"325,028",-32.51,737,6.20,"21,726",14.12,"5,100",-58.27,"59,460",-4.67,"45,142",--
1993,"276,074",18.37,"50,539",4.95,"6,503",-21.21,"40,387",7.34,"20,352",38.00,"13,299",38.66,4,-63.64,"38,645",35.30,903,-75.44,202,-4.72,"73,254",0.16,"520,162",13.77,"361,091",11.10,"1,203",63.23,"28,090",29.29,"5,590",9.61,"66,315",11.53,"57,873",--
1994,"220,537",-20.12,"46,034",-8.91,"4,992",-23.24,"38,999",-3.44,"23,674",16.32,"11,701",-12.02,"13,643","340,975.00","33,309",-13.81,"3,385",274.86,89,-55.94,"108,680",48.36,"505,043",-2.91,"276,617",-23.39,921,-23.44,"23,028",-18.02,"7,065",26.39,"129,283",94.95,"68,129",--
1995,"215,982",-2.07,"38,620",-16.11,"2,676",-46.39,"41,315",5.94,"20,472",-13.53,"14,802",26.50,33,-99.76,"31,142",-6.51,"1,891",-44.14,74,-16.85,"40,332",-62.89,"407,339",-19.35,"260,731",-5.74,"1,216",32.03,"20,877",-9.34,"8,196",16.01,"56,301",-56.45,"60,018",--
1996,"219,851",1.79,"36,916",-4.41,"3,398",26.98,"51,100",23.68,"23,558",15.07,"23,632",59.65,3,-90.91,"26,378",-15.30,"1,310",-30.72,92,24.32,"43,817",8.64,"430,055",5.58,"266,438",2.19,453,-62.75,"35,131",68.28,"5,443",-33.59,"55,324",-1.74,"67,266",--
