期間,總計_原始值,總計_年增率(%),男_原始值,男_年增率(%),女_原始值,女_年增率(%),專門性技術性工作_原始值,專門性技術性工作_年增率(%),華僑或外國人投資設立事業之主管工作_原始值,華僑或外國人投資設立事業之主管工作_年增率(%),學校教師工作_原始值,學校教師工作_年增率(%),補習班語文教師工作_原始值,補習班語文教師工作_年增率(%),運動教練及運動員工作_原始值,運動教練及運動員工作_年增率(%),宗教、藝術及演藝工作_原始值,宗教、藝術及演藝工作_年增率(%),履約_原始值,履約_年增率(%)
2004,"20,751",...,"16,474",...,"4,277",...,"11,228",...,633,...,"1,604",...,"5,934",...,41,...,"1,311",...,...,...
2005,"25,933",24.97,"20,930",27.05,"5,003",16.97,"13,118",16.83,"1,044",64.93,"2,061",28.49,"6,630",11.73,27,-34.15,"1,516",15.64,"1,537",...
