期間,授信部門-中央銀行_原始值,授信部門-中央銀行_年增率(%),受信部門-其他貨幣機構_原始值,受信部門-其他貨幣機構_年增率(%),受信部門-其他金融機構_原始值,受信部門-其他金融機構_年增率(%)
2009,"619,440",52.85,"619,440",52.85,-,--
2010,"383,174",-38.14,"383,174",-38.14,-,--
2011,"566,275",47.79,"566,275",47.79,-,--
2012,"344,895",-39.09,"344,895",-39.09,-,--
