期間,當期價格_金額(新台幣百萬元),"當期價格_對上季增率折成年率(saar,%)","當期價格_對上季增率(saqr,%)",當期價格_金額(新台幣百萬元),"當期價格_對上季增率折成年率(saar,%)","當期價格_對上季增率(saqr,%)",當期價格_金額(新台幣百萬元),"當期價格_對上季增率折成年率(saar,%)","當期價格_對上季增率(saqr,%)",當期價格_金額(新台幣百萬元),"當期價格_對上季增率折成年率(saar,%)","當期價格_對上季增率(saqr,%)",當期價格_金額(新台幣百萬元),"當期價格_對上季增率折成年率(saar,%)","當期價格_對上季增率(saqr,%)",當期價格_金額(新台幣百萬元),"當期價格_對上季增率折成年率(saar,%)","當期價格_對上季增率(saqr,%)",當期價格_金額(新台幣百萬元),"當期價格_對上季增率折成年率(saar,%)","當期價格_對上季增率(saqr,%)",當期價格_金額(新台幣百萬元),"當期價格_對上季增率折成年率(saar,%)","當期價格_對上季增率(saqr,%)",按2006年價格_金額(新台幣百萬元),"按2006年價格_對上季增率折成年率(saar,%)","按2006年價格_對上季增率(saqr,%)",按2006年價格_金額(新台幣百萬元),"按2006年價格_對上季增率折成年率(saar,%)","按2006年價格_對上季增率(saqr,%)",按2006年價格_金額(新台幣百萬元),"按2006年價格_對上季增率折成年率(saar,%)","按2006年價格_對上季增率(saqr,%)",按2006年價格_金額(新台幣百萬元),"按2006年價格_對上季增率折成年率(saar,%)","按2006年價格_對上季增率(saqr,%)",按2006年價格_金額(新台幣百萬元),"按2006年價格_對上季增率折成年率(saar,%)","按2006年價格_對上季增率(saqr,%)",按2006年價格_金額(新台幣百萬元),"按2006年價格_對上季增率折成年率(saar,%)","按2006年價格_對上季增率(saqr,%)",按2006年價格_金額(新台幣百萬元),"按2006年價格_對上季增率折成年率(saar,%)","按2006年價格_對上季增率(saqr,%)",按2006年價格_金額(新台幣百萬元),"按2006年價格_對上季增率折成年率(saar,%)","按2006年價格_對上季增率(saqr,%)"
1997Q3,"2,173,957",15.81,3.74,"2,136,926",17.28,4.07,"1,264,374",13.05,3.11,"332,801",41.22,9.01,"539,751",14.34,3.41,"37,031",--,--,"1,029,766",28.95,6.56,"992,735",33.14,7.42,"2,111,288",5.74,1.40,"2,296,998",4.16,1.02,"1,329,834",8.80,2.13,"362,378",10.74,2.58,"604,786",-8.51,-2.20,"-185,710",--,--,"1,006,226",26.97,6.15,"1,191,936",19.68,4.59
1997Q4,"2,242,716",13.26,3.16,"2,194,184",11.16,2.68,"1,276,559",3.91,0.96,"333,997",1.45,0.36,"583,628",36.70,8.13,"48,532",--,--,"1,128,181",44.07,9.56,"1,079,649",39.89,8.76,"2,135,429",4.65,1.14,"2,374,723",14.24,3.38,"1,346,172",5.01,1.23,"364,730",2.62,0.65,"663,821",45.14,9.76,"-239,294",--,--,"1,041,016",14.56,3.46,"1,280,310",33.12,7.41
1998Q1,"2,250,476",1.39,0.35,"2,254,584",11.47,2.75,"1,308,350",10.34,2.49,"334,219",0.27,0.07,"612,015",20.92,4.86,"-4,108",--,--,"1,101,746",-9.05,-2.34,"1,105,854",10.07,2.43,"2,149,593",2.68,0.66,"2,446,566",12.66,3.03,"1,372,547",8.07,1.96,"372,572",8.88,2.15,"701,447",24.67,5.67,"-296,973",--,--,"991,714",-17.64,-4.74,"1,288,687",2.64,0.65
1998Q2,"2,273,982",4.24,1.04,"2,233,512",-3.69,-0.93,"1,319,477",3.45,0.85,"337,707",4.24,1.04,"576,328",-21.36,-5.83,"40,470",--,--,"1,094,217",-2.71,-0.68,"1,053,747",-17.56,-4.71,"2,150,631",0.19,0.05,"2,409,053",-5.99,-1.53,"1,380,685",2.39,0.59,"382,589",11.20,2.69,"645,779",-28.16,-7.94,"-258,422",--,--,"990,454",-0.51,-0.13,"1,248,876",-11.80,-3.09
1998Q3,"2,341,311",12.38,2.96,"2,277,765",8.16,1.98,"1,339,763",6.29,1.54,"325,696",-13.49,-3.56,"612,306",27.41,6.24,"63,546",--,--,"1,135,882",16.12,3.81,"1,072,336",7.25,1.76,"2,190,598",7.64,1.86,"2,407,884",-0.19,-0.05,"1,401,488",6.16,1.51,"341,176",-36.76,-10.82,"665,220",12.60,3.01,"-217,286",--,--,"1,045,895",24.34,5.60,"1,263,181",4.66,1.15
1998Q4,"2,338,405",-0.50,-0.12,"2,342,628",11.89,2.85,"1,383,970",13.87,3.30,"366,792",60.85,12.62,"591,866",-12.70,-3.34,"-4,223",--,--,"1,027,906",-32.94,-9.51,"1,032,129",-14.18,-3.75,"2,188,993",-0.29,-0.07,"2,489,588",14.28,3.39,"1,432,556",9.17,2.22,"382,171",57.44,12.02,"674,861",5.92,1.45,"-300,595",--,--,"1,003,665",-15.20,-4.04,"1,304,260",13.66,3.25
1999Q1,"2,383,925",8.02,1.95,"2,307,377",-5.88,-1.50,"1,375,212",-2.51,-0.63,"344,129",-22.52,-6.18,"588,036",-2.56,-0.65,"76,548",--,--,"1,117,119",39.50,8.68,"1,040,571",3.31,0.82,"2,265,109",14.65,3.48,"2,466,305",-3.69,-0.94,"1,429,410",-0.88,-0.22,"374,447",-7.84,-2.02,"662,448",-7.16,-1.84,"-201,196",--,--,"1,096,225",42.31,9.22,"1,297,421",-2.08,-0.52
1999Q2,"2,398,971",2.55,0.63,"2,312,457",0.88,0.22,"1,409,400",10.32,2.49,"332,781",-12.55,-3.30,"570,276",-11.54,-3.02,"86,514",--,--,"1,130,006",4.69,1.15,"1,043,492",1.13,0.28,"2,295,514",5.48,1.34,"2,477,661",1.85,0.46,"1,464,563",10.21,2.46,"370,430",-4.22,-1.07,"642,668",-11.42,-2.99,"-182,147",--,--,"1,121,077",9.38,2.27,"1,303,224",1.80,0.45
1999Q3,"2,427,651",4.87,1.20,"2,370,015",10.33,2.49,"1,426,804",5.03,1.23,"328,435",-5.12,-1.31,"614,776",35.06,7.80,"57,636",--,--,"1,132,941",1.04,0.26,"1,075,305",12.76,3.05,"2,301,974",1.13,0.28,"2,491,383",2.23,0.55,"1,478,714",3.92,0.97,"334,982",-33.13,-9.57,"677,687",23.64,5.45,"-189,409",--,--,"1,124,894",1.37,0.34,"1,314,303",3.44,0.85
1999Q4,"2,438,502",1.80,0.45,"2,416,883",8.15,1.98,"1,454,449",7.98,1.94,"326,368",-2.49,-0.63,"636,066",14.59,3.46,"21,619",--,--,"1,182,106",18.52,4.34,"1,160,487",35.65,7.92,"2,335,501",5.95,1.46,"2,552,294",10.14,2.44,"1,498,090",5.35,1.31,"340,398",6.63,1.62,"713,806",23.08,5.33,"-216,793",--,--,"1,184,076",22.76,5.26,"1,400,869",29.06,6.59
