期間,總計_原始值,總計_年增率(%),男_原始值,男_年增率(%),女_原始值,女_年增率(%),專門性技術性工作_原始值,專門性技術性工作_年增率(%),華僑或外國人投資設立事業之主管工作_原始值,華僑或外國人投資設立事業之主管工作_年增率(%),學校教師工作_原始值,學校教師工作_年增率(%),補習班語文教師工作_原始值,補習班語文教師工作_年增率(%),運動教練及運動員工作_原始值,運動教練及運動員工作_年增率(%),宗教、藝術及演藝工作_原始值,宗教、藝術及演藝工作_年增率(%),履約_原始值,履約_年增率(%)
2011M11,"26,530",2.38,"21,338",1.20,"5,192",7.54,"13,835",1.27,"1,622",8.93,"2,380",0.46,"5,716",1.47,42,40.00,"1,682",21.44,"1,253",-6.84
2011M12,"26,798",0.79,"21,664",0.27,"5,134",3.01,"13,981",0.31,"1,644",9.38,"2,406",0.38,"5,715",1.33,40,11.11,"1,685",-0.82,"1,327",-3.56
2012M01,"26,104",0.38,"21,079",0.53,"5,025",-0.26,"13,585",1.82,"1,647",12.04,"2,405",-0.17,"5,654",-0.86,30,20.00,"1,640",-13.09,"1,143",-2.22
2012M02,"26,170",0.55,"21,165",0.80,"5,005",-0.54,"13,677",2.10,"1,674",13.34,"2,415",1.64,"5,645",-0.79,44,29.41,"1,527",-20.26,"1,188",4.21
2012M03,"26,989",5.96,"21,688",5.39,"5,301",8.32,"14,037",4.78,"1,736",16.51,"2,708",11.35,"5,680",2.77,45,40.62,"1,679",19.67,"1,104",-7.30
2012M04,"26,878",1.69,"21,533",1.52,"5,345",2.38,"13,816",1.67,"1,706",12.76,"2,820",1.37,"5,673",-0.11,43,22.86,"1,721",2.44,"1,099",-4.68
2012M05,"27,627",2.72,"22,012",2.60,"5,615",3.20,"13,925",2.05,"1,730",14.87,"3,014",0.60,"5,754",1.12,41,17.14,"1,972",6.59,"1,191",1.53
2012M06,"28,962",1.91,"22,819",1.63,"6,143",2.93,"14,188",2.61,"1,740",13.50,"3,455",1.26,"5,843",-1.35,34,0.00,"2,426",-5.75,"1,276",14.23
2012M07,"29,091",4.05,"23,128",4.30,"5,963",3.08,"14,303",3.27,"1,746",13.67,"3,329",3.26,"5,952",0.66,39,-9.30,"2,330",0.43,"1,392",29.61
2012M08,"27,475",4.89,"22,086",4.75,"5,389",5.46,"14,100",3.38,"1,781",13.66,"2,287",3.48,"5,785",-0.96,34,-22.73,"2,112",15.73,"1,376",28.84
2012M09,"28,007",4.89,"22,335",4.37,"5,672",6.96,"14,172",3.20,"1,796",12.81,"2,342",1.78,"5,500",-2.15,33,-15.38,"2,943",26.58,"1,221",11.81
2012M10,"27,699",5.51,"22,142",4.55,"5,557",9.52,"14,291",3.80,"1,810",13.55,"2,381",1.36,"5,586",-0.78,31,-55.07,"2,356",39.99,"1,244",7.24
2012M11,"27,545",3.83,"22,023",3.21,"5,522",6.36,"14,364",3.82,"1,842",13.56,"2,404",1.01,"5,677",-0.68,105,150.00,"1,970",17.12,"1,183",-5.59
2012M12,"27,624",3.08,"22,209",2.52,"5,415",5.47,"14,465",3.46,"1,853",12.71,"2,445",1.62,"5,615",-1.75,29,-27.50,"1,948",15.61,"1,269",-4.37
2013M01,"26,948",3.23,"21,631",2.62,"5,317",5.81,"14,113",3.89,"1,852",12.45,"2,445",1.66,"5,654",0.00,25,-16.67,"1,720",4.88,"1,139",-0.35
2013M02,"27,053",3.37,"21,735",2.69,"5,318",6.25,"14,182",3.69,"1,853",10.69,"2,403",-0.50,"5,573",-1.28,39,-11.36,"1,837",20.30,"1,166",-1.85
2013M03,"28,170",4.38,"22,482",3.66,"5,688",7.30,"14,482",3.17,"1,875",8.01,"2,647",-2.25,"5,475",-3.61,48,6.67,"2,288",36.27,"1,355",22.74
2013M04,"27,698",3.05,"22,179",3.00,"5,519",3.26,"14,411",4.31,"1,875",9.91,"2,780",-1.42,"5,499",-3.07,42,-2.33,"1,640",-4.71,"1,451",32.03
2013M05,"28,290",2.40,"22,561",2.49,"5,729",2.03,"14,571",4.64,"1,891",9.31,"2,980",-1.13,"5,529",-3.91,51,24.39,"1,839",-6.74,"1,429",19.98
2013M06,"29,665",2.43,"23,474",2.87,"6,191",0.78,"14,839",4.59,"1,924",10.57,"3,500",1.30,"5,646",-3.37,54,58.82,"2,266",-6.60,"1,436",12.54
2013M07,"29,017",-0.25,"23,081",-0.20,"5,936",-0.45,"14,822",3.63,"1,892",8.36,"3,290",-1.17,"5,640",-5.24,43,10.26,"1,991",-14.55,"1,339",-3.81
2013M08,"27,100",-1.36,"21,825",-1.18,"5,275",-2.12,"14,565",3.30,"1,904",6.91,"2,241",-2.01,"5,389",-6.85,43,26.47,"1,614",-23.58,"1,344",-2.33
2013M09,"27,547",-1.64,"22,009",-1.46,"5,538",-2.36,"14,728",3.92,"1,919",6.85,"2,295",-2.01,"5,086",-7.53,42,27.27,"2,171",-26.23,"1,306",6.96
2013M10,"27,573",-0.45,"22,070",-0.33,"5,503",-0.97,"14,700",2.86,"1,955",8.01,"2,329",-2.18,"5,120",-8.34,42,35.48,"2,112",-10.36,"1,315",5.71
2013M11,"27,659",0.41,"22,191",0.76,"5,468",-0.98,"14,686",2.24,"1,980",7.49,"2,371",-1.37,"5,202",-8.37,145,38.10,"1,914",-2.84,"1,361",15.05
2013M12,"27,627",0.01,"22,093",-0.52,"5,534",2.20,"14,855",2.70,"2,010",8.47,"2,408",-1.51,"5,094",-9.28,39,34.48,"1,818",-6.67,"1,403",10.56
2014M01,"26,761",-0.69,"21,410",-1.02,"5,351",0.64,"14,533",2.98,"1,988",7.34,"2,366",-3.23,"5,113",-9.57,39,56.00,"1,601",-6.92,"1,121",-1.58
2014M02,"27,057",0.01,"21,686",-0.23,"5,371",1.00,"14,641",3.24,"2,017",8.85,"2,357",-1.91,"5,235",-6.06,47,20.51,"1,574",-14.32,"1,186",1.72
2014M03,"27,856",-1.11,"22,330",-0.68,"5,526",-2.85,"14,962",3.31,"2,051",9.39,"2,577",-2.64,"5,129",-6.32,48,0.00,"1,810",-20.89,"1,279",-5.61
2014M04,"27,676",-0.08,"22,145",-0.15,"5,531",0.22,"14,862",3.13,"2,059",9.81,"2,730",-1.80,"5,187",-5.67,46,9.52,"1,408",-14.15,"1,384",-4.62
2014M05,"28,346",0.20,"22,549",-0.05,"5,797",1.19,"14,954",2.63,"2,073",9.62,"2,907",-2.45,"5,161",-6.66,71,39.22,"1,929",4.89,"1,251",-12.46
2014M06,"29,156",-1.72,"22,966",-2.16,"6,190",-0.02,"15,062",1.50,"2,074",7.80,"3,295",-5.86,"5,231",-7.35,71,31.48,"2,184",-3.62,"1,239",-13.72
2014M07,"29,337",1.10,"23,076",-0.02,"6,261",5.48,"15,161",2.29,"2,104",11.21,"3,145",-4.41,"5,400",-4.26,78,81.40,"2,245",12.76,"1,204",-10.08
