期間,新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%)
2010M09,335,53.67,26,160.00,3,200.00,0,-,11,37.50,6,500.00,3,50.00,1,-66.67,5,25.00,7,0.00,0,-100.00,7,0.00,7,-22.22,0,-,0,-100.00,26,23.81,11,83.33,7,75.00,82,105.00,25,13.64,8,-20.00,16,77.78,50,51.52,13,225.00,2,-33.33,0,-100.00,19,171.43,184,-15.98,9,12.50,1,-50.00,0,-,9,-47.06,5,400.00,1,-75.00,1,-75.00,4,-20.00,10,11.11,0,-,4,100.00,7,250.00,0,-100.00,2,-50.00,13,-38.10,7,40.00,2,-66.67,26,-10.34,18,-14.29,9,-57.14,5,-28.57,33,-8.33,5,400.00,1,-50.00,4,-33.33,8,60.00
2010M10,352,37.50,24,-11.11,1,0.00,0,-,13,18.18,10,233.33,3,50.00,1,0.00,6,200.00,13,160.00,2,0.00,9,-,12,50.00,1,-50.00,5,66.67,20,17.65,5,-58.33,6,20.00,91,102.22,36,38.46,11,-26.67,17,21.43,38,5.56,6,50.00,3,-25.00,4,300.00,15,50.00,226,-7.76,11,10.00,6,200.00,0,-,13,-18.75,6,200.00,0,-100.00,3,200.00,6,100.00,9,0.00,0,-,3,50.00,7,0.00,0,-,1,-50.00,19,-20.83,11,83.33,7,0.00,35,-22.22,13,-27.78,21,320.00,11,22.22,32,-38.46,0,-100.00,3,0.00,2,-60.00,7,0.00
2010M11,356,28.52,30,20.00,1,0.00,0,-,14,75.00,6,0.00,3,50.00,1,0.00,7,75.00,8,0.00,0,-100.00,4,0.00,10,-44.44,0,-100.00,3,-,29,38.10,0,-100.00,3,0.00,89,74.51,33,106.25,17,-5.56,33,65.00,40,2.56,3,-62.50,4,33.33,7,-,11,57.14,254,-8.30,14,16.67,3,50.00,0,-,11,-26.67,4,-55.56,2,-33.33,4,33.33,5,150.00,12,-14.29,1,-,3,0.00,3,-66.67,0,-,5,150.00,19,58.33,9,80.00,7,133.33,41,-24.07,17,-19.05,16,6.67,17,30.77,45,-22.41,6,0.00,4,0.00,3,-25.00,3,-62.50
2010M12,349,12.22,38,22.58,3,50.00,0,-,4,-33.33,6,100.00,3,50.00,1,0.00,4,-42.86,4,-63.64,0,-,6,100.00,15,15.38,2,-,3,0.00,17,6.25,8,-50.00,5,25.00,98,40.00,34,47.83,11,-31.25,20,33.33,44,12.82,7,-12.50,4,0.00,1,-75.00,11,-21.43,674,-59.03,33,-71.05,8,-11.11,0,-,39,-69.05,22,-47.62,9,-72.73,13,-75.00,6,-77.78,20,-31.03,1,-66.67,7,-53.33,13,-60.61,1,0.00,15,25.00,67,-58.64,20,-52.38,12,-62.50,139,-47.35,30,-51.61,26,-66.67,24,-60.66,112,-60.42,13,-66.67,12,-53.85,14,-68.89,18,-67.27
2011M01,363,45.78,32,77.78,3,0.00,0,--,14,100.00,7,250.00,4,300.00,1,0.00,4,33.33,8,100.00,1,--,4,-42.86,7,-36.36,1,0.00,5,66.67,36,125.00,11,-15.38,3,-25.00,98,113.04,25,25.00,18,50.00,10,-23.08,45,28.57,4,-63.64,4,0.00,5,66.67,13,18.18,384,12.61,27,42.11,8,33.33,0,--,10,-28.57,5,-50.00,5,66.67,20,185.71,10,150.00,10,66.67,3,--,6,100.00,9,200.00,1,0.00,5,-28.57,31,19.23,28,55.56,14,16.67,60,3.45,12,-47.83,17,-34.62,13,30.00,54,-1.82,7,-30.00,2,-33.33,11,120.00,16,33.33
2011M02,160,-13.04,10,-16.67,0,-100.00,0,--,4,100.00,6,200.00,0,--,0,-100.00,4,33.33,3,-25.00,1,--,3,-57.14,6,-14.29,0,--,3,200.00,10,-16.67,5,25.00,1,-50.00,46,12.20,12,-29.41,6,-45.45,5,-54.55,20,-23.08,4,33.33,1,0.00,1,-83.33,9,12.50,109,-2.68,6,20.00,1,--,0,--,5,0.00,0,-100.00,2,-50.00,0,-100.00,0,-100.00,0,-100.00,1,--,0,-100.00,4,0.00,0,--,3,--,13,18.18,3,50.00,1,0.00,18,5.88,12,33.33,7,0.00,3,0.00,22,-4.35,4,--,1,-75.00,1,0.00,2,-50.00
2011M03,299,23.05,14,7.69,1,--,0,--,13,160.00,6,-14.29,2,-33.33,3,200.00,3,-50.00,9,125.00,0,--,4,-33.33,3,-66.67,1,--,5,-44.44,23,-8.00,6,0.00,7,--,78,73.33,26,4.00,9,-25.00,12,0.00,46,21.05,9,12.50,3,50.00,6,500.00,10,66.67,212,-31.17,8,-63.64,1,-50.00,0,--,12,-14.29,3,-66.67,2,-50.00,2,-84.62,0,-100.00,13,62.50,0,--,3,50.00,7,250.00,0,--,3,-25.00,14,-44.00,3,-78.57,2,-66.67,25,-46.81,23,27.78,14,-39.13,9,-40.00,44,2.33,7,0.00,3,0.00,3,-66.67,11,0.00
2011M04,349,26.91,26,23.81,1,--,0,--,6,20.00,5,-37.50,2,100.00,4,--,6,50.00,5,-28.57,0,-100.00,4,-33.33,8,-20.00,0,--,5,25.00,30,66.67,6,0.00,7,133.33,96,37.14,27,28.57,11,-35.29,17,54.55,50,28.21,9,125.00,9,12.50,1,-75.00,14,100.00,198,3.66,7,40.00,1,-50.00,0,--,8,-33.33,1,-66.67,0,-100.00,3,-25.00,6,20.00,6,-25.00,0,--,5,25.00,1,-75.00,0,--,3,0.00,18,63.64,4,100.00,2,-66.67,32,-15.79,25,78.57,23,283.33,9,80.00,33,-15.38,6,-14.29,1,-66.67,2,0.00,2,-71.43
2011M05,318,2.25,23,35.29,3,0.00,0,--,4,-60.00,8,700.00,3,--,3,200.00,7,133.33,3,-50.00,1,--,10,25.00,8,-55.56,2,--,2,0.00,30,11.11,11,37.50,7,250.00,88,25.71,18,-48.57,13,-18.75,11,-26.67,38,-11.63,7,16.67,1,-87.50,5,400.00,12,9.09,182,-5.70,5,-16.67,2,100.00,0,--,7,40.00,3,50.00,0,--,6,200.00,3,-40.00,4,100.00,0,--,3,0.00,3,-40.00,1,--,1,-66.67,21,0.00,5,0.00,5,150.00,53,39.47,14,-36.36,6,-72.73,4,-20.00,28,-6.67,2,-66.67,2,0.00,3,200.00,1,-80.00
2011M06,335,16.32,24,33.33,0,-100.00,0,--,12,50.00,5,-16.67,4,100.00,0,-100.00,9,50.00,5,0.00,0,-100.00,5,-16.67,6,-25.00,0,--,6,50.00,24,-29.41,14,100.00,6,--,92,24.32,26,13.04,10,-16.67,11,-8.33,47,27.03,12,100.00,8,100.00,2,--,7,-12.50,253,-10.60,6,-50.00,0,-100.00,0,--,15,-6.25,5,-44.44,3,0.00,2,-66.67,5,-50.00,19,72.73,0,--,1,-66.67,3,-25.00,1,--,2,0.00,24,50.00,10,150.00,4,-20.00,38,-30.91,17,-10.53,25,31.58,6,-60.00,44,-2.22,11,37.50,2,0.00,2,-33.33,8,-27.27
2011M07,335,5.68,20,-28.57,1,-75.00,0,--,6,-14.29,5,-28.57,1,-80.00,4,300.00,5,-54.55,11,120.00,0,--,6,0.00,8,-42.86,0,--,4,300.00,27,8.00,22,144.44,8,166.67,84,16.67,26,23.81,21,40.00,14,-22.22,37,12.12,7,-12.50,2,-71.43,2,-50.00,14,7.69,212,-10.92,9,-18.18,2,0.00,0,--,12,50.00,1,-85.71,1,-80.00,0,-100.00,3,-62.50,9,50.00,0,--,2,-33.33,8,100.00,1,0.00,2,0.00,16,-36.00,2,-60.00,6,-14.29,36,12.50,16,23.08,18,-14.29,7,-30.00,44,-8.33,7,133.33,2,100.00,4,100.00,4,-55.56
2011M08,366,13.66,18,-10.00,1,-83.33,0,--,12,33.33,10,900.00,3,200.00,3,--,9,125.00,8,60.00,1,0.00,1,-75.00,17,30.77,2,--,4,-20.00,33,13.79,8,60.00,9,200.00,88,3.53,20,-4.76,12,0.00,22,15.79,59,20.41,8,14.29,3,-50.00,0,-100.00,15,-6.25,194,-17.45,4,-63.64,1,-66.67,0,--,14,75.00,2,-33.33,0,-100.00,3,50.00,3,-57.14,5,25.00,0,--,2,100.00,2,-50.00,1,--,3,0.00,18,0.00,6,--,5,-37.50,31,-38.00,12,-40.00,16,6.67,13,8.33,34,-15.00,4,-42.86,4,100.00,2,0.00,9,-30.77
2011M09,297,-11.34,23,-11.54,6,100.00,0,--,7,-36.36,5,-16.67,0,-100.00,3,200.00,6,20.00,7,0.00,0,--,8,14.29,8,14.29,0,--,1,--,19,-26.92,7,-36.36,4,-42.86,80,-2.44,13,-48.00,15,87.50,10,-37.50,46,-8.00,5,-61.54,4,100.00,6,--,14,-26.32,183,-0.54,5,-44.44,1,0.00,0,--,6,-33.33,3,-40.00,4,300.00,4,300.00,2,-50.00,9,-10.00,1,--,2,-50.00,4,-42.86,0,--,2,0.00,18,38.46,4,-42.86,6,200.00,36,38.46,12,-33.33,16,77.78,6,20.00,23,-30.30,7,40.00,5,400.00,2,-50.00,5,-37.50
2011M10,325,-7.67,24,0.00,2,100.00,0,--,11,-15.38,1,-90.00,4,33.33,3,200.00,6,0.00,5,-61.54,0,-100.00,8,-11.11,8,-33.33,0,-100.00,6,20.00,18,-10.00,11,120.00,6,0.00,105,15.38,25,-30.56,10,-9.09,10,-41.18,42,10.53,4,-33.33,1,-66.67,3,-25.00,12,-20.00,198,-12.39,7,-36.36,0,-100.00,0,--,10,-23.08,0,-100.00,4,--,2,-33.33,3,-50.00,7,-22.22,0,--,4,33.33,6,-14.29,1,--,4,300.00,10,-47.37,2,-81.82,7,0.00,32,-8.57,18,38.46,18,-14.29,8,-27.27,34,6.25,8,--,1,-66.67,2,0.00,10,42.86
2011M11,351,-1.40,23,-23.33,4,300.00,0,--,14,0.00,7,16.67,2,-33.33,0,-100.00,1,-85.71,8,0.00,3,--,4,0.00,14,40.00,0,--,5,66.67,29,0.00,6,--,8,166.67,97,8.99,32,-3.03,7,-58.82,13,-60.61,45,12.50,8,166.67,5,25.00,4,-42.86,12,9.09,236,-7.09,15,7.14,1,-66.67,0,--,9,-18.18,1,-75.00,2,0.00,2,-50.00,0,-100.00,7,-41.67,0,-100.00,2,-33.33,10,233.33,0,--,3,-40.00,26,36.84,12,33.33,1,-85.71,44,7.32,18,5.88,7,-56.25,7,-58.82,49,8.89,5,-16.67,3,-25.00,2,-33.33,10,233.33
2011M12,352,0.86,24,-36.84,3,0.00,0,--,9,125.00,8,33.33,5,66.67,1,0.00,2,-50.00,4,0.00,2,--,9,50.00,12,-20.00,0,-100.00,5,66.67,31,82.35,11,37.50,5,0.00,95,-3.06,19,-44.12,10,-9.09,13,-35.00,57,29.55,11,57.14,3,-25.00,3,200.00,10,-9.09,950,40.95,51,54.55,6,-25.00,0,--,45,15.38,18,-18.18,19,111.11,29,123.08,13,116.67,37,85.00,1,0.00,11,57.14,17,30.77,5,400.00,7,-53.33,90,34.33,31,55.00,9,-25.00,173,24.46,38,26.67,36,38.46,48,100.00,177,58.04,22,69.23,13,8.33,24,71.43,30,66.67
2012M01,275,-24.24,26,-18.75,4,33.33,0,--,10,-28.57,3,-57.14,0,-100.00,3,200.00,6,50.00,5,-37.50,1,0.00,6,50.00,4,-42.86,1,0.00,5,0.00,21,-41.67,9,-18.18,4,33.33,71,-27.55,15,-40.00,8,-55.56,10,0.00,35,-22.22,5,25.00,3,-25.00,6,20.00,14,7.69,157,-59.11,6,-77.78,3,-62.50,0,--,10,0.00,1,-80.00,2,-60.00,1,-95.00,2,-80.00,3,-70.00,0,-100.00,0,-100.00,3,-66.67,1,0.00,0,-100.00,10,-67.74,5,-82.14,5,-64.29,23,-61.67,19,58.33,8,-52.94,6,-53.85,32,-40.74,6,-14.29,2,0.00,3,-72.73,6,-62.50
2012M02,273,70.63,11,10.00,0,--,0,--,9,125.00,5,-16.67,0,--,2,--,3,-25.00,10,233.33,0,-100.00,4,33.33,4,-33.33,2,--,5,66.67,19,90.00,11,120.00,8,700.00,79,71.74,15,25.00,8,33.33,8,60.00,46,130.00,8,100.00,5,400.00,1,0.00,10,11.11,306,180.73,31,416.67,5,400.00,0,--,10,100.00,10,--,0,-100.00,6,--,5,--,6,--,0,-100.00,4,--,12,200.00,2,--,5,66.67,17,30.77,7,133.33,6,500.00,55,205.56,19,58.33,6,-14.29,15,400.00,58,163.64,6,50.00,5,400.00,5,400.00,11,450.00
2012M03,366,22.41,30,114.29,5,400.00,0,--,18,38.46,6,0.00,3,50.00,2,-33.33,6,100.00,3,-66.67,0,--,7,75.00,11,266.67,1,0.00,9,80.00,20,-13.04,8,33.33,2,-71.43,104,33.33,20,-23.08,14,55.56,16,33.33,48,4.35,10,11.11,6,100.00,6,0.00,11,10.00,185,-12.74,9,12.50,3,200.00,0,--,11,-8.33,3,0.00,5,150.00,3,50.00,0,--,5,-61.54,0,--,1,-66.67,5,-28.57,1,--,2,-33.33,10,-28.57,5,66.67,4,100.00,32,28.00,13,-43.48,13,-7.14,11,22.22,30,-31.82,3,-57.14,4,33.33,5,66.67,7,-36.36
2012M04,346,-0.86,31,19.23,0,-100.00,0,--,10,66.67,7,40.00,2,0.00,5,25.00,4,-33.33,15,200.00,1,--,7,75.00,17,112.50,2,--,2,-60.00,21,-30.00,12,100.00,7,0.00,89,-7.29,21,-22.22,12,9.09,17,0.00,41,-18.00,6,-33.33,4,-55.56,2,100.00,11,-21.43,185,-6.57,11,57.14,0,-100.00,0,--,8,0.00,4,300.00,3,--,1,-66.67,0,-100.00,8,33.33,0,--,2,-60.00,3,200.00,1,--,0,-100.00,14,-22.22,5,25.00,2,0.00,37,15.63,19,-24.00,14,-39.13,7,-22.22,29,-12.12,3,-50.00,3,200.00,3,50.00,8,300.00
2012M05,384,20.75,28,21.74,4,33.33,0,--,12,200.00,5,-37.50,5,66.67,3,0.00,8,14.29,6,100.00,1,0.00,7,-30.00,11,37.50,2,0.00,8,300.00,31,3.33,14,27.27,3,-57.14,119,35.23,18,0.00,10,-23.08,17,54.55,42,10.53,3,-57.14,6,500.00,8,60.00,13,8.33,217,19.23,13,160.00,2,0.00,0,--,15,114.29,1,-66.67,3,--,4,-33.33,0,-100.00,8,100.00,0,--,4,33.33,7,133.33,2,100.00,3,200.00,15,-28.57,10,100.00,1,-80.00,34,-35.85,16,14.29,20,233.33,10,150.00,27,-3.57,5,150.00,3,50.00,3,0.00,11,"1,000.00"
2012M06,310,-7.46,30,25.00,0,--,0,--,11,-8.33,3,-40.00,1,-75.00,5,--,5,-44.44,5,0.00,1,--,3,-40.00,10,66.67,0,--,4,-33.33,23,-4.17,10,-28.57,7,16.67,79,-14.13,20,-23.08,11,10.00,9,-18.18,44,-6.38,13,8.33,3,-62.50,2,0.00,11,57.14,191,-24.51,5,-16.67,2,--,0,--,10,-33.33,2,-60.00,1,-66.67,0,-100.00,5,0.00,3,-84.21,0,--,4,300.00,3,0.00,0,-100.00,3,50.00,18,-25.00,3,-70.00,5,25.00,33,-13.16,22,29.41,18,-28.00,5,-16.67,39,-11.36,3,-72.73,4,100.00,3,50.00,0,-100.00
