期間,進口合計_原始值,進口合計_年增率(%),進口合計_原始值,進口合計_年增率(%),進口-資本設備_原始值,進口-資本設備_年增率(%),進口-資本設備_原始值,進口-資本設備_年增率(%),進口-農工原料_原始值,進口-農工原料_年增率(%),進口-農工原料_原始值,進口-農工原料_年增率(%),進口-消費品_原始值,進口-消費品_年增率(%),進口-消費品_原始值,進口-消費品_年增率(%),出口合計_原始值,出口合計_年增率(%),出口合計_原始值,出口合計_年增率(%),出口-農產品_原始值,出口-農產品_年增率(%),出口-農產品_原始值,出口-農產品_年增率(%),出口-農產加工品_原始值,出口-農產加工品_年增率(%),出口-農產加工品_原始值,出口-農產加工品_年增率(%),出口-工業產品-小計_原始值,出口-工業產品-小計_年增率(%),出口-工業產品-小計_原始值,出口-工業產品-小計_年增率(%),出口-工業產品-重化工業產品_原始值,出口-工業產品-重化工業產品_年增率(%),出口-工業產品-重化工業產品_原始值,出口-工業產品-重化工業產品_年增率(%),出口-工業產品-非重化工業產品_原始值,出口-工業產品-非重化工業產品_年增率(%),出口-工業產品-非重化工業產品_原始值,出口-工業產品-非重化工業產品_年增率(%)
2010M10,"660,805",23.19,"21,200.0",27.86,"103,943",35.00,"3,334.7",40.11,"493,305",20.57,"15,826.3",25.14,"55,803",22.28,"1,790.3",26.91,"751,583",17.44,"24,190.0",21.91,"1,934",86.50,62.2,93.17,"6,567",26.22,211.4,31.06,"743,082",17.26,"23,916.4",21.71,"614,603",15.19,"19,781.2",19.56,"128,479",28.30,"4,135.2",33.18
2010M11,"728,633",25.33,"23,960.3",33.78,"122,798",44.90,"4,038.1",54.67,"540,032",23.13,"17,758.4",31.43,"59,512",13.25,"1,957.0",20.88,"738,690",14.06,"24,371.2",21.78,"1,909",71.21,63.0,83.14,"5,711",1.13,188.4,7.97,"731,070",14.08,"24,119.8",21.79,"606,627",11.86,"20,014.1",19.43,"124,443",26.27,"4,105.7",34.81
2010M12,"672,319",13.76,"22,225.4",21.36,"106,760",30.85,"3,529.3",39.59,"499,423",9.97,"16,509.8",17.31,"60,724",21.31,"2,007.4",29.41,"717,951",11.49,"23,812.6",18.96,"2,188",55.62,72.6,66.13,"5,725",10.91,189.9,18.32,"710,038",11.39,"23,550.2",18.86,"586,806",9.19,"19,462.9",16.51,"123,231",23.23,"4,087.3",31.49
2011M01,"688,562",11.78,"23,452.4",21.90,"96,815",25.70,"3,297.5",37.09,"524,385",9.68,"17,860.5",19.62,"62,431",12.01,"2,126.4",22.16,"741,211",6.84,"25,331.9",16.55,"2,310",58.87,78.9,73.41,"5,626",-0.74,192.3,8.28,"733,274",6.79,"25,060.6",16.50,"606,584",5.78,"20,730.8",15.39,"126,691",11.90,"4,329.8",22.08
2011M02,"593,277",17.00,"20,310.7",28.61,"82,068",14.69,"2,809.6",26.08,"466,242",19.55,"15,961.7",31.42,"41,138",-0.09,"1,408.4",9.83,"617,877",15.65,"21,225.6",27.17,"2,538",74.67,87.2,92.07,"5,850",44.62,200.9,58.94,"609,490",15.26,"20,937.4",26.75,"512,083",15.81,"17,591.3",27.35,"97,406",12.47,"3,346.2",23.68
2011M03,"753,907",7.90,"25,461.2",16.65,"104,881",-6.50,"3,542.1",1.08,"583,092",10.40,"19,692.4",19.35,"59,889",12.54,"2,022.6",21.66,"803,248",7.78,"27,219.5",16.54,"2,597",26.87,88.0,37.29,"7,072",22.71,239.6,32.67,"793,579",7.61,"26,891.9",16.36,"655,746",7.29,"22,221.2",16.02,"137,832",9.12,"4,670.7",18.00
2011M04,"713,855",16.20,"24,355.3",25.67,"86,366",-9.87,"2,946.6",-2.52,"567,503",21.56,"19,362.1",31.48,"54,922",17.24,"1,873.8",26.80,"797,567",15.13,"27,304.6",24.55,"2,117",7.85,72.5,16.75,"5,968",16.68,204.3,26.19,"789,483",15.14,"27,027.8",24.56,"655,935",15.74,"22,455.9",25.21,"133,547",12.31,"4,572.0",21.51
2011M05,"766,002",8.53,"26,625.0",19.20,"113,742",10.24,"3,953.5",21.09,"588,610",8.86,"20,459.1",19.56,"58,877",4.50,"2,046.5",14.78,"798,633",-0.44,"27,856.0",9.39,"2,119",2.96,73.9,13.17,"5,968",-4.28,208.2,5.20,"790,546",-0.41,"27,574.0",9.42,"653,044",-0.96,"22,778.0",8.82,"137,502",2.24,"4,796.0",12.33
2011M06,"686,368",0.36,"23,782.7",12.47,"93,966",-1.69,"3,255.9",10.16,"529,737",0.09,"18,355.4",12.16,"57,888",8.05,"2,005.8",21.07,"723,612",-1.19,"25,160.3",10.77,"2,105",-2.27,73.2,9.58,"6,560",22.85,228.1,37.74,"714,947",-1.36,"24,859.0",10.57,"587,588",-2.14,"20,430.7",9.70,"127,358",2.39,"4,428.3",14.79
2011M07,"714,902",2.17,"24,737.1",13.81,"85,908",-17.75,"2,972.6",-8.39,"564,146",4.93,"19,520.6",16.87,"59,526",13.78,"2,059.7",26.73,"809,941",5.61,"28,123.0",17.67,"2,502",15.19,86.9,28.36,"6,141",0.46,213.2,11.92,"801,298",5.62,"27,822.9",17.69,"666,162",6.03,"23,130.6",18.14,"135,136",3.66,"4,692.2",15.50
