期間,當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%)
1981,"1,810,829",19.14,"-9,653",--,"1,801,176",18.67,"172,808",16.95,0,--,"1,628,368",18.85,-,-,"234,051",--,"1,394,317",21.17,"1,628,368",18.85,"-3,392",--,"1,624,976",18.90,"1,241,979",20.37,"382,997",14.36,"555,805",15.16,30.86,--,"2,714,355",6.46,"-14,966",--,"2,699,389",6.01,"208,175",13.19,0,--,"2,491,214",5.45,"99,633",-,"284,314",--,"2,306,533",5.52,"2,590,847",4.70,"-5,284",--,"2,585,563",4.76,"2,071,468",4.62,"514,095",5.31,"722,270",7.47,26.76,--,66.71,11.91,--,--,66.73,11.94,83.01,3.32,--,--,65.36,12.71,-,-,82.32,--,60.45,14.84,62.85,13.51,--,--,62.85,13.51,59.96,15.06,74.50,8.58,76.95,7.14,--,--
1982,"1,941,169",7.20,-682,--,"1,940,487",7.73,"192,917",11.64,"-7,552",--,"1,755,122",7.78,-,-,"226,037",--,"1,529,085",9.67,"1,755,122",7.78,"-5,284",--,"1,749,838",7.68,"1,353,111",8.95,"396,727",3.58,"589,644",6.09,30.39,--,"2,822,229",3.97,"-1,043",--,"2,821,186",4.51,"231,308",11.11,"16,533",--,"2,573,345",3.30,"107,144",-,"268,965",--,"2,411,524",4.55,"2,680,489",3.46,"-7,985",--,"2,672,504",3.36,"2,178,095",5.15,"494,409",-3.83,"725,717",0.48,25.72,--,68.78,3.10,--,--,68.78,3.07,83.40,0.47,--,--,68.20,4.35,-,-,84.04,--,63.41,4.90,65.48,4.18,--,--,65.48,4.18,62.12,3.60,80.24,7.70,81.25,5.59,--,--
1983,"2,168,143",11.69,"3,256",--,"2,171,399",11.90,"209,207",8.44,"7,642",--,"1,954,550",11.36,-,-,"256,974",--,"1,697,576",11.02,"1,954,550",11.36,"-1,692",--,"1,952,858",11.60,"1,455,987",7.60,"496,871",25.24,"706,078",19.75,32.52,--,"3,057,050",8.32,"4,900",--,"3,061,950",8.53,"253,097",9.42,"5,820",--,"2,803,033",8.93,"121,378",-,"297,804",--,"2,626,607",8.92,"2,924,411",9.10,"-2,524",--,"2,921,887",9.33,"2,303,790",5.77,"618,097",25.02,"871,194",20.05,28.45,--,70.92,3.11,--,--,70.92,3.11,82.66,-0.89,--,--,69.73,2.24,-,-,86.29,--,64.63,1.92,66.84,2.08,--,--,66.84,2.08,63.20,1.74,80.39,0.19,81.05,-0.25,--,--
1984,"2,414,377",11.36,"29,975",--,"2,444,352",12.57,"225,202",7.65,"8,745",--,"2,210,405",13.09,-,-,"274,075",--,"1,936,330",14.06,"2,210,405",13.09,"-7,326",--,"2,203,079",12.81,"1,598,490",9.79,"604,589",21.68,"829,791",17.52,33.95,--,"3,341,961",9.32,"44,684",--,"3,386,645",10.60,"275,475",8.84,937,--,"3,110,233",10.96,"130,172",-,"312,555",--,"2,927,850",11.47,"3,240,405",10.81,"-10,919",--,"3,229,486",10.53,"2,500,571",8.54,"728,915",17.93,"1,004,390",15.29,29.66,--,72.24,1.86,--,--,72.18,1.78,81.75,-1.10,--,--,71.07,1.92,-,-,87.69,--,66.13,2.32,68.21,2.05,--,--,68.22,2.06,63.92,1.14,82.94,3.17,82.62,1.94,--,--
1985,"2,517,129",4.26,"47,154",--,"2,564,283",4.91,"241,403",7.19,"-6,494",--,"2,329,374",5.38,-,-,"268,418",--,"2,060,956",6.44,"2,329,374",5.38,"-10,235",--,"2,319,139",5.27,"1,698,270",6.24,"620,869",2.69,"862,272",3.91,33.63,--,"3,477,891",4.07,"70,362",--,"3,548,253",4.77,"295,579",7.30,"-5,916",--,"3,258,590",4.77,"126,258",-,"314,632",--,"3,070,216",4.86,"3,384,848",4.46,"-15,297",--,"3,369,551",4.34,"2,630,097",5.18,"739,454",1.45,"1,035,033",3.05,29.17,--,72.38,0.19,--,--,72.27,0.12,81.67,-0.10,--,--,71.48,0.58,-,-,85.31,--,67.13,1.51,68.82,0.89,--,--,68.83,0.89,64.57,1.02,83.96,1.23,83.31,0.84,--,--
1986,"2,943,997",16.96,"76,962",--,"3,020,959",17.81,"254,865",5.58,0,--,"2,766,094",18.75,-,-,"282,418",--,"2,483,676",20.51,"2,766,094",18.75,"-11,919",--,"2,754,175",18.76,"1,819,992",7.17,"934,183",50.46,"1,189,048",37.90,39.36,--,"3,860,608",11.00,"114,064",--,"3,974,672",12.02,"313,788",6.16,0,--,"3,660,884",12.35,"257,306",-,"322,604",--,"3,595,586",17.11,"3,918,190",15.76,"-17,704",--,"3,900,486",15.76,"2,784,950",5.89,"1,115,536",50.86,"1,429,324",38.09,35.96,--,76.26,5.36,--,--,76.01,5.18,81.22,-0.55,--,--,75.56,5.71,-,-,87.54,--,69.08,2.90,70.60,2.59,--,--,70.61,2.59,65.35,1.21,83.74,-0.26,83.19,-0.14,--,--
1987,"3,291,857",11.82,"73,351",--,"3,365,208",11.40,"273,677",7.38,"-1,546",--,"3,093,077",11.82,-,-,"323,770",--,"2,769,307",11.50,"3,093,077",11.82,"-22,789",--,"3,070,288",11.48,"2,041,083",12.15,"1,029,205",10.17,"1,302,882",9.57,38.72,--,"4,272,887",10.68,"108,264",--,"4,381,151",10.23,"339,603",8.23,"-35,791",--,"4,077,339",11.38,"329,275",-,"372,988",--,"4,033,626",12.18,"4,406,614",12.47,"-33,551",--,"4,373,063",12.12,"3,064,691",10.04,"1,308,372",17.29,"1,647,975",15.30,37.62,--,77.04,1.02,--,--,76.81,1.05,80.59,-0.78,--,--,75.86,0.40,-,-,86.80,--,68.66,-0.61,70.19,-0.58,--,--,70.21,-0.57,66.60,1.91,78.66,-6.07,79.06,-4.96,--,--
1988,"3,488,550",5.98,"97,374",--,"3,585,924",6.56,"304,139",11.13,"-94,594",--,"3,376,379",9.16,-,-,"360,475",--,"3,015,904",8.90,"3,376,379",9.16,"-54,948",--,"3,321,431",8.18,"2,342,933",14.79,"978,498",-4.93,"1,282,637",-1.55,35.77,--,"4,510,963",5.57,"141,975",--,"4,652,938",6.20,"372,994",9.83,"-129,094",--,"4,409,038",8.14,"356,304",-,"417,315",--,"4,348,027",7.79,"4,765,342",8.14,"-80,292",--,"4,685,050",7.13,"3,420,138",11.60,"1,264,912",-3.32,"1,637,906",-0.61,35.20,--,77.33,0.38,--,--,77.07,0.34,81.54,1.18,--,--,76.58,0.95,-,-,86.38,--,69.36,1.02,70.85,0.94,--,--,70.89,0.97,68.50,2.85,77.36,-1.65,78.31,-0.95,--,--
1989,"4,003,227",14.75,"100,769",--,"4,103,996",14.45,"343,760",13.03,"-18,608",--,"3,778,844",11.92,-,-,"408,007",--,"3,370,837",11.77,"3,778,844",11.92,"-55,640",--,"3,723,204",12.10,"2,767,709",18.13,"955,495",-2.35,"1,299,255",1.30,31.66,--,"4,974,759",10.28,"140,359",--,"5,115,118",9.93,"413,558",10.88,"-55,175",--,"4,756,735",7.89,"426,657",-,"462,319",--,"4,721,073",8.58,"5,183,392",8.77,"-77,599",--,"5,105,793",8.98,"3,862,650",12.94,"1,243,143",-1.72,"1,656,701",1.15,32.39,--,80.47,4.06,--,--,80.23,4.10,83.12,1.94,--,--,79.44,3.73,-,-,88.25,--,71.40,2.94,72.90,2.89,--,--,72.92,2.86,71.65,4.60,76.86,-0.65,78.42,0.14,--,--
1990,"4,430,055",10.66,"117,307",--,"4,547,362",10.80,"390,904",13.71,"-2,846",--,"4,159,304",10.07,-,-,"436,700",--,"3,722,604",10.44,"4,159,304",10.07,"-16,029",--,"4,143,275",11.28,"3,158,157",14.11,"985,118",3.10,"1,376,022",5.91,30.26,--,"5,316,579",6.87,"157,290",--,"5,473,869",7.01,"459,592",11.13,"-9,928",--,"5,024,205",5.62,"460,843",-,"498,863",--,"4,986,185",5.62,"5,485,048",5.82,"-21,682",--,"5,463,366",7.00,"4,231,656",9.55,"1,231,710",-0.92,"1,691,302",2.09,30.90,--,83.33,3.55,--,--,83.07,3.54,85.05,2.32,--,--,82.79,4.22,-,-,87.54,--,74.66,4.57,75.83,4.02,--,--,75.84,4.00,74.63,4.16,79.98,4.06,81.36,3.75,--,--
