期間,總計_原始值,總計_年增率(%),人為縱火_原始值,人為縱火_年增率(%),自殺_原始值,自殺_年增率(%),燈燭_原始值,燈燭_年增率(%),爐火烹調_原始值,爐火烹調_年增率(%),敬神掃墓祭祖_原始值,敬神掃墓祭祖_年增率(%),菸蒂_原始值,菸蒂_年增率(%),電氣設備_原始值,電氣設備_年增率(%),機械設備_原始值,機械設備_年增率(%),玩火_原始值,玩火_年增率(%),烤火_原始值,烤火_年增率(%),燒什草垃圾_原始值,燒什草垃圾_年增率(%),施工不慎_原始值,施工不慎_年增率(%),易燃品自(復)燃_原始值,易燃品自(復)燃_年增率(%),瓦斯漏氣或爆炸_原始值,瓦斯漏氣或爆炸_年增率(%),化學物品_原始值,化學物品_年增率(%),燃放爆竹_原始值,燃放爆竹_年增率(%),交通事故_原始值,交通事故_年增率(%),天然災害_原始值,天然災害_年增率(%),原因不明_原始值,原因不明_年增率(%),其他_原始值,其他_年增率(%)
1991,"7,742",...,408,...,...,...,66,...,485,...,278,...,"1,207",...,"1,885",...,623,...,236,...,20,...,738,...,117,...,48,...,47,...,16,...,...,...,...,...,...,...,"1,014",...,554,...
1992,"7,389",-4.56,493,20.83,...,...,57,-13.64,501,3.30,188,-32.37,"1,224",1.41,"2,065",9.55,597,-4.17,195,-17.37,8,-60.00,532,-27.91,127,8.55,32,-33.33,77,63.83,12,-25.00,...,...,...,...,...,...,829,-18.24,452,-18.41
1993,"9,870",33.58,570,15.62,...,...,96,68.42,634,26.55,391,107.98,"2,020",65.03,"2,282",10.51,727,21.78,243,24.62,28,250.00,"1,138",113.91,119,-6.30,36,12.50,106,37.66,22,83.33,...,...,...,...,...,...,846,2.05,612,35.40
1994,"10,763",9.05,765,34.21,...,...,116,20.83,684,7.89,380,-2.81,"2,070",2.48,"2,471",8.28,777,6.88,221,-9.05,25,-10.71,"1,552",36.38,150,26.05,30,-16.67,116,9.43,24,9.09,...,...,...,...,...,...,794,-6.15,588,-3.92
1995,"10,916",1.42,719,-6.01,...,...,97,-16.38,721,5.41,311,-18.16,"2,185",5.56,"2,385",-3.48,842,8.37,206,-6.79,16,-36.00,"1,632",5.15,116,-22.67,31,3.33,106,-8.62,8,-66.67,...,...,...,...,...,...,866,9.07,675,14.80
