期間,受理件數(件)_原始值,受理件數(件)_年增率(%),受理件數(件)-初次認定申請件數_原始值,受理件數(件)-初次認定申請件數_年增率(%),受理件數(件)-再次認定申請件數_原始值,受理件數(件)-再次認定申請件數_年增率(%),核付件數(件)_原始值,核付件數(件)_年增率(%),核付件數(件)-初次認定核付件數_原始值,核付件數(件)-初次認定核付件數_年增率(%),核付件數(件)-再次認定核付件數_原始值,核付件數(件)-再次認定核付件數_年增率(%),核付金額(千元)_原始值,核付金額(千元)_年增率(%),推介就業人數(人)_原始值,推介就業人數(人)_年增率(%),安排職訓人數(人)_原始值,安排職訓人數(人)_年增率(%)
2002M11,"35,112",-41.18,"7,016",-51.94,"28,096",-37.70,"35,819",-50.31,"7,186",-57.36,"28,633",-48.16,"595,372",-48.91,687,169.41,383,697.92
2002M12,"33,151",-42.79,"5,881",-47.40,"27,270",-41.69,"39,916",-33.03,"7,095",-32.38,"32,821",-33.17,"660,256",-32.13,577,256.17,115,"1,177.78"
2003M01,"38,653",-49.04,"7,400",-58.36,"31,253",-46.19,"29,108",-57.81,"5,018",-67.17,"24,090",-55.14,"491,467",-56.89,498,203.66,340,"6,700.00"
2003M02,"29,154",-52.14,"5,243",-38.74,"23,911",-54.33,"29,012",-41.99,"5,037",-45.04,"23,975",-41.30,"487,790",-41.79,318,191.74,240,"3,328.57"
2003M03,"34,075",-53.73,"6,827",-43.07,"27,248",-55.81,"32,115",-57.19,"6,509",-38.47,"25,606",-60.27,"537,723",-56.93,466,160.34,600,"3,650.00"
2003M04,"28,790",-55.07,"5,969",-36.06,"22,821",-58.32,"29,781",-53.08,"6,000",-36.65,"23,781",-55.96,"501,273",-52.86,515,76.98,718,"5,423.08"
2003M05,"28,393",-52.14,"5,870",-30.82,"22,523",-55.69,"24,382",-62.30,"4,747",-49.22,"19,635",-64.51,"410,914",-62.16,562,27.73,"1,033",557.96
2003M06,"24,198",-48.89,"5,649",-7.76,"18,549",-55.00,"24,704",-48.27,"5,241",-14.46,"19,463",-53.25,"414,801",-48.50,462,12.14,780,348.28
2003M07,"29,120",-38.51,"6,716",-8.03,"22,404",-44.07,"30,930",-39.59,"7,036",-6.71,"23,894",-45.27,"516,761",-39.64,496,14.55,841,110.78
2003M08,"25,070",-38.09,"5,613",-22.06,"19,457",-41.56,"24,172",-29.81,"5,370",-11.12,"18,802",-33.79,"400,842",-30.52,514,-4.10,955,326.34
2003M09,"26,850",-28.20,"5,327",-32.71,"21,523",-27.00,"25,365",-41.45,"5,329",-35.29,"20,036",-42.90,"422,934",-41.22,432,-23.27,762,104.29
2003M10,"25,652",-36.64,"4,945",-37.25,"20,707",-36.49,"27,374",-26.06,"5,184",-27.82,"22,190",-25.63,"458,321",-25.43,862,88.21,493,135.89
2003M11,"21,776",-37.98,"4,234",-39.65,"17,542",-37.56,"21,439",-40.15,"4,020",-44.06,"17,419",-39.16,"360,740",-39.41,712,3.64,169,-55.87
2003M12,"25,102",-24.28,"4,887",-16.90,"20,215",-25.87,"26,958",-32.46,"5,046",-28.88,"21,912",-33.24,"455,168",-31.06,619,7.28,73,-36.52
2004M01,"22,163",-42.66,"4,771",-35.53,"17,392",-44.35,"14,681",-49.56,"2,527",-49.64,"12,154",-49.55,"248,314",-49.47,584,17.27,314,-7.65
2004M02,"18,363",-37.01,"3,576",-31.79,"14,787",-38.16,"24,293",-16.27,"5,230",3.83,"19,063",-20.49,"418,969",-14.11,640,101.26,327,36.25
2004M03,"22,378",-34.33,"4,472",-34.50,"17,906",-34.29,"21,872",-31.89,"4,358",-33.05,"17,514",-31.60,"376,937",-29.90,760,63.09,451,-24.83
2004M04,"18,066",-37.25,"3,670",-38.52,"14,396",-36.92,"17,359",-41.71,"3,380",-43.67,"13,979",-41.22,"298,529",-40.45,910,76.70,700,-2.51
2004M05,"17,911",-36.92,"3,357",-42.81,"14,554",-35.38,"15,349",-37.05,"2,842",-40.13,"12,507",-36.30,"265,369",-35.42,"1,199",113.35,441,-57.31
2004M06,"16,011",-33.83,"3,018",-46.57,"12,993",-29.95,"15,083",-38.95,"2,840",-45.81,"12,243",-37.10,"260,856",-37.11,832,80.09,582,-25.38
2004M07,"15,529",-46.67,"3,702",-44.88,"11,827",-47.21,"16,621",-46.26,"3,391",-51.81,"13,230",-44.63,"290,588",-43.77,624,25.81,669,-20.45
2004M08,"16,506",-34.16,"4,451",-20.70,"12,055",-38.04,"13,796",-42.93,"3,778",-29.65,"10,018",-46.72,"236,587",-40.98,773,50.39,594,-37.80
2004M09,"16,465",-38.68,"4,484",-15.83,"11,981",-44.33,"16,910",-33.33,"3,729",-30.02,"13,181",-34.21,"294,027",-30.48,860,99.07,461,-39.50
2004M10,"17,537",-31.63,"4,468",-9.65,"13,069",-36.89,"16,937",-38.13,"4,787",-7.66,"12,150",-45.25,"296,662",-35.27,"1,033",19.84,260,-47.26
2004M11,"19,714",-9.47,"5,219",23.26,"14,495",-17.37,"18,595",-13.27,"5,087",26.54,"13,508",-22.45,"327,608",-9.18,"1,175",65.03,207,22.49
2004M12,"20,867",-16.87,"4,318",-11.64,"16,549",-18.14,"20,601",-23.58,"4,205",-16.67,"16,396",-25.17,"365,711",-19.65,974,57.35,221,202.74
2005M01,"20,658",-6.79,"5,499",15.26,"15,159",-12.84,"20,439",39.22,"5,016",98.50,"15,423",26.90,"360,489",45.17,744,27.40,206,-34.39
2005M02,"18,226",-0.75,"3,936",10.07,"14,290",-3.36,"17,398",-28.38,"4,609",-11.87,"12,789",-32.91,"305,498",-27.08,653,2.03,487,48.93
2005M03,"23,514",5.08,"4,904",9.66,"18,610",3.93,"26,051",19.11,"4,436",1.79,"21,615",23.42,"460,374",22.14,"1,013",33.29,309,-31.49
2005M04,"19,255",6.58,"4,185",14.03,"15,070",4.68,"18,076",4.13,"3,993",18.14,"14,083",0.74,"315,758",5.77,855,-6.04,371,-47.00
2005M05,"19,629",9.59,"4,124",22.85,"15,505",6.53,"19,252",25.43,"4,287",50.84,"14,965",19.65,"340,908",28.47,876,-26.94,677,53.51
2005M06,"19,269",20.35,"4,748",57.32,"14,521",11.76,"19,643",30.23,"4,444",56.48,"15,199",24.14,"345,512",32.45,962,15.62,718,23.37
2005M07,"20,476",31.86,"5,975",61.40,"14,501",22.61,"18,804",13.13,"5,105",50.55,"13,699",3.54,"329,685",13.45,830,33.01,936,39.91
2005M08,"22,870",38.56,"5,807",30.47,"17,063",41.54,"21,859",58.44,"5,855",54.98,"16,004",59.75,"379,527",60.42,890,15.14,900,51.52
2005M09,"21,745",32.07,"5,403",20.50,"16,342",36.40,"22,056",30.43,"5,434",45.72,"16,622",26.11,"385,768",31.20,"1,045",21.51,799,73.32
2005M10,"21,898",24.87,"4,677",4.68,"17,221",31.77,"21,041",24.23,"4,493",-6.14,"16,548",36.20,"371,357",25.18,836,-19.07,534,105.38
2005M11,"23,393",18.66,"5,040",-3.43,"18,353",26.62,"23,587",26.85,"5,279",3.77,"18,308",35.53,"416,252",27.06,864,-26.47,255,23.19
2005M12,"23,649",13.33,"4,796",11.07,"18,853",13.92,"22,394",8.70,"4,536",7.87,"17,858",8.92,"395,196",8.06,669,-31.31,158,-28.51
2006M01,"22,765",10.20,"5,911",7.49,"16,854",11.18,"22,175",8.49,"5,072",1.12,"17,103",10.89,"391,305",8.55,499,-32.93,157,-23.79
2006M02,"23,046",26.45,"5,038",28.00,"18,008",26.02,"22,160",27.37,"4,870",5.66,"17,290",35.19,"394,926",29.27,626,-4.13,298,-38.81
2006M03,"27,262",15.94,"6,095",24.29,"21,167",13.74,"29,731",14.13,"6,614",49.10,"23,117",6.95,"535,756",16.37,"1,071",5.73,587,89.97
