期間,累計買賣超金額 (新臺幣億元)_投信,累計買賣超金額 (新臺幣億元)_自營商,累計買賣超金額 (新臺幣億元)_外資,交易金額比重(%)_投信,交易金額比重(%)_自營商,交易金額比重(%)_外資
1992,...,...,62,...,...,0.2
1993,...,...,420,...,...,0.4
1994,...,...,192,...,...,0.7
1995,...,...,460,...,...,1.3
1996,...,...,568,...,...,2.1
