期間,當期價格_金額(新台幣百萬元),"當期價格_對上季增率折成年率(saar,%)","當期價格_對上季增率(saqr,%)",當期價格_金額(新台幣百萬元),"當期價格_對上季增率折成年率(saar,%)","當期價格_對上季增率(saqr,%)",當期價格_金額(新台幣百萬元),"當期價格_對上季增率折成年率(saar,%)","當期價格_對上季增率(saqr,%)",當期價格_金額(新台幣百萬元),"當期價格_對上季增率折成年率(saar,%)","當期價格_對上季增率(saqr,%)",當期價格_金額(新台幣百萬元),"當期價格_對上季增率折成年率(saar,%)","當期價格_對上季增率(saqr,%)",當期價格_金額(新台幣百萬元),"當期價格_對上季增率折成年率(saar,%)","當期價格_對上季增率(saqr,%)",當期價格_金額(新台幣百萬元),"當期價格_對上季增率折成年率(saar,%)","當期價格_對上季增率(saqr,%)",當期價格_金額(新台幣百萬元),"當期價格_對上季增率折成年率(saar,%)","當期價格_對上季增率(saqr,%)",按2006年價格_金額(新台幣百萬元),"按2006年價格_對上季增率折成年率(saar,%)","按2006年價格_對上季增率(saqr,%)",按2006年價格_金額(新台幣百萬元),"按2006年價格_對上季增率折成年率(saar,%)","按2006年價格_對上季增率(saqr,%)",按2006年價格_金額(新台幣百萬元),"按2006年價格_對上季增率折成年率(saar,%)","按2006年價格_對上季增率(saqr,%)",按2006年價格_金額(新台幣百萬元),"按2006年價格_對上季增率折成年率(saar,%)","按2006年價格_對上季增率(saqr,%)",按2006年價格_金額(新台幣百萬元),"按2006年價格_對上季增率折成年率(saar,%)","按2006年價格_對上季增率(saqr,%)",按2006年價格_金額(新台幣百萬元),"按2006年價格_對上季增率折成年率(saar,%)","按2006年價格_對上季增率(saqr,%)",按2006年價格_金額(新台幣百萬元),"按2006年價格_對上季增率折成年率(saar,%)","按2006年價格_對上季增率(saqr,%)",按2006年價格_金額(新台幣百萬元),"按2006年價格_對上季增率折成年率(saar,%)","按2006年價格_對上季增率(saqr,%)"
1989Q2,"978,975",16.07,3.80,"916,309",24.13,5.55,"524,149",26.07,5.96,"152,121",15.65,3.70,"240,039",25.56,5.86,"62,666",--,--,"490,768",-3.72,-0.94,"428,102",7.56,1.84,"1,235,764",10.64,2.56,"1,279,081",15.52,3.67,"721,527",22.88,5.29,"228,260",8.66,2.10,"329,294",5.52,1.35,"-43,317",--,--,"552,475",6.80,1.66,"595,792",17.45,4.10
1989Q3,"1,027,513",21.36,4.96,"963,699",22.35,5.17,"547,410",18.97,4.44,"166,511",43.55,9.46,"249,778",17.24,4.06,"63,814",--,--,"491,195",0.35,0.09,"427,381",-0.67,-0.17,"1,248,552",4.20,1.03,"1,312,292",10.80,2.60,"743,513",12.76,3.05,"251,065",46.36,9.99,"317,714",-13.34,-3.52,"-63,740",--,--,"562,485",7.45,1.81,"626,225",22.05,5.11
1989Q4,"1,053,573",10.54,2.54,"998,783",15.38,3.64,"563,110",11.98,2.87,"173,067",16.70,3.94,"262,606",22.18,5.14,"54,790",--,--,"483,002",-6.51,-1.67,"428,212",0.78,0.19,"1,285,516",12.38,2.96,"1,360,329",15.47,3.66,"756,998",7.45,1.81,"252,410",2.16,0.54,"350,921",48.83,10.45,"-74,813",--,--,"545,925",-11.27,-2.94,"620,738",-3.46,-0.88
1990Q1,"1,062,567",3.46,0.85,"1,028,673",12.52,2.99,"578,717",11.56,2.77,"181,145",20.02,4.67,"268,811",9.79,2.36,"33,894",--,--,"479,598",-2.79,-0.70,"445,704",17.37,4.08,"1,290,543",1.57,0.39,"1,397,946",11.53,2.77,"777,486",11.27,2.71,"261,692",15.54,3.68,"358,768",9.25,2.24,"-107,403",--,--,"537,406",-6.10,-1.56,"644,809",16.44,3.88
1990Q2,"1,090,130",10.79,2.59,"1,049,197",8.22,2.00,"583,375",3.26,0.80,"188,270",16.69,3.93,"277,552",13.66,3.25,"40,933",--,--,"487,742",6.97,1.70,"446,809",1.00,0.25,"1,306,565",5.06,1.24,"1,409,351",3.30,0.82,"777,091",-0.20,-0.05,"266,682",7.85,1.91,"365,578",7.81,1.90,"-102,786",--,--,"536,296",-0.82,-0.21,"639,082",-3.51,-0.89
1990Q3,"1,114,845",9.38,2.27,"1,043,445",-2.17,-0.55,"606,501",16.82,3.96,"197,092",20.10,4.69,"239,852",-44.23,-13.58,"71,400",--,--,"519,511",28.71,6.51,"448,111",1.17,0.29,"1,322,430",4.95,1.21,"1,368,106",-11.20,-2.93,"790,501",7.08,1.73,"275,107",13.25,3.16,"302,498",-53.12,-17.25,"-45,676",--,--,"566,033",24.09,5.54,"611,709",-16.06,-4.28
1990Q4,"1,162,513",18.23,4.28,"1,116,266",30.98,6.98,"620,258",9.39,2.27,"202,799",12.10,2.90,"293,209",123.32,22.25,"46,247",--,--,"538,569",15.50,3.67,"492,322",45.70,9.87,"1,397,041",24.55,5.64,"1,467,293",32.31,7.25,"805,816",7.98,1.94,"277,281",3.20,0.79,"384,196",160.21,27.01,"-70,252",--,--,"581,317",11.25,2.70,"651,569",28.72,6.52
1991Q1,"1,180,880",6.47,1.58,"1,139,318",8.52,2.07,"637,252",11.42,2.74,"209,362",13.59,3.24,"292,704",-0.69,-0.17,"41,562",--,--,"553,169",11.29,2.71,"511,607",16.61,3.92,"1,373,128",-6.67,-1.71,"1,477,011",2.68,0.66,"816,147",5.23,1.28,"284,224",10.40,2.50,"376,640",-7.64,-1.97,"-103,883",--,--,"593,687",8.79,2.13,"697,570",31.37,7.06
1991Q2,"1,225,140",15.86,3.75,"1,164,915",9.29,2.25,"658,727",14.18,3.37,"215,013",11.24,2.70,"291,175",-2.07,-0.52,"60,225",--,--,"582,576",23.02,5.32,"522,351",8.67,2.10,"1,414,022",12.46,2.98,"1,512,817",10.06,2.42,"835,985",10.08,2.43,"289,661",7.87,1.91,"387,171",11.66,2.80,"-98,795",--,--,"624,246",22.23,5.15,"723,041",15.43,3.65
1991Q3,"1,256,009",10.47,2.52,"1,222,539",21.30,4.95,"679,184",13.01,3.11,"221,207",12.03,2.88,"322,148",49.83,10.64,"33,470",--,--,"594,946",8.77,2.12,"561,476",33.50,7.49,"1,444,579",8.93,2.16,"1,574,723",17.40,4.09,"850,388",7.07,1.72,"296,001",9.05,2.19,"428,334",49.80,10.63,"-130,144",--,--,"648,805",16.69,3.93,"778,949",34.71,7.73
