期間,資產淨額=負債淨值淨額_原始值,資產淨額=負債淨值淨額_年增率(%),資產--國外資產_原始值,資產--國外資產_年增率(%),資產--放款-計_原始值,資產--放款-計_年增率(%),資產--放款-政府機關_原始值,資產--放款-政府機關_年增率(%),資產--放款-公營事業_原始值,資產--放款-公營事業_年增率(%),資產--放款-民間部門_原始值,資產--放款-民間部門_年增率(%),資產--對非金融機構證券投資-政府機關_原始值,資產--對非金融機構證券投資-政府機關_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--對人壽保險公司等債權_原始值,資產--對人壽保險公司等債權_年增率(%),資產--不動產投資_原始值,資產--不動產投資_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),負債與淨值--國外負債_原始值,負債與淨值--國外負債_年增率(%),負債與淨值--通貨發行額_原始值,負債與淨值--通貨發行額_年增率(%),負債與淨值--企業及個人存款與貨幣市場-計_原始值,負債與淨值--企業及個人存款與貨幣市場-計_年增率(%),負債與淨值--企業及個人存款與貨幣市場-支票存款_原始值,負債與淨值--企業及個人存款與貨幣市場-支票存款_年增率(%),負債與淨值--企業及個人存款與貨幣市場-活期存款_原始值,負債與淨值--企業及個人存款與貨幣市場-活期存款_年增率(%),負債與淨值--企業及個人存款與貨幣市場-活期儲蓄存款_原始值,負債與淨值--企業及個人存款與貨幣市場-活期儲蓄存款_年增率(%),負債與淨值--企業及個人存款與貨幣市場-定期存款_原始值,負債與淨值--企業及個人存款與貨幣市場-定期存款_年增率(%),負債與淨值--企業及個人存款與貨幣市場-定期儲蓄存款_原始值,負債與淨值--企業及個人存款與貨幣市場-定期儲蓄存款_年增率(%),負債與淨值--企業及個人存款與貨幣市場-外匯存款_原始值,負債與淨值--企業及個人存款與貨幣市場-外匯存款_年增率(%),負債與淨值--企業及個人存款與貨幣市場-郵政儲金_原始值,負債與淨值--企業及個人存款與貨幣市場-郵政儲金_年增率(%),負債與淨值--企業及個人存款與貨幣市場-貨幣市場共同基金_原始值,負債與淨值--企業及個人存款與貨幣市場-貨幣市場共同基金_年增率(%),負債與淨值--政府存款_原始值,負債與淨值--政府存款_年增率(%),負債與淨值--對人壽保險公司等負債_原始值,負債與淨值--對人壽保險公司等負債_年增率(%),負債與淨值--金融債券_原始值,負債與淨值--金融債券_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%),負債與淨值--其他項目(淨額)_原始值,負債與淨值--其他項目(淨額)_年增率(%)
2001M05,"22,149,857",5.09,"5,268,213",20.94,"14,076,710",0.74,"2,023,619",13.56,"366,546",3.44,"11,686,545",-1.27,"906,973",15.77,"57,430",-17.12,"1,378,120",-5.54,"201,833",11.58,"44,884",22.88,"45,784",0.01,"169,910",-1.33,"419,642",-24.96,"686,427",-1.51,"18,031,879",5.76,"229,412",-15.28,"924,310",-9.16,"2,570,553",-3.36,"3,200,528",-4.15,"6,971,675",7.65,"1,164,342",77.51,"2,971,059",12.92,-,-,"917,742",-3.19,"358,529",15.83,"107,035",23.66,"2,340,532",12.69,"-711,929",--
2001M06,"22,327,138",5.53,"5,351,510",21.32,"14,170,652",0.56,"2,041,828",12.93,"369,694",1.04,"11,759,130",-1.33,"888,652",12.89,"58,730",-12.48,"1,379,035",0.88,"217,132",22.60,"49,237",36.60,"45,626",-0.33,"166,564",-4.22,"419,111",-18.51,"694,249",-1.21,"18,364,305",6.58,"284,402",0.22,"970,147",-8.84,"2,676,552",0.72,"3,185,378",-4.61,"7,010,342",7.70,"1,230,784",73.70,"3,006,700",12.68,-,-,"903,308",-4.89,"353,529",14.52,"105,876",26.33,"2,390,244",13.58,"-903,484",--
2001M07,"22,526,014",6.39,"5,519,960",25.71,"14,105,540",0.10,"2,027,346",10.53,"422,348",11.29,"11,655,846",-1.87,"917,104",20.66,"59,832",-12.74,"1,474,475",3.53,"185,650",2.83,"47,312",29.84,"45,626",-0.33,"170,515",-2.87,"480,571",-4.20,"686,943",-1.39,"18,336,462",6.76,"362,002",36.28,"899,085",-10.22,"2,606,031",-0.90,"3,139,276",-5.14,"7,043,767",7.82,"1,249,320",70.98,"3,036,981",12.25,-,-,"963,236",-0.82,"368,546",17.08,"108,889",34.16,"2,471,011",16.07,"-889,644",--
2001M08,"22,545,142",6.54,"5,665,626",29.04,"13,908,829",-0.90,"1,971,167",8.72,"413,163",15.52,"11,524,499",-2.87,"952,960",25.78,"55,768",-17.99,"1,502,955",2.69,"198,837",2.08,"49,024",35.80,"45,627",-0.33,"165,516",-2.50,"531,887",16.21,"678,839",-1.61,"18,371,443",6.34,"228,554",-13.32,"975,779",-6.33,"2,663,917",2.05,"3,154,131",-4.66,"7,104,407",7.99,"1,190,523",57.33,"3,054,132",12.45,-,-,"918,599",-1.78,"344,200",9.66,"125,965",61.53,"2,483,377",16.30,"-909,168",--
2001M09,"22,615,300",6.45,"5,806,025",29.77,"13,906,318",-1.33,"2,004,830",9.49,"409,183",13.82,"11,492,305",-3.45,"955,204",25.40,"60,405",-10.02,"1,434,245",1.30,"194,060",8.65,"50,876",41.18,"45,627",-0.33,"162,540",-5.27,"602,536",25.08,"693,703",1.05,"18,367,225",6.23,"266,765",8.54,"947,314",-5.05,"2,706,195",6.75,"3,109,120",-6.33,"7,148,825",8.12,"1,128,384",33.01,"3,060,622",12.01,-,-,"948,253",-2.15,"343,139",11.82,"147,158",104.26,"2,505,029",15.47,"-991,743",--
2001M10,"22,521,523",5.48,"5,769,828",25.89,"13,801,329",-2.83,"2,024,528",6.86,"402,144",11.42,"11,374,657",-4.79,"1,010,420",29.60,"54,893",-7.50,"1,433,573",10.30,"182,065",7.46,"62,525",57.07,"45,627",-0.33,"161,263",-5.54,"531,271",21.59,"674,068",-1.04,"18,341,254",5.50,"228,423",-8.51,"953,352",-3.00,"2,750,741",9.35,"3,059,159",-7.80,"7,161,776",8.25,"1,136,673",17.32,"3,051,130",11.58,-,-,"905,385",-0.83,"338,849",14.53,"154,774",106.56,"2,516,482",11.13,"-940,560",--
2001M11,"22,556,704",4.18,"5,836,314",21.75,"13,735,061",-3.48,"2,044,290",4.47,"400,032",10.92,"11,290,739",-5.22,"1,014,817",26.75,"63,478",6.65,"1,450,992",9.25,"186,899",5.95,"58,454",25.54,"45,627",-0.33,"165,062",-3.48,"535,058",12.48,"679,719",-0.29,"18,398,293",4.75,"226,069",-10.44,"954,049",-2.58,"2,877,687",13.17,"3,025,873",-9.12,"7,162,931",8.21,"1,102,572",3.00,"3,049,112",10.10,-,-,"920,944",0.20,"336,081",10.23,"183,839",121.97,"2,497,376",6.09,"-994,606",--
2001M12,"22,940,262",4.30,"6,003,051",22.93,"14,036,644",-2.72,"2,134,732",3.47,"460,515",19.78,"11,441,397",-4.51,"1,011,687",22.25,"58,838",7.00,"1,382,115",5.47,"175,385",-18.03,"59,666",21.31,"45,623",-0.33,"167,253",-7.51,"540,096",17.76,"692,912",-2.21,"18,742,707",4.52,"274,532",-14.54,"1,118,498",6.15,"3,107,171",19.99,"2,959,070",-10.98,"7,140,862",7.60,"1,101,348",-6.42,"3,041,226",7.48,-,-,"949,375",1.15,"340,047",10.95,"202,611",121.03,"2,489,969",10.10,"-1,017,455",--
2002M01,"23,111,174",4.50,"6,100,946",25.92,"13,942,865",-2.86,"2,222,818",5.39,"465,543",16.90,"11,254,504",-5.00,"1,016,360",13.38,"67,062",5.48,"1,427,136",6.52,"179,665",-38.55,"58,147",10.26,"45,624",-0.34,"273,369",20.68,"555,867",38.03,"821,004",-10.23,"18,792,841",4.23,"246,319",0.36,"1,065,290",12.07,"3,264,392",19.92,"2,880,701",-12.42,"7,128,850",6.16,"1,124,993",-2.69,"3,082,296",4.45,-,-,"942,392",6.74,"328,256",4.88,"212,479",123.80,"2,482,438",12.58,"-1,024,103",--
2002M02,"23,037,110",4.69,"6,182,846",26.10,"13,834,254",-2.91,"2,222,039",4.56,"470,845",25.21,"11,141,370",-5.16,"1,029,749",18.83,"62,889",-8.57,"1,465,023",4.38,"174,992",-26.55,"57,287",8.44,"45,624",-0.34,"184,446",3.54,"545,080",30.03,"795,413",6.85,"18,902,134",4.07,"272,791",-3.61,"1,016,153",8.88,"3,319,404",23.00,"2,857,039",-14.20,"7,150,746",4.81,"1,154,206",3.29,"3,131,795",5.17,-,-,"926,199",3.26,"305,918",-5.54,"218,961",124.82,"2,509,726",14.23,"-1,166,321",--
