期間,收受部門-其他貨幣機構_原始值,收受部門-其他貨幣機構_年增率(%),存款部門-其他貨幣機構_原始值,存款部門-其他貨幣機構_年增率(%),存款部門-保險公司及退休基金_原始值,存款部門-保險公司及退休基金_年增率(%),存款部門-其他金融機構_原始值,存款部門-其他金融機構_年增率(%),存款部門-公營事業_原始值,存款部門-公營事業_年增率(%),存款部門-民營企業_原始值,存款部門-民營企業_年增率(%),存款部門-家庭及非營利團體_原始值,存款部門-家庭及非營利團體_年增率(%),存款部門-國外_原始值,存款部門-國外_年增率(%)
2000,"14,851,192",...,"879,468",...,"781,897",...,"497,618",...,"168,438",...,"989,840",...,"10,975,324",...,"558,607",...
2001,"15,145,169",1.98,"872,091",-0.84,"827,619",5.85,"685,529",37.76,"140,781",-16.42,"976,123",-1.39,"10,943,702",-0.29,"699,325",25.19
2002,"14,974,863",-1.12,"838,249",-3.88,"738,239",-10.80,"758,497",10.64,"131,184",-6.82,"974,629",-0.15,"10,693,489",-2.29,"840,577",20.20
