期間,發行部門-國外_原始值,發行部門-國外_年增率(%),持有部門-其他貨幣機構_原始值,持有部門-其他貨幣機構_年增率(%),持有部門-保險公司及退休基金_原始值,持有部門-保險公司及退休基金_年增率(%),持有部門-其他金融機構_原始值,持有部門-其他金融機構_年增率(%),持有部門-公營事業_原始值,持有部門-公營事業_年增率(%),持有部門-民營企業_原始值,持有部門-民營企業_年增率(%),持有部門-家庭及非營利團體_原始值,持有部門-家庭及非營利團體_年增率(%)
2009,"5,358,366",2.17,"97,719",5.73,"5,499",-9.71,"98,996",-16.57,"6,613",7.67,"3,367,733",6.62,"1,781,806",-4.33
2010,"5,527,563",3.16,"102,570",4.96,"6,350",15.47,"121,383",22.61,"6,573",-0.61,"3,676,806",9.18,"1,613,882",-9.42
2011,"6,351,066",14.90,"106,104",3.45,"6,449",1.57,"151,400",24.73,"6,174",-6.06,"4,365,057",18.72,"1,715,882",6.32
2012,"6,646,038",4.64,"112,283",5.82,"8,860",37.39,"206,309",36.27,"5,832",-5.54,"4,730,059",8.36,"1,582,695",-7.76
