期間,資產淨額=負債淨值淨額_原始值,資產淨額=負債淨值淨額_年增率(%),資產--國外資產_原始值,資產--國外資產_年增率(%),資產--放款-計_原始值,資產--放款-計_年增率(%),資產--放款-政府機關_原始值,資產--放款-政府機關_年增率(%),資產--放款-公營事業_原始值,資產--放款-公營事業_年增率(%),資產--放款-民間部門_原始值,資產--放款-民間部門_年增率(%),資產--對非金融機構證券投資-政府機關_原始值,資產--對非金融機構證券投資-政府機關_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--對人壽保險公司等債權_原始值,資產--對人壽保險公司等債權_年增率(%),資產--不動產投資_原始值,資產--不動產投資_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),負債與淨值--國外負債_原始值,負債與淨值--國外負債_年增率(%),負債與淨值--通貨發行額_原始值,負債與淨值--通貨發行額_年增率(%),負債與淨值--企業及個人存款與貨幣市場-計_原始值,負債與淨值--企業及個人存款與貨幣市場-計_年增率(%),負債與淨值--企業及個人存款與貨幣市場-支票存款_原始值,負債與淨值--企業及個人存款與貨幣市場-支票存款_年增率(%),負債與淨值--企業及個人存款與貨幣市場-活期存款_原始值,負債與淨值--企業及個人存款與貨幣市場-活期存款_年增率(%),負債與淨值--企業及個人存款與貨幣市場-活期儲蓄存款_原始值,負債與淨值--企業及個人存款與貨幣市場-活期儲蓄存款_年增率(%),負債與淨值--企業及個人存款與貨幣市場-定期存款_原始值,負債與淨值--企業及個人存款與貨幣市場-定期存款_年增率(%),負債與淨值--企業及個人存款與貨幣市場-定期儲蓄存款_原始值,負債與淨值--企業及個人存款與貨幣市場-定期儲蓄存款_年增率(%),負債與淨值--企業及個人存款與貨幣市場-外匯存款_原始值,負債與淨值--企業及個人存款與貨幣市場-外匯存款_年增率(%),負債與淨值--企業及個人存款與貨幣市場-郵政儲金_原始值,負債與淨值--企業及個人存款與貨幣市場-郵政儲金_年增率(%),負債與淨值--企業及個人存款與貨幣市場-貨幣市場共同基金_原始值,負債與淨值--企業及個人存款與貨幣市場-貨幣市場共同基金_年增率(%),負債與淨值--政府存款_原始值,負債與淨值--政府存款_年增率(%),負債與淨值--對人壽保險公司等負債_原始值,負債與淨值--對人壽保險公司等負債_年增率(%),負債與淨值--金融債券_原始值,負債與淨值--金融債券_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%),負債與淨值--其他項目(淨額)_原始值,負債與淨值--其他項目(淨額)_年增率(%)
2010M01,"36,821,734",4.45,"14,818,972",9.93,"18,658,127",1.69,"1,663,094",22.32,"730,125",-4.24,"16,264,908",0.24,"1,945,816",1.64,"203,165",-15.15,"810,410",-3.18,"118,842",-12.18,2,-99.58,1,0.00,"266,399",-11.07,"1,717,236",-20.53,"1,200,639",-13.61,"28,003,347",6.03,"357,310",13.55,"2,643,479",36.42,"6,599,659",28.38,"4,162,219",-5.83,"7,461,307",-6.42,"2,316,301",3.00,"4,461,284",2.01,"1,788",-34.98,"1,120,217",25.87,"823,122",40.53,"786,889",-9.60,"3,283,208",-5.67,"-112,924",--
2010M02,"36,830,894",3.15,"14,797,755",4.28,"18,657,514",2.90,"1,661,093",19.23,"701,228",-3.08,"16,295,193",1.75,"1,970,680",0.88,"220,103",-17.05,"824,498",-0.85,"110,314",-13.86,2,-99.77,1,0.00,"250,027",22.28,"1,782,270",-15.25,"1,309,464",17.78,"28,014,121",4.58,"338,349",7.69,"2,568,138",25.84,"6,632,570",25.87,"4,200,446",-4.67,"7,451,257",-6.28,"2,290,119",-5.23,"4,531,394",3.29,"1,848",-29.81,"996,890",16.62,"874,378",36.60,"763,907",-10.56,"3,234,322",-16.85,"-144,458",--
2010M03,"36,738,622",2.99,"14,845,289",5.02,"18,606,632",2.82,"1,590,884",15.01,"681,621",-5.92,"16,334,127",2.16,"1,956,552",-2.91,"228,120",-11.89,"785,139",-7.56,"112,196",-4.51,2,-99.77,1,0.00,"204,691",2.49,"1,755,510",-10.70,"1,181,309",8.75,"28,088,802",4.00,"311,338",9.76,"2,607,256",19.76,"6,631,657",20.65,"4,245,164",-2.58,"7,453,741",-5.86,"2,322,002",-3.02,"4,515,731",3.13,"1,913",-31.53,"973,575",13.79,"925,008",38.80,"750,096",-6.39,"3,100,054",-17.11,"-35,732",--
2010M04,"36,779,062",3.27,"14,749,552",4.98,"18,719,384",3.52,"1,541,028",8.32,"731,024",-0.92,"16,447,332",3.30,"1,976,578",-2.25,"217,068",-10.98,"802,615",-10.19,"111,454",-3.28,2,-99.75,1,0.00,"202,408",-2.28,"1,779,026",-6.03,"1,169,648",7.90,"28,169,343",3.96,"312,366",11.00,"2,649,222",18.36,"6,709,518",18.41,"4,263,598",-1.41,"7,448,411",-5.41,"2,279,532",-2.42,"4,504,537",3.03,"2,159",-20.97,"977,751",11.44,"907,428",25.50,"750,962",-6.86,"2,972,090",-15.65,"52,814",--
2010M05,"37,085,707",3.84,"14,892,870",5.23,"18,937,150",4.85,"1,519,251",9.73,"755,702",1.70,"16,662,197",4.57,"1,949,664",-4.34,"204,147",-12.64,"789,531",-12.38,"109,446",-5.15,2,-99.82,1,0.00,"202,896",-4.33,"1,971,654",7.69,"1,166,536",6.86,"28,087,636",3.29,"326,461",5.35,"2,665,796",20.30,"6,573,759",11.39,"4,314,307",1.80,"7,446,217",-4.90,"2,267,566",-2.05,"4,491,782",2.51,"1,748",-14.98,"1,070,347",18.53,"919,669",22.19,"746,225",-7.02,"3,012,519",-11.86,"111,121",--
2010M06,"37,146,564",3.92,"14,914,247",4.28,"19,028,853",5.16,"1,437,753",8.62,"761,382",2.60,"16,829,718",4.99,"1,924,290",-3.37,"205,599",-3.55,"760,934",-9.45,"111,649",4.58,2,0.00,1,0.00,"200,989",3.10,"1,847,783",9.45,"1,166,762",9.66,"28,199,308",3.65,"334,761",9.96,"2,754,467",15.42,"6,589,738",12.20,"4,346,130",3.01,"7,461,145",-4.14,"2,227,332",-1.92,"4,483,951",2.70,"1,784",-10.84,"1,021,350",2.97,"1,005,811",34.73,"754,582",-6.02,"3,102,263",-13.71,"48,705",--
2010M07,"37,389,246",4.61,"15,028,293",4.69,"19,178,157",5.77,"1,464,784",3.94,"773,009",-0.41,"16,940,364",6.23,"1,888,821",-1.19,"203,018",9.85,"776,530",-9.71,"112,228",8.36,2,-99.75,1,0.00,"202,196",4.05,"1,927,333",17.06,"1,166,913",9.26,"28,401,544",3.87,"369,810",27.92,"2,699,402",14.33,"6,750,669",11.02,"4,308,309",2.63,"7,481,388",-3.43,"2,256,129",0.42,"4,534,155",2.63,"1,682",-12.12,"1,040,383",4.93,"963,700",29.72,"751,480",-5.16,"3,253,658",-9.87,"-115,765",--
2010M08,"37,689,260",4.75,"15,128,551",3.54,"19,358,084",6.21,"1,478,750",-1.21,"776,579",1.56,"17,102,755",7.12,"1,885,272",2.12,"201,101",10.61,"809,313",-0.13,"107,437",1.35,2,0.00,1,0.00,"199,499",1.93,"2,136,794",18.16,"1,160,995",8.18,"28,491,504",4.43,"336,640",9.81,"2,838,832",15.00,"6,796,179",11.65,"4,267,710",5.18,"7,483,568",-2.85,"2,255,425",0.55,"4,511,584",2.18,"1,566",-19.49,"1,020,705",3.35,"936,977",24.96,"759,515",-4.27,"3,227,764",-13.05,"-44,994",--
2010M09,"37,703,846",4.67,"15,147,651",4.00,"19,375,967",5.95,"1,441,940",-1.46,"788,410",6.52,"17,145,617",6.60,"1,907,978",1.30,"182,583",1.01,"783,829",-3.28,"105,405",2.92,2,-98.96,1,0.00,"200,430",4.29,"2,099,276",14.30,"1,168,941",9.08,"28,632,537",4.69,"321,247",7.14,"2,728,374",13.65,"6,974,135",11.53,"4,214,641",4.55,"7,492,368",-2.29,"2,384,986",4.92,"4,515,387",2.15,"1,399",-39.01,"1,086,967",5.72,"890,805",27.71,"764,862",-3.42,"3,165,326",-11.03,"-104,868",--
2010M10,"37,774,762",4.13,"15,058,270",1.60,"19,468,816",6.92,"1,428,167",4.12,"793,862",10.64,"17,246,787",7.00,"1,975,887",1.08,"174,158",-9.52,"789,257",-1.76,"106,139",2.61,102,142.86,1,0.00,"202,132",4.09,"1,968,666",11.09,"1,175,221",8.78,"28,900,222",4.84,"359,949",9.64,"2,733,391",7.21,"6,984,407",9.31,"4,314,062",7.01,"7,483,590",-1.51,"2,505,382",11.83,"4,517,742",2.08,"1,699",-30.74,"1,037,294",2.04,"890,868",29.40,"762,297",-4.67,"3,197,902",-14.87,"-157,708",--
