期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),公司債_原始值,公司債_年增率(%),公司債_原始值,公司債_年增率(%),公司債_原始值,公司債_年增率(%),金融債券_原始值,金融債券_年增率(%),金融債券_原始值,金融債券_年增率(%),金融債券_原始值,金融債券_年增率(%)
1997M01,"10,300",...,...,...,"258,092",...,"10,300",232.26,"2,651",-8.17,"258,092",179.28,0,...,...,...,0,...
1997M02,"5,500",...,...,...,"262,591",...,"5,500","2,650.00","2,001",200.00,"261,591",184.51,0,...,...,...,"1,000",...
1997M03,"8,788",...,"14,647",...,"339,193",...,"7,450",40.57,"1,300",168.04,"267,741",176.70,"1,338",...,"13,347",...,"71,452",...
1997M04,"10,584",...,"5,659",...,"334,036",...,"9,080",-7.35,"2,437",937.02,"274,384",158.06,"1,504",...,"3,222",...,"59,652",...
1997M05,"13,700",...,"3,854",...,"343,102",...,"9,100",-58.62,"2,346",-14.19,"281,138",123.87,"4,600",...,"1,508",...,"61,964",...
1997M06,"23,871",...,"10,025",...,"357,057",...,"19,740",-38.73,"8,706",660.35,"292,172",86.50,"4,131",...,"1,319",...,"64,885",...
1997M07,"15,077",...,"5,174",...,"365,928",...,"13,370",-59.39,"4,966",71.01,"300,576",61.02,"1,707",...,208,...,"65,352",...
1997M08,"16,700",...,"2,313",...,"381,323",...,"16,700",95.32,"2,259",-21.18,"315,017",63.77,0,...,54,...,"66,306",...
1997M09,"6,043",...,"1,336",...,"384,030",...,"4,200",-27.59,"1,316",-30.66,"317,901",61.98,"1,843",...,20,...,"66,129",...
1997M10,"6,510",...,"9,817",...,"381,724",...,"4,420",-68.85,"2,840",194.61,"319,481",52.51,"2,090",...,"6,977",...,"62,243",...
1997M11,"7,836",...,"10,225",...,"386,312",...,"3,810",-70.69,"1,290",-51.45,"322,001",46.48,"4,026",...,"8,935",...,"64,311",...
1997M12,"13,668",-80.85,"7,899",...,"392,081",37.48,"7,530",-79.45,"6,303",4.61,"323,228",29.06,"6,138",-82.33,"1,596",...,"68,853",98.21
1998M01,"17,802",72.83,"3,826",...,"406,057",57.33,"17,400",68.93,"2,623",-1.06,"338,005",30.96,402,--,"1,203",...,"68,052",--
