期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),公司債_原始值,公司債_年增率(%),公司債_原始值,公司債_年增率(%),公司債_原始值,公司債_年增率(%),金融債券_原始值,金融債券_年增率(%),金融債券_原始值,金融債券_年增率(%),金融債券_原始值,金融債券_年增率(%)
2010M01,"29,280",225.33,"36,108",-26.86,"1,942,561",-2.52,"22,050",267.50,"17,792",-46.55,"1,141,197",2.65,"7,230",141.00,"18,316",73.10,"801,364",-9.80
2010M02,"20,000",233.33,"24,266",-4.08,"1,938,295",-1.79,"19,300",286.00,572,-92.73,"1,159,925",4.61,700,-30.00,"23,694",35.95,"778,370",-10.74
2010M03,"17,270","3,354.00","38,090",-32.90,"1,917,475",0.01,"8,550",...,"15,706",354.32,"1,152,769",4.29,"8,720","1,644.00","22,384",-58.01,"764,706",-6.65
2010M04,"39,300",19.85,"34,187",40.83,"1,922,588",-0.17,"27,700",12.19,"23,440",10.89,"1,157,029",4.34,"11,600",43.21,"10,747",242.59,"765,559",-7.11
2010M05,"38,350",160.88,"31,457",-10.17,"1,929,481",1.26,"27,350",241.88,"15,708",-36.19,"1,168,671",6.99,"11,000",64.18,"15,749",51.43,"760,810",-7.27
2010M06,"69,770",327.51,"68,446",48.18,"1,930,805",2.94,"41,670",892.14,"48,852",42.09,"1,161,489",9.35,"28,100",131.85,"19,594",65.90,"769,316",-6.27
2010M07,"46,230",219.05,"33,027",5.92,"1,944,008",4.17,"42,700",323.19,"26,384",62.45,"1,177,805",11.53,"3,530",-19.77,"6,643",-55.54,"766,203",-5.44
2010M08,"44,336",50.80,"15,567",-33.75,"1,972,777",5.38,"31,500",10.92,"10,754",-54.20,"1,198,551",12.97,"12,836","1,183.60","4,813","26,638.89","774,226",-4.56
2010M09,"49,182",116.66,"51,532",203.63,"1,970,426",4.93,"29,180",112.99,"37,030",466.64,"1,190,701",11.48,"20,002",122.24,"14,502",38.95,"779,725",-3.71
2010M10,"29,352",-59.95,"50,299",61.22,"1,949,479",1.54,"23,650",-51.17,"42,022",292.03,"1,172,329",6.02,"5,702",-77.05,"8,277",-59.58,"777,150",-4.55
2010M11,"34,453",42.37,"10,416",-28.04,"1,973,516",2.27,"24,001",8.11,"4,483",16.78,"1,191,847",6.02,"10,452",422.60,"5,933",-44.21,"781,669",-2.96
2010M12,"70,672",19.44,"26,207",-33.58,"2,017,981",3.52,"32,070",-3.32,"21,713",6.48,"1,202,204",5.74,"38,602",48.49,"4,494",-76.43,"815,777",0.41
2011M01,"29,702",1.44,"20,023",-44.55,"2,027,660",4.38,"29,700",34.69,"12,779",-28.18,"1,219,125",6.83,2,-99.97,"7,244",-60.45,"808,535",0.89
2011M02,"4,102",-79.49,"5,586",-76.98,"2,026,175",4.53,"4,100",-78.76,"3,242",466.78,"1,219,983",5.18,2,-99.71,"2,344",-90.11,"806,192",3.57
2011M03,"54,822",217.44,"20,566",-46.01,"2,060,432",7.46,"14,020",63.98,"5,007",-68.12,"1,228,996",6.61,"40,802",367.91,"15,559",-30.49,"831,436",8.73
2011M04,"37,302",-5.08,"10,203",-70.16,"2,087,530",8.58,"25,900",-6.50,"5,163",-77.97,"1,249,733",8.01,"11,402",-1.71,"5,040",-53.10,"837,797",9.44
2011M05,"56,502",47.33,"42,918",36.43,"2,101,114",8.90,"25,050",-8.41,"26,330",67.62,"1,248,453",6.83,"31,452",185.93,"16,588",5.33,"852,661",12.07
2011M06,"92,682",64.03,"47,794",11.36,"2,146,001",2.14,"67,580",62.18,"37,642",-22.95,"1,278,391",10.06,"25,102",-10.67,"10,152",-48.19,"867,610",12.78
2011M07,"49,612",-46.47,"17,406",-63.58,"2,178,208",1.50,"45,000",5.39,"14,387",-45.47,"1,309,004",11.14,"4,612",30.65,"3,019",-54.55,"869,204",13.44
2011M08,"41,692",-15.96,"23,801",36.74,"2,196,099",0.82,"29,140",-7.49,"18,850",75.28,"1,319,294",10.07,"12,552",-2.21,"4,951",2.87,"876,805",13.25
2011M09,"60,299",44.63,"28,583",20.09,"2,227,815",1.44,"42,197",44.61,"25,021",-32.43,"1,336,470",12.24,"18,102",-9.50,"3,562",-75.44,"891,345",14.32
2011M10,"63,732",5.69,"30,290",5.97,"2,261,256",1.50,"45,180",91.04,"16,120",-61.64,"1,365,530",16.48,"18,552",225.36,"14,170",71.20,"895,726",15.26
2011M11,"49,082",-22.99,"43,934",45.04,"2,266,405",0.23,"34,480",43.66,"34,956",679.75,"1,365,054",14.53,"14,602",39.71,"8,978",51.32,"901,351",15.31
2011M12,"51,672",5.28,"66,618",51.63,"2,251,458",-0.66,"34,270",6.86,"48,291",122.41,"1,351,033",12.38,"17,402",-54.92,"18,327",307.81,"900,425",10.38
2012M01,"40,637",-21.36,"21,104",-68.32,"2,270,992",0.87,"26,335",-11.33,"15,393",20.46,"1,361,975",11.72,"14,302","715,000.00","5,711",-21.16,"909,017",12.43
2012M02,"20,602",-49.30,"16,595",-21.37,"2,274,999",0.18,"18,600",353.66,"8,654",166.93,"1,371,921",12.45,"2,002","100,000.00","7,941",238.78,"903,078",12.02
2012M03,"37,196",80.55,"11,923",-28.15,"2,300,272",1.11,"34,594",146.75,"8,261",64.99,"1,398,254",13.77,"2,602",-93.62,"3,662",-76.46,"902,018",8.49
