期間,合計_原始值,合計_年增率(%),男_原始值,男_年增率(%),女_原始值,女_年增率(%),15~24歲_原始值,15~24歲_年增率(%),25~44歲_原始值,25~44歲_年增率(%),45~64歲_原始值,45~64歲_年增率(%),65歲以上_原始值,65歲以上_年增率(%),國中及以下_原始值,國中及以下_年增率(%),高中(職)_原始值,高中(職)_年增率(%),大專及以上_原始值,大專及以上_年增率(%),初次尋職者_原始值,初次尋職者_年增率(%),非初次尋職者_原始值,非初次尋職者_年增率(%)
2009M01,26.07,0.62,25.68,1.74,26.71,-0.93,22.89,3.15,27.18,-3.96,26.24,11.85,4.00,-20.00,25.78,5.27,25.49,-3.56,26.80,2.10,31.23,12.99,25.09,-1.61
2009M02,26.26,5.33,25.72,4.05,27.19,7.56,24.94,19.22,26.70,-0.48,26.37,8.47,-,--,24.68,9.59,26.22,-3.25,27.29,11.84,34.10,26.53,24.94,1.84
2009M03,26.93,4.50,26.77,-1.47,27.20,15.50,25.42,26.15,26.96,1.28,28.19,-6.62,-,--,26.12,-0.57,26.19,2.22,28.13,9.88,35.92,26.75,25.45,1.11
2009M04,26.84,2.91,26.80,-3.53,26.93,14.55,25.79,33.83,26.99,-3.33,27.37,-5.00,9.31,33.00,26.24,-2.09,26.51,0.65,27.53,8.22,35.79,19.70,25.42,0.63
2009M05,27.39,10.58,27.73,5.92,26.81,17.69,26.06,37.52,27.72,1.43,27.64,14.93,11.33,-25.70,27.37,7.38,26.51,7.90,28.24,15.08,38.37,35.44,25.60,6.71
2009M06,26.62,6.39,28.53,6.65,23.31,3.55,23.61,16.13,27.28,2.13,27.64,5.06,3.62,-61.28,27.27,-1.16,26.46,4.92,26.37,12.55,33.00,31.37,25.44,1.80
2009M07,26.81,16.67,28.06,10.60,24.65,26.48,21.72,37.99,28.34,14.92,27.53,-6.07,-,--,25.54,-0.55,28.25,18.05,26.28,26.04,30.02,46.08,26.14,9.97
2009M08,27.66,15.78,29.01,17.74,25.38,11.02,20.07,16.21,29.68,16.90,29.73,-2.43,8.57,42.83,27.02,9.88,29.79,24.18,26.14,11.28,26.59,21.08,27.90,13.60
2009M09,27.06,10.99,27.85,9.04,25.74,13.14,20.24,13.39,29.23,10.39,27.74,0.00,11.40,177.37,25.92,9.27,29.62,22.50,25.42,2.13,24.74,11.09,27.56,9.98
2009M10,28.30,8.43,29.17,13.06,26.79,0.83,22.59,24.39,29.42,1.20,30.58,10.24,6.00,--,26.12,3.12,30.37,14.60,27.66,5.90,26.40,7.80,28.69,8.02
2009M11,29.31,9.94,29.57,14.75,28.84,2.60,20.47,-2.94,30.97,11.68,32.77,9.23,-,--,29.51,12.46,30.01,4.53,28.58,14.14,26.97,-4.12,29.79,13.27
2009M12,30.51,16.49,30.39,16.71,30.73,16.27,23.63,10.94,31.32,13.81,34.23,23.84,-,--,29.64,22.08,31.16,13.10,30.38,16.58,29.00,1.86,30.81,19.88
2010M01,30.17,15.73,30.09,17.17,30.30,13.44,23.32,1.88,31.30,15.16,32.86,25.23,2.00,-50.00,29.19,13.23,30.95,21.42,29.97,11.83,31.84,1.95,29.84,18.93
2010M02,30.67,16.79,30.44,18.35,31.09,14.34,25.17,0.92,31.56,18.20,32.88,24.69,5.78,--,28.43,15.19,30.15,14.99,32.28,18.29,35.26,3.40,29.77,19.37
2010M03,30.88,14.67,31.08,16.10,30.51,12.17,25.63,0.83,31.83,18.06,32.74,16.14,12.23,--,28.04,7.35,31.29,19.47,31.97,13.65,35.20,-2.00,30.02,17.96
2010M04,30.76,14.61,31.65,18.10,29.19,8.39,25.37,-1.63,31.71,17.49,32.63,19.22,-,--,27.98,6.63,31.46,18.67,31.56,14.64,35.03,-2.12,29.94,17.78
2010M05,30.83,12.56,31.37,13.13,29.91,11.56,25.97,-0.35,32.13,15.91,31.44,13.75,-,--,28.00,2.30,31.19,17.65,31.95,13.14,36.55,-4.74,29.80,16.41
2010M06,29.98,12.62,31.60,10.76,27.25,16.90,19.53,-17.28,32.22,18.11,33.06,19.61,99.00,"2,634.81",28.72,5.32,31.37,18.56,29.42,11.57,30.54,-7.45,29.87,17.41
2010M07,28.30,5.56,30.50,8.70,24.74,0.37,16.40,-24.49,30.20,6.56,34.27,24.48,-,--,28.35,11.00,29.35,3.89,27.37,4.15,25.34,-15.59,29.00,10.94
2010M08,28.24,2.10,30.14,3.90,25.21,-0.67,16.73,-16.64,30.83,3.87,33.18,11.60,4.00,-53.33,28.68,6.14,31.14,4.53,25.60,-2.07,22.09,-16.92,29.82,6.88
2010M09,27.61,2.03,30.00,7.72,23.66,-8.08,16.75,-17.24,31.15,6.57,29.57,6.60,15.00,31.58,28.60,10.34,30.24,2.09,24.93,-1.93,23.90,-3.40,28.56,3.63
2010M10,28.10,-0.71,29.74,1.95,25.44,-5.04,18.86,-16.51,30.87,4.93,30.19,-1.28,7.96,32.67,26.83,2.72,30.55,0.59,26.60,-3.83,26.04,-1.36,28.63,-0.21
2010M11,29.66,1.19,30.40,2.81,28.47,-1.28,20.75,1.37,31.92,3.07,32.54,-0.70,10.68,--,28.61,-3.05,31.11,3.67,28.90,1.12,28.79,6.75,29.87,0.27
2010M12,30.72,0.69,31.08,2.27,30.14,-1.92,22.22,-5.97,32.58,4.02,33.81,-1.23,3.47,--,29.20,-1.48,30.49,-2.15,31.64,4.15,31.43,8.38,30.55,-0.84
2011M01,30.91,2.45,32.23,7.11,28.83,-4.85,21.78,-6.60,32.96,5.30,34.23,4.17,4.00,100.00,29.18,-0.03,31.67,2.33,31.07,3.67,31.59,-0.79,30.75,3.05
2011M02,29.14,-4.99,30.55,0.36,26.86,-13.61,22.70,-9.81,31.42,-0.44,29.30,-10.89,-,--,27.33,-3.87,28.33,-6.04,30.61,-5.17,32.24,-8.56,28.38,-4.67
2011M03,28.34,-8.23,29.61,-4.73,26.31,-13.77,23.19,-9.52,30.07,-5.53,28.85,-11.88,5.12,-58.14,28.67,2.25,26.72,-14.61,29.50,-7.73,32.35,-8.10,27.35,-8.89
2011M04,28.45,-7.51,27.95,-11.69,29.21,0.07,22.85,-9.93,30.24,-4.64,29.38,-9.96,7.88,--,28.68,2.50,27.22,-13.48,29.41,-6.81,30.94,-11.68,27.87,-6.91
