期間,提存戶數(家)_原始值,提存戶數(家)_年增率(%),提存戶數-家數提存率(%)_原始值,提存戶數-家數提存率(%)_年增率(%),有餘額戶數(家)_原始值,有餘額戶數(家)_年增率(%),提存廠商開戶時員工人數(人)_原始值,提存廠商開戶時員工人數(人)_年增率(%),提存金額(千元)_原始值,提存金額(千元)_年增率(%),撥發金額(千元)_原始值,撥發金額(千元)_年增率(%),累計提存金額(含孳息、收益) (千元)_原始值,累計提存金額(含孳息、收益) (千元)_年增率(%),累計撥發金額(千元)_原始值,累計撥發金額(千元)_年增率(%),基金餘額(千元)_原始值,基金餘額(千元)_年增率(%)
1994M01,"22,702",...,13.57,-,"20,405",...,"1,593,170",...,"1,815,106",...,"1,021,990",...,"136,161,422",...,"59,158,157",...,...,...
1994M02,"22,723",...,13.56,-,"20,438",...,"1,594,243",...,"1,551,524",...,"893,562",...,"137,714,442",...,"60,093,028",...,...,...
1994M03,"22,783",...,13.52,-,"20,473",...,"1,596,398",...,"2,122,330",...,"1,671,770",...,"139,834,137",...,"61,776,693",...,...,...
1994M04,"22,862",...,13.43,-,"20,530",...,"1,598,319",...,"2,029,984",...,"1,888,322",...,"141,858,598",...,"63,685,079",...,...,...
1994M05,"22,983",...,13.42,-,"20,603",...,"1,601,620",...,"1,865,696",...,"1,087,439",...,"143,706,397",...,"64,816,150",...,...,...
1994M06,"23,040",...,13.40,-,"20,663",...,"1,601,092",...,"1,832,852",...,"1,324,321",...,"145,536,499",...,"66,186,388",...,...,...
1994M07,"23,111",...,13.38,-,"20,752",...,"1,603,764",...,"1,910,189",...,"1,479,398",...,"153,281,851",...,"67,680,311",...,...,...
1994M08,"23,246",...,13.39,-,"20,840",...,"1,608,483",...,"2,018,037",...,"1,071,130",...,"155,298,167",...,"68,778,681",...,...,...
1994M09,"23,341",...,13.40,-,"20,939",...,"1,610,990",...,"1,702,345",...,"997,995",...,"156,998,567",...,"69,794,723",...,...,...
1994M10,"23,457",...,13.41,-,"21,025",...,"1,612,826",...,"1,763,059",...,"1,386,801",...,"158,761,504",...,"71,232,929",...,...,...
1994M11,"23,538",...,13.40,-,"21,111",...,"1,611,903",...,"1,803,213",...,"1,120,263",...,"160,559,145",...,"72,400,159",...,...,...
1994M12,"23,620",...,13.43,-,"21,213",...,"1,612,005",...,"1,888,321",...,"1,441,366",...,"162,444,064",...,"73,885,263",...,...,...
1995M01,"23,667",4.25,13.42,-,"21,278",4.28,"1,612,709",1.23,"1,840,448",1.40,"1,043,465",2.10,"164,277,727",20.65,"74,954,959",26.70,...,...
1995M02,"23,699",4.30,13.42,-,"21,340",4.41,"1,615,488",1.33,"1,826,154",17.70,"1,066,485",19.35,"166,096,226",20.61,"76,030,336",26.52,...,...
1995M03,"23,752",4.25,13.48,-,"21,403",4.54,"1,615,776",1.21,"2,454,051",15.63,"1,800,357",7.69,"168,521,976",20.52,"77,889,360",26.08,...,...
1995M04,"23,831",4.24,13.55,-,"21,448",4.47,"1,610,492",0.76,"2,111,455",4.01,"1,558,774",-17.45,"170,993,856",20.54,"87,124,863",36.81,...,...
1995M05,"23,893",3.96,13.61,-,"21,503",4.37,"1,619,436",1.11,"1,902,671",1.98,"1,179,476",8.46,"172,898,254",20.31,"88,340,436",36.29,...,...
1995M06,"23,932",3.87,13.69,-,"21,548",4.28,"1,620,268",1.20,"1,845,061",0.67,"1,240,799",-6.31,"174,744,166",20.07,"89,594,318",35.37,...,...
1995M07,"23,985",3.78,13.79,-,"21,615",4.16,"1,621,742",1.12,"2,033,297",6.44,"1,363,122",-7.86,"182,757,266",19.23,"90,988,099",34.44,...,...
1995M08,"24,009",3.28,13.84,-,"21,674",4.00,"1,619,845",0.71,"1,996,229",-1.08,"1,090,937",1.85,"184,745,602",18.96,"92,176,398",34.02,...,...
1995M09,"24,027",2.94,13.89,-,"21,703",3.65,"1,620,229",0.57,"1,969,625",15.70,"1,154,770",15.71,"186,682,152",18.91,"93,359,596",33.76,...,...
1995M10,"24,097",2.73,13.97,-,"21,764",3.51,"1,623,128",0.64,"2,418,530",37.18,"1,274,919",-8.07,"189,078,320",19.10,"94,648,443",32.87,...,...
1995M11,"24,175",2.71,14.07,-,"21,799",3.26,"1,626,647",0.91,"2,046,762",13.51,"1,332,519",18.95,"191,118,427",19.03,"96,011,624",32.61,...,...
1995M12,"24,218",2.53,14.15,-,"21,855",3.03,"1,627,586",0.97,"2,165,750",14.69,"1,044,787",-27.51,"193,263,294",18.97,"97,080,217",31.39,...,...
1996M01,"24,264",2.52,14.24,-,"21,896",2.90,"1,627,900",0.94,"2,223,343",20.80,"1,334,257",27.87,"195,492,392",19.00,"98,605,505",31.55,...,...
1996M02,"24,325",2.64,14.33,-,"21,984",3.02,"1,629,547",0.87,"1,963,318",7.51,"1,065,352",-0.11,"197,456,284",18.88,"99,684,502",31.11,...,...
1996M03,"24,414",2.79,14.44,-,"22,047",3.01,"1,634,526",1.16,"2,419,399",-1.41,"2,604,658",44.67,"199,871,677",18.60,"102,300,986",31.34,...,...
1996M04,"24,512",2.86,14.55,-,"22,115",3.11,"1,637,072",1.65,"2,354,706",11.52,"2,101,901",34.84,"202,225,436",18.26,"104,430,191",19.86,...,...
1996M05,"24,630",3.08,14.67,-,"22,215",3.31,"1,641,258",1.35,"2,213,654",16.34,"1,435,883",21.74,"204,432,042",18.24,"105,921,633",19.90,...,...
1996M06,"24,735",3.36,14.78,-,"22,303",3.50,"1,644,252",1.48,"2,078,849",12.67,"1,202,004",-3.13,"206,514,571",18.18,"107,188,349",19.64,...,...
1996M07,"24,843",3.58,14.86,-,"22,423",3.74,"1,648,680",1.66,"2,165,894",6.52,"1,395,528",2.38,"215,278,340",17.79,"108,630,849",19.39,...,...
1996M08,"24,962",3.97,14.97,-,"22,528",3.94,"1,650,287",1.88,"2,252,386",12.83,"1,404,165",28.71,"217,442,618",17.70,"110,058,565",19.40,...,...
1996M09,"25,008",4.08,15.02,-,"22,616",4.21,"1,650,462",1.87,"1,901,939",-3.44,"1,448,597",25.44,"219,345,104",17.50,"111,568,695",19.50,...,...
