期間,應提繳單位(家)_原始值,應提繳單位(家)_年增率(%),已繳納單位(家)_原始值,已繳納單位(家)_年增率(%),已繳率(%)_原始值,已繳率(%)_年增率(%),累計已繳納金額(千元)_原始值,累計已繳納金額(千元)_年增率(%),累計提繳本息(千元)_原始值,累計提繳本息(千元)_年增率(%),當期已墊付-事業單位(家)_原始值,當期已墊付-事業單位(家)_年增率(%),當期已墊付-人數(人)_原始值,當期已墊付-人數(人)_年增率(%),當期已墊付-金額(千元)_原始值,當期已墊付-金額(千元)_年增率(%),累計已墊付金額(千元)_原始值,累計已墊付金額(千元)_年增率(%),基金餘額(千元)_原始值,基金餘額(千元)_年增率(%)
2009M04,"428,534",-0.27,"403,675",-0.50,94.20,-,"7,676,399",6.93,"10,183,864",4.05,13,30.00,121,-61.83,"12,524",-42.44,"3,269,195",18.59,"6,914,669",-1.65
2009M05,"432,005",0.54,"408,783",0.65,94.62,-,"7,716,630",6.84,"10,244,337",3.94,14,-12.50,591,-30.72,"34,399",10.95,"3,303,593",18.50,"6,940,744",-1.81
2009M06,"431,837",0.58,"407,481",0.35,94.36,-,"7,758,311",6.80,"10,293,381",3.77,29,123.08,544,100.74,"28,825",110.02,"3,332,419",18.95,"6,960,962",-2.20
2009M07,"432,808",0.85,"409,001",1.06,94.50,-,"7,798,638",6.74,"10,246,567",2.83,14,0.00,280,-59.36,"24,206",-47.13,"3,356,625",17.89,"6,889,942",-3.20
2009M08,"433,404",0.96,"408,712",0.69,94.30,-,"7,839,158",6.69,"10,282,955",2.68,17,13.33,219,-4.37,"13,901",-15.67,"3,370,526",17.69,"6,912,429",-3.33
2009M09,"434,236",1.15,"410,502",1.47,94.53,-,"7,879,919",6.64,"10,376,590",3.12,23,53.33,336,-42.07,"22,105",-25.13,"3,392,631",17.26,"6,983,959",-2.58
2009M10,"435,269",1.33,"412,308",1.55,94.72,-,"7,920,879",6.58,"10,428,434",3.13,14,133.33,273,184.38,"21,770",342.03,"3,414,401",17.81,"7,014,033",-2.77
2009M11,"436,380",1.60,"414,407",2.80,94.96,-,"7,962,286",6.55,"10,508,872",3.43,14,100.00,"1,058",243.51,"40,489",167.70,"3,454,889",18.59,"7,053,983",-2.66
2009M12,"436,453",1.88,"405,744",0.93,92.96,-,"8,003,347",6.50,"10,584,361",3.96,17,54.55,205,-12.02,"11,302",-4.28,"3,466,192",18.49,"7,118,169",-1.90
2010M01,"439,019",2.30,"416,509",2.91,94.87,-,"8,045,279",6.48,"10,595,002",3.78,13,30.00,181,-86.88,"13,511",-95.23,"3,479,703",8.46,"7,115,299",1.63
