期間,總計-人數- 計(人)_原始值,總計-人數- 計(人)_年增率(%),總計-人數- 男(人)_原始值,總計-人數- 男(人)_年增率(%),總計-人數- 女(人)_原始值,總計-人數- 女(人)_年增率(%),總計-金額(元)_原始值,總計-金額(元)_年增率(%),低收入戶-1款(省)、0類(北)、 1類(高)-人數(人)_原始值,低收入戶-1款(省)、0類(北)、 1類(高)-人數(人)_年增率(%),低收入戶-1款(省)、0類(北)、 1類(高)-金額(元)_原始值,低收入戶-1款(省)、0類(北)、 1類(高)-金額(元)_年增率(%),低收入戶-2款(省) 、1、2類(北)、2類(高)-人數(人)_原始值,低收入戶-2款(省) 、1、2類(北)、2類(高)-人數(人)_年增率(%),低收入戶-2款(省) 、1、2類(北)、2類(高)-金額(元)_原始值,低收入戶-2款(省) 、1、2類(北)、2類(高)-金額(元)_年增率(%),低收入戶-3款(省) 、3、4類(北)、3類(高)-人數(人)_原始值,低收入戶-3款(省) 、3、4類(北)、3類(高)-人數(人)_年增率(%),低收入戶-3款(省) 、3、4類(北)、3類(高)-金額(元)_原始值,低收入戶-3款(省) 、3、4類(北)、3類(高)-金額(元)_年增率(%),非低收入戶(未超過最低生活費標準2.5倍者)-未超過最低生活費標準1.5倍者-人數(人)_原始值,非低收入戶(未超過最低生活費標準2.5倍者)-未超過最低生活費標準1.5倍者-人數(人)_年增率(%),非低收入戶(未超過最低生活費標準2.5倍者)-未超過最低生活費標準1.5倍者-金額(元)_原始值,非低收入戶(未超過最低生活費標準2.5倍者)-未超過最低生活費標準1.5倍者-金額(元)_年增率(%),非低收入戶(未超過最低生活費標準2.5倍者)-最低生活費標準1.5倍以上者-人數(人)_原始值,非低收入戶(未超過最低生活費標準2.5倍者)-最低生活費標準1.5倍以上者-人數(人)_年增率(%),非低收入戶(未超過最低生活費標準2.5倍者)-最低生活費標準1.5倍以上者-金額(元)_原始值,非低收入戶(未超過最低生活費標準2.5倍者)-最低生活費標準1.5倍以上者-金額(元)_年增率(%)
2011M01,"114,707",-0.87,"53,276",-1.23,"61,431",-0.55,"610,745,353",-0.31,"1,856",-2.78,"10,918,568",-4.65,"4,780",0.55,"28,651,358",0.67,"6,174",3.42,"36,813,287",3.69,"78,096",-0.21,"464,889,610",0.00,"23,801",-4.10,"69,472,530",-4.01
2011M02,"118,340",-0.91,"54,518",-1.95,"63,822",0.00,"636,101,262",0.06,"1,892",-1.46,"11,115,098",-2.98,"4,942",1.52,"29,620,333",0.97,"6,493",2.82,"38,982,313",2.89,"80,627",0.03,"483,958,130",0.64,"24,386",-5.19,"72,425,388",-4.86
2011M03,"118,665",-1.88,"54,589",-2.52,"64,076",-1.32,"635,171,445",-0.78,"1,905",-1.14,"11,170,098",-2.52,"4,934",2.20,"29,599,183",2.12,"6,628",2.90,"39,662,232",3.16,"81,154",-0.23,"484,300,466",0.05,"24,044",-8.93,"70,439,466",-8.74
2011M04,"118,818",-0.43,"54,579",-1.50,"64,239",0.49,"635,151,105",0.15,"1,877",-2.80,"10,981,698",-3.54,"4,921",2.16,"29,572,465",2.57,"6,629",3.46,"39,626,296",3.44,"81,369",0.10,"484,780,736",0.37,"24,022",-3.49,"70,189,910",-3.44
2011M05,"118,625",-0.50,"54,484",-1.68,"64,141",0.52,"633,355,765",-0.11,"1,880",-1.47,"11,022,228",-1.89,"4,909",1.59,"29,350,696",1.47,"6,628",2.62,"39,418,851",2.20,"81,363",0.11,"484,033,346",0.19,"23,845",-3.66,"69,530,644",-3.72
2011M06,"118,594",-0.71,"54,434",-1.73,"64,160",0.17,"633,437,942",-0.28,"1,862",-2.87,"10,863,398",-4.03,"4,933",2.11,"29,640,883",2.40,"6,695",2.78,"39,816,895",2.36,"81,271",-0.17,"483,605,994",-0.04,"23,833",-3.79,"69,510,772",-3.80
2011M07,"118,750",-0.51,"54,585",-1.47,"64,165",0.31,"636,350,092",0.22,"1,850",-3.14,"10,813,648",-4.07,"4,951",2.27,"29,700,891",2.24,"6,685",2.81,"39,779,885",2.75,"81,728",0.35,"487,305,660",0.67,"23,536",-4.59,"68,750,008",-4.33
2011M08,"118,911",-0.41,"54,679",-1.22,"64,232",0.30,"636,642,597",0.23,"1,847",-2.69,"10,790,788",-3.38,"4,988",2.55,"29,960,266",2.99,"6,740",2.89,"40,088,177",2.90,"81,878",0.56,"487,348,268",0.69,"23,458",-4.89,"68,455,098",-4.82
2011M09,"119,182",-0.23,"54,808",-1.04,"64,374",0.48,"636,938,089",0.14,"1,841",-2.80,"10,707,058",-4.16,"5,043",3.89,"30,108,876",3.51,"6,831",3.80,"40,773,177",3.61,"81,984",0.66,"487,013,990",0.52,"23,483",-4.82,"68,334,988",-5.02
2011M10,"119,338",-0.17,"54,815",-1.07,"64,523",0.60,"638,438,921",0.49,"1,827",-3.79,"10,668,688",-4.40,"5,087",4.67,"30,481,146",4.74,"6,878",3.77,"40,818,651",5.41,"82,054",0.69,"488,061,250",0.77,"23,492",-4.78,"68,409,186",-5.01
