期間,本國銀行_原始值,本國銀行_年增率(%),本國銀行_原始值,本國銀行_年增率(%),外國銀行在台分行_原始值,外國銀行在台分行_年增率(%),外國銀行在台分行_原始值,外國銀行在台分行_年增率(%),信託投資公司_原始值,信託投資公司_年增率(%),信託投資公司_原始值,信託投資公司_年增率(%),票券金融公司_原始值,票券金融公司_年增率(%),票券金融公司_原始值,票券金融公司_年增率(%),中華郵政公司_原始值,中華郵政公司_年增率(%),中華郵政公司_原始值,中華郵政公司_年增率(%),信用合作社_原始值,信用合作社_年增率(%),信用合作社_原始值,信用合作社_年增率(%)
2010M01,"1,699,244",260.37,"1,216,962",102.61,"155,108",-49.67,"1,129,623",415.11,-,-,-,-,"145,083",32.77,"27,350",353.04,"514,965","4,579.37","140,465",89.75,-,-,-,-
2010M02,"1,539,659",109.96,"798,704",-28.52,"125,602",-72.70,"1,169,752",313.54,-,-,-,-,"106,680",-26.30,"11,707",40.74,"328,495",104.15,"120,273",33.01,-,-,-,-
2010M03,"1,748,127",434.57,"829,539",-21.47,"180,721",-49.02,"1,622,783",587.17,-,-,-,-,"153,975",0.59,"25,480",112.03,"454,635",-14.72,"59,656",-5.51,-,-,-,-
2010M04,"1,792,889",656.09,"1,199,827",36.30,"177,780",-34.82,"1,403,559",400.07,-,-,-,-,"151,699",4.06,"24,341",107.69,"553,105",6.00,"47,746",892.64,-,-,-,-
2010M05,"2,359,809",232.68,"2,085,985",139.10,"274,460",25.13,"1,238,182",181.90,-,-,-,-,"148,012",-5.46,"16,536",100.34,"635,446",157.28,"77,024",524.03,-,-,-,-
2010M06,"1,933,215",9.02,"1,608,067",7.98,"171,706",-21.45,"1,113,923",-10.31,-,-,-,-,"157,909",3.43,"18,249",5.98,"543,655",-15.07,"66,246",82.34,-,-,-,-
2010M07,"2,281,070",43.10,"1,787,885",13.79,"187,612",4.22,"1,440,800",29.34,-,-,-,-,"227,914",18.26,"24,110",55.77,"651,955",-13.43,"95,756",399.98,-,-,-,-
2010M08,"2,550,361",56.40,"2,136,569",52.91,"163,452",-26.20,"1,510,776",31.37,-,-,-,-,"186,249",19.65,"15,266",-50.26,"833,805",38.77,"71,256",132.57,-,-,-,-
2010M09,"1,854,190",16.34,"1,297,571",-1.18,"232,408",39.94,"1,529,826",45.61,-,-,-,-,"223,529",85.58,"9,155",-50.88,"585,855",6.08,"59,430",18.42,-,-,-,-
2010M10,"1,975,527",-6.38,"1,364,470",-1.94,"191,543",31.38,"1,474,080",-2.65,-,-,-,-,"212,134",37.93,"8,743",-50.02,"530,135",-18.97,"62,046",-55.93,-,-,-,-
2010M11,"2,034,050",9.04,"2,093,284",81.25,"235,670",84.84,"1,184,154",-14.14,-,-,-,-,"249,364",60.30,"13,225",-33.96,"823,625",36.41,"52,046",-73.73,-,-,-,-
2010M12,"2,113,086",-4.26,"1,905,336",37.34,"210,870",29.86,"1,209,087",-16.01,-,-,-,-,"178,182",-12.99,"16,585",-63.06,"694,845",40.50,"65,975",-66.52,-,-,-,-
