期間,遷入-合計_原始值,遷入-合計_年增率(%),遷入-自外國_原始值,遷入-自外國_年增率(%),遷入-新北市_原始值,遷入-新北市_年增率(%),遷入-臺北市_原始值,遷入-臺北市_年增率(%),遷入-臺中市_原始值,遷入-臺中市_年增率(%),遷入-臺南市_原始值,遷入-臺南市_年增率(%),遷入-高雄市_原始值,遷入-高雄市_年增率(%),遷入-臺灣省_原始值,遷入-臺灣省_年增率(%),遷入-福建省_原始值,遷入-福建省_年增率(%),遷入-其他省市_原始值,遷入-其他省市_年增率(%),遷入-自本省他縣市_原始值,遷入-自本省他縣市_年增率(%),遷入-自本縣市他鄉鎮市區_原始值,遷入-自本縣市他鄉鎮市區_年增率(%),遷入-初設戶籍_原始值,遷入-初設戶籍_年增率(%),遷入-其他_原始值,遷入-其他_年增率(%),遷出-合計_原始值,遷出-合計_年增率(%),遷出-往外國_原始值,遷出-往外國_年增率(%),遷出-新北市_原始值,遷出-新北市_年增率(%),遷出-臺北市_原始值,遷出-臺北市_年增率(%),遷出-臺中市_原始值,遷出-臺中市_年增率(%),遷出-臺南市_原始值,遷出-臺南市_年增率(%),遷出-高雄市_原始值,遷出-高雄市_年增率(%),遷出-臺灣省_原始值,遷出-臺灣省_年增率(%),遷出-福建省_原始值,遷出-福建省_年增率(%),遷出-其他省市_原始值,遷出-其他省市_年增率(%),遷出-自本省他縣市_原始值,遷出-自本省他縣市_年增率(%),遷出-自本縣市他鄉鎮市區_原始值,遷出-自本縣市他鄉鎮市區_年增率(%),遷出-廢止戶籍_原始值,遷出-廢止戶籍_年增率(%),遷出-其他_原始值,遷出-其他_年增率(%),鄉鎮區內住址變更人數 -遷入_原始值,鄉鎮區內住址變更人數 -遷入_年增率(%),鄉鎮區內住址變更人數 -遷出_原始值,鄉鎮區內住址變更人數 -遷出_年增率(%),淨遷入_原始值,淨遷入_年增率(%)
2011M01,"92,387",2.97,"3,704",16.66,"9,630",--,"6,306",-0.38,"3,273",--,"2,144",--,"3,082",-0.06,"11,165",36.49,262,10.55,0,--,"6,314",-77.26,"44,755",16.84,"1,745",-33.93,7,-41.67,"90,272",2.48,"3,301",-20.34,"8,814",--,"9,497",93.15,"3,541",--,"1,905",--,"2,977",-2.39,"8,542",-7.20,587,-10.38,0,--,"6,312",-77.26,"44,754",16.85,28,21.74,14,-60.00,"46,059",-6.13,"46,059",-6.13,"2,115",-
2011M02,"79,614",3.97,"2,979",-16.39,"7,635",--,"5,038",-10.16,"2,856",--,"1,795",--,"2,882",4.65,"9,742",37.52,305,17.31,2,100.00,"6,083",-74.14,"38,668",23.74,"1,623",-35.72,6,-40.00,"79,272",6.46,"4,216",8.69,"7,532",--,"7,083",62.90,"3,155",--,"1,865",--,"2,542",-4.04,"7,560",-7.98,510,2.62,0,--,"6,084",-74.13,"38,668",23.73,33,-45.90,24,-36.84,"39,144",3.07,"39,144",3.07,342,-
2011M03,"110,500",-3.44,"4,220",2.11,"10,764",--,"7,271",-11.88,"3,718",--,"2,445",--,"3,711",-6.00,"13,021",12.59,375,-8.54,2,0.00,"7,666",-77.72,"54,913",12.95,"2,385",-22.72,9,-10.00,"110,596",-2.12,"6,650",16.18,"10,305",--,"9,784",28.16,"4,405",--,"2,444",--,"3,510",-9.40,"10,297",-15.03,558,2.01,0,--,"7,662",-77.73,"54,913",12.97,39,-31.58,29,20.83,"58,736",-5.77,"58,736",-5.77,-96,-
2011M04,"93,260",-6.91,"3,895",5.18,"8,849",--,"6,434",-12.88,"3,129",--,"1,994",--,"3,162",-12.99,"11,553",11.74,263,-22.87,0,--,"6,641",-78.50,"45,654",11.86,"1,677",-45.20,9,-40.00,"90,600",-8.90,"2,879",-51.72,"9,261",--,"7,831",17.55,"3,668",--,"2,164",--,"2,999",-18.33,"8,769",-19.46,690,44.65,0,--,"6,643",-78.50,"45,654",11.84,19,-57.78,23,-4.17,"50,203",-4.00,"50,203",-4.00,"2,660",-
2011M05,"101,108",-5.74,"3,633",-4.47,"9,781",--,"7,103",-15.41,"3,419",--,"2,272",--,"3,488",-7.41,"12,435",-0.17,272,-19.76,0,--,"7,336",-78.47,"49,324",18.23,"2,040",-24.67,5,-28.57,"100,202",-5.60,"4,701",-12.20,"10,057",--,"8,941",-1.23,"3,956",--,"2,396",--,"3,231",-8.44,"9,355",-22.05,834,121.81,0,--,"7,333",-78.47,"49,320",18.22,59,47.50,19,111.11,"52,332",-3.24,"52,332",-3.24,906,-
2011M06,"102,846",-21.64,"3,858",-0.10,"9,913",--,"7,131",-29.61,"3,429",--,"2,162",--,"3,771",-8.85,"12,862",7.68,335,-12.30,2,100.00,"7,228",-86.87,"49,405",12.30,"2,737",56.13,13,30.00,"100,665",-22.33,"4,368",10.89,"10,120",--,"8,803",4.33,"4,207",--,"3,308",--,"3,021",-17.21,"9,446",-33.08,696,77.10,0,--,"7,230",-86.86,"49,407",12.32,42,100.00,17,13.33,"50,610",-9.46,"50,610",-9.46,"2,181",-
2011M07,"102,084",-16.45,"4,437",-1.49,"9,645",--,"7,576",-5.58,"3,466",--,"2,119",--,"3,761",-0.90,"12,433",-12.40,309,-12.96,0,-100.00,"7,560",-82.36,"48,427",7.98,"2,340",-31.80,11,-93.60,"99,229",-16.27,"3,885",-7.70,"10,109",--,"8,267",-16.04,"4,095",--,"2,656",--,"3,314",-24.95,"10,087",-12.86,779,47.54,0,--,"7,558",-82.37,"48,425",7.96,41,10.81,13,-93.16,"50,473",-14.38,"50,473",-14.38,"2,855",-
2011M08,"111,602",-2.90,"3,626",-2.19,"10,344",--,"8,359",3.48,"4,094",--,"2,441",--,"3,962",2.43,"13,557",10.46,308,-12.00,0,-100.00,"8,675",-77.31,"53,890",18.18,"2,333",-17.27,13,62.50,"110,552",-2.98,"4,811",-12.56,"11,115",--,"8,599",6.50,"4,622",--,"2,467",--,"3,900",-5.32,"11,249",-3.65,"1,107",58.14,0,--,"8,675",-77.30,"53,890",18.20,84,121.05,33,26.92,"54,894",-4.33,"54,894",-4.33,"1,050",-
2011M09,"106,912",4.68,"3,164",-1.46,"10,036",--,"8,031",13.90,"3,549",--,"2,301",--,"3,591",13.00,"12,457",-10.66,293,5.02,2,--,"7,494",-74.55,"53,503",24.04,"2,477",31.83,14,16.67,"108,946",5.79,"7,622",29.65,"10,285",--,"8,694",-19.31,"3,878",--,"2,563",--,"3,546",11.30,"10,077",1.51,"1,220",117.08,0,--,"7,493",-74.56,"53,501",24.02,41,7.89,26,0.00,"58,087",4.35,"58,087",4.35,"-2,034",-
2011M10,"81,191",5.46,"4,018",13.99,"7,553",--,"4,836",17.24,"2,966",--,"1,850",--,"2,855",13.20,"9,727",0.74,225,-2.17,1,--,"6,110",-74.00,"39,333",27.90,"1,702",-36.25,15,66.67,"79,088",6.63,"3,572",7.14,"7,102",--,"6,517",-7.01,"3,256",--,"1,802",--,"2,638",7.28,"7,731",21.04,963,42.04,0,--,"6,110",-73.99,"39,333",27.91,42,0.00,22,15.79,"40,383",0.08,"40,383",0.08,"2,103",-
