期間,總計-人數- 計(人)_原始值,總計-人數- 計(人)_年增率(%),總計-人數- 男(人)_原始值,總計-人數- 男(人)_年增率(%),總計-人數- 女(人)_原始值,總計-人數- 女(人)_年增率(%),總計-金額(元)_原始值,總計-金額(元)_年增率(%),低收入戶-1款(省)、0類(北)、 1類(高)-人數(人)_原始值,低收入戶-1款(省)、0類(北)、 1類(高)-人數(人)_年增率(%),低收入戶-1款(省)、0類(北)、 1類(高)-金額(元)_原始值,低收入戶-1款(省)、0類(北)、 1類(高)-金額(元)_年增率(%),低收入戶-2款(省) 、1、2類(北)、2類(高)-人數(人)_原始值,低收入戶-2款(省) 、1、2類(北)、2類(高)-人數(人)_年增率(%),低收入戶-2款(省) 、1、2類(北)、2類(高)-金額(元)_原始值,低收入戶-2款(省) 、1、2類(北)、2類(高)-金額(元)_年增率(%),低收入戶-3款(省) 、3、4類(北)、3類(高)-人數(人)_原始值,低收入戶-3款(省) 、3、4類(北)、3類(高)-人數(人)_年增率(%),低收入戶-3款(省) 、3、4類(北)、3類(高)-金額(元)_原始值,低收入戶-3款(省) 、3、4類(北)、3類(高)-金額(元)_年增率(%),非低收入戶(未超過最低生活費標準2.5倍者)-未超過最低生活費標準1.5倍者-人數(人)_原始值,非低收入戶(未超過最低生活費標準2.5倍者)-未超過最低生活費標準1.5倍者-人數(人)_年增率(%),非低收入戶(未超過最低生活費標準2.5倍者)-未超過最低生活費標準1.5倍者-金額(元)_原始值,非低收入戶(未超過最低生活費標準2.5倍者)-未超過最低生活費標準1.5倍者-金額(元)_年增率(%),非低收入戶(未超過最低生活費標準2.5倍者)-最低生活費標準1.5倍以上者-人數(人)_原始值,非低收入戶(未超過最低生活費標準2.5倍者)-最低生活費標準1.5倍以上者-人數(人)_年增率(%),非低收入戶(未超過最低生活費標準2.5倍者)-最低生活費標準1.5倍以上者-金額(元)_原始值,非低收入戶(未超過最低生活費標準2.5倍者)-最低生活費標準1.5倍以上者-金額(元)_年增率(%)
2001M01,"171,312",...,...,...,...,...,"786,527,876",...,"3,577",...,"21,523,882",...,"8,455",...,"49,973,823",...,"6,027",...,"36,035,525",...,"84,336",...,"473,173,851",...,"68,917",...,"205,820,795",...
2001M02,"172,037",...,...,...,...,...,"791,853,536",...,"3,573",...,"21,416,810",...,"8,432",...,"49,823,387",...,"6,128",...,"36,611,369",...,"83,808",...,"474,377,739",...,"70,096",...,"209,624,231",...
2001M03,"174,042",...,...,...,...,...,"811,383,685",...,"3,648",...,"21,981,799",...,"8,672",...,"51,960,859",...,"6,228",...,"37,727,369",...,"85,542",...,"489,735,499",...,"69,952",...,"209,978,159",...
2001M04,"177,189",...,...,...,...,...,"823,509,411",...,"3,069",...,"18,458,430",...,"8,503",...,"50,856,248",...,"7,253",...,"43,297,873",...,"84,930",...,"494,822,829",...,"73,434",...,"216,074,031",...
2001M05,"178,304",...,...,...,...,...,"830,473,437",...,"2,951",...,"17,838,740",...,"8,362",...,"50,078,291",...,"7,249",...,"43,397,320",...,"85,361",...,"498,942,117",...,"74,381",...,"220,216,969",...
2001M06,"174,220",...,...,...,...,...,"806,951,988",...,"2,981",...,"17,958,340",...,"8,384",...,"50,147,686",...,"7,360",...,"43,897,864",...,"81,168",...,"476,034,181",...,"74,327",...,"218,913,917",...
2001M07,"176,497",...,...,...,...,...,"820,379,597",...,"2,954",...,"17,813,760",...,"8,453",...,"50,492,767",...,"7,419",...,"44,259,784",...,"82,018",...,"482,973,185",...,"75,653",...,"224,840,101",...
2001M08,"178,665",...,...,...,...,...,"832,915,453",...,"2,955",...,"17,818,200",...,"8,471",...,"50,679,727",...,"7,512",...,"44,799,824",...,"83,128",...,"491,931,146",...,"76,599",...,"227,686,556",...
2001M09,"178,459",...,...,...,...,...,"826,469,087",...,"2,938",...,"17,714,970",...,"8,315",...,"49,716,320",...,"7,392",...,"43,965,344",...,"83,456",...,"488,704,285",...,"76,358",...,"226,368,168",...
2001M10,"179,184",...,...,...,...,...,"828,348,622",...,"2,929",...,"17,610,540",...,"8,338",...,"49,728,660",...,"7,505",...,"44,622,704",...,"83,704",...,"489,192,475",...,"76,708",...,"227,194,243",...
