期間,景氣對策信號(分數)(分)_原始值,景氣對策信號(分數)(分)_年增率(%),貨幣總計數 M1B(十億元)_原始值,貨幣總計數 M1B(十億元)_年增率(%),股價指數(Index 1966=100)_原始值,股價指數(Index 1966=100)_年增率(%),工業生產指數(Index 2011=100)_原始值,工業生產指數(Index 2011=100)_年增率(%),製造業銷售量指數(Index 2011=100)_原始值,製造業銷售量指數(Index 2011=100)_年增率(%),非農業部門就業人數(千人)_原始值,非農業部門就業人數(千人)_年增率(%),海關出口值(十億元)_原始值,海關出口值(十億元)_年增率(%),機械及電機設備進口值(十億元)_原始值,機械及電機設備進口值(十億元)_年增率(%),商業營業額(十億元)_原始值,商業營業額(十億元)_年增率(%)
1973M08,...,-,...,...,386,139.75,10.28,5.76,...,...,...,...,15.4,37.60,...,...,...,...
1973M09,...,-,...,...,407,154.38,9.94,13.47,...,...,...,...,18.4,60.24,...,...,...,...
1973M10,...,-,...,...,433,150.29,10.26,14.38,...,...,...,...,15.0,25.52,...,...,...,...
1973M11,...,-,...,...,475,144.85,10.22,17.74,...,...,...,...,19.4,81.18,...,...,...,...
1973M12,...,-,...,...,504,134.42,11.09,14.21,...,...,...,...,17.2,30.15,...,...,...,...
1974M01,...,-,...,...,482,103.38,9.88,-1.00,...,...,...,...,17.0,52.42,...,...,...,...
1974M02,...,-,...,...,438,67.18,9.93,16.00,...,...,...,...,18.2,90.58,...,...,...,...
1974M03,...,-,...,...,421,43.20,10.40,0.87,...,...,...,...,19.0,61.21,...,...,...,...
1974M04,...,-,...,...,427,24.13,10.21,6.02,...,...,...,...,18.2,45.72,...,...,...,...
1974M05,...,-,...,...,379,13.81,10.32,1.88,...,...,...,...,17.0,38.26,...,...,...,...
1974M06,...,-,...,...,368,-4.42,9.85,-3.43,...,...,...,...,19.4,51.56,...,...,...,...
1974M07,...,-,...,...,381,-5.22,9.86,-4.09,...,...,...,...,20.5,26.31,...,...,...,...
1974M08,...,-,...,...,337,-12.69,9.76,-5.06,...,...,...,...,19.0,23.29,...,...,...,...
1974M09,...,-,...,...,293,-28.01,8.74,-12.07,...,...,...,...,16.0,-12.79,...,...,...,...
1974M10,...,-,...,...,256,-40.88,8.82,-14.04,...,...,...,...,16.2,7.93,...,...,...,...
1974M11,...,-,...,...,209,-56.00,8.49,-16.93,...,...,...,...,15.1,-21.96,...,...,...,...
1974M12,...,-,...,...,203,-59.72,9.23,-16.77,...,...,...,...,19.9,15.66,...,...,...,...
1975M01,...,-,...,...,220,-54.36,9.52,-3.64,...,...,...,...,15.5,-8.98,...,...,...,...
1975M02,...,-,...,...,267,-39.04,7.70,-22.46,...,...,...,...,12.8,-29.95,...,...,...,...
1975M03,...,-,...,...,262,-37.77,9.83,-5.48,...,...,...,...,17.0,-10.32,...,...,...,...
1975M04,...,-,...,...,266,-37.70,10.04,-1.67,...,...,...,...,14.4,-20.99,...,...,...,...
1975M05,...,-,...,...,317,-16.36,10.59,2.62,...,...,...,...,16.4,-3.41,...,...,...,...
1975M06,...,-,...,...,388,5.43,10.63,7.92,...,...,...,...,16.9,-12.75,...,...,...,...
1975M07,...,-,...,...,361,-5.25,11.01,11.66,...,...,...,...,17.3,-15.55,...,...,...,...
1975M08,...,-,...,...,380,12.76,11.13,14.04,...,...,...,...,17.0,-10.50,...,...,...,...
1975M09,...,-,...,...,370,26.28,10.87,24.37,...,...,...,...,16.4,2.37,...,...,...,...
1975M10,...,-,...,...,347,35.55,11.14,26.30,...,...,...,...,18.0,11.37,...,...,...,...
1975M11,...,-,...,...,323,54.55,11.29,32.98,...,...,...,...,18.7,24.04,...,...,...,...
1975M12,...,-,...,...,309,52.22,12.63,36.84,...,...,...,...,22.8,14.59,...,...,...,...
1976M01,...,-,...,...,362,64.55,12.24,28.57,...,...,...,...,20.1,29.66,...,...,...,...
1976M02,...,-,...,...,373,39.70,10.64,38.18,...,...,...,...,25.2,97.41,...,...,...,...
1976M03,...,-,...,...,392,49.62,13.00,32.25,...,...,...,...,21.4,25.54,...,...,...,...
1976M04,...,-,...,...,400,50.38,13.11,30.58,...,...,...,...,24.4,69.33,...,...,...,...
1976M05,...,-,...,...,369,16.40,12.95,22.29,...,...,...,...,23.4,42.58,...,...,...,...
1976M06,...,-,...,...,370,-4.64,13.22,24.37,...,...,...,...,24.8,46.80,...,...,...,...
1976M07,...,-,...,...,328,-9.14,13.29,20.71,...,...,...,...,31.1,79.85,...,...,...,...
1976M08,...,-,...,...,318,-16.32,12.96,16.44,...,...,...,...,27.9,64.50,...,...,...,...
1976M09,...,-,...,...,307,-17.03,13.04,19.96,...,...,...,...,27.1,65.33,...,...,...,...
1976M10,...,-,...,...,276,-20.46,13.15,18.04,...,...,...,...,25.5,41.38,...,...,...,...
1976M11,...,-,...,...,297,-8.05,13.29,17.71,...,...,...,...,27.0,43.89,...,...,...,...
1976M12,...,-,...,...,324,4.85,14.97,18.53,...,...,...,...,34.1,49.71,...,...,...,...
1977M01,...,-,...,...,383,5.80,14.22,16.18,...,...,...,...,23.9,19.05,...,...,...,...
1977M02,...,-,...,...,365,-2.14,11.74,10.34,...,...,...,...,22.8,-9.54,...,...,...,...
1977M03,...,-,...,...,333,-15.05,14.69,13.00,...,...,...,...,24.4,14.22,...,...,...,...
1977M04,...,-,...,...,323,-19.25,15.02,14.57,...,...,...,...,25.9,6.45,...,...,...,...
1977M05,...,-,...,...,331,-10.30,14.97,15.60,...,...,...,...,30.9,31.83,...,...,...,...
1977M06,...,-,...,...,339,-8.38,14.85,12.33,...,...,...,...,31.3,26.08,...,...,...,...
1977M07,...,-,...,...,330,0.61,14.16,6.55,...,...,...,...,33.5,7.89,...,...,...,...
1977M08,...,-,...,...,339,6.60,14.42,11.27,...,...,...,...,31.6,13.19,...,...,...,...
1977M09,...,-,...,...,375,22.15,14.96,14.72,...,...,...,...,28.6,5.27,...,...,...,...
1977M10,...,-,...,...,393,42.39,15.10,14.83,...,...,...,...,30.9,21.22,...,...,...,...
1977M11,...,-,...,...,408,37.37,15.24,14.67,...,...,...,...,34.0,26.31,...,...,...,...
1977M12,...,-,...,...,430,32.72,17.28,15.43,...,...,...,...,39.2,14.87,...,...,...,...
1978M01,...,-,...,...,471,22.98,17.21,21.03,...,...,"4,590",...,31.7,32.46,...,...,...,...
1978M02,...,-,...,...,487,33.42,13.90,18.40,...,...,"4,526",...,26.5,16.25,...,...,...,...
1978M03,...,-,...,...,473,42.04,16.96,15.45,...,...,"4,496",...,32.7,33.74,...,...,...,...
1978M04,...,-,...,...,477,47.68,17.18,14.38,...,...,"4,565",...,38.0,46.45,...,...,...,...
1978M05,...,-,...,...,539,62.84,18.00,20.24,...,...,"4,637",...,44.4,43.53,...,...,...,...
1978M06,...,-,...,...,533,57.23,18.34,23.50,...,...,"4,632",...,40.3,28.71,...,...,...,...
1978M07,...,-,...,...,574,73.94,18.92,33.62,...,...,"4,699",...,45.8,36.59,...,...,...,...
1978M08,...,-,...,...,601,77.29,19.60,35.92,...,...,"4,848",...,43.9,38.95,...,...,...,...
1978M09,...,-,...,...,660,76.00,18.84,25.94,...,...,"4,786",...,39.6,38.59,...,...,...,...
1978M10,...,-,...,...,673,71.25,18.20,20.53,...,...,"4,780",...,40.5,31.00,...,...,...,...
1978M11,...,-,...,...,589,44.36,19.17,25.79,...,...,"4,755",...,42.2,24.09,...,...,...,...
1978M12,...,-,...,...,572,33.02,20.11,16.38,...,...,"4,829",...,45.7,16.62,...,...,...,...
1979M01,...,-,...,...,527,11.89,17.84,3.66,...,...,"5,017",9.30,38.4,21.19,...,...,...,...
1979M02,...,-,...,...,534,9.65,16.17,16.33,...,...,"4,999",10.45,40.8,54.29,...,...,...,...
1979M03,...,-,...,...,556,17.55,18.82,10.97,...,...,"4,924",9.52,41.7,27.65,...,...,...,...
1979M04,...,-,...,...,637,33.54,18.80,9.43,...,...,"4,984",9.18,45.3,19.31,...,...,...,...
1979M05,...,-,...,...,603,11.87,19.97,10.94,...,...,"4,980",7.40,44.1,-0.61,...,...,...,...
1979M06,...,-,...,...,575,7.88,19.67,7.25,...,...,"5,016",8.29,51.2,27.20,...,...,...,...
1979M07,...,-,...,...,539,-6.10,19.75,4.39,...,...,"5,083",8.17,54.7,19.55,...,...,...,...
1979M08,...,-,...,...,573,-4.66,19.79,0.97,...,...,"5,131",5.84,53.6,22.17,...,...,...,...
1979M09,...,-,...,...,577,-12.58,19.25,2.18,...,...,"5,141",7.42,55.0,38.83,...,...,...,...
1979M10,...,-,...,...,555,-17.53,19.18,5.38,...,...,"5,154",7.82,53.3,31.57,...,...,...,...
1979M11,...,-,...,...,523,-11.21,19.66,2.56,...,...,"5,070",6.62,50.1,18.61,...,...,...,...
1979M12,...,-,...,...,527,-7.87,21.34,6.12,...,...,"5,115",5.92,53.5,17.04,...,...,...,...
1980M01,...,-,...,...,552,4.74,20.61,15.53,...,...,"5,306",5.76,57.7,50.07,...,...,...,...
1980M02,...,-,...,...,555,3.93,17.38,7.48,...,...,"5,230",4.62,50.9,24.71,...,...,...,...
1980M03,...,-,...,...,558,0.36,20.03,6.43,...,...,"5,124",4.06,54.0,29.53,...,...,...,...
1980M04,...,-,...,...,520,-18.37,20.18,7.34,...,...,"5,161",3.55,56.0,23.65,...,...,...,...
1980M05,...,-,...,...,510,-15.42,21.08,5.56,...,...,"5,219",4.80,58.4,32.37,...,...,...,...
1980M06,...,-,...,...,505,-12.17,20.96,6.56,...,...,"5,244",4.55,60.7,18.47,...,...,...,...
1980M07,...,-,...,...,513,-4.82,21.24,7.54,...,...,"5,309",4.45,60.3,10.18,...,...,...,...
1980M08,...,-,...,...,561,-2.09,21.25,7.38,...,...,"5,393",5.11,61.0,13.84,...,...,...,...
1980M09,...,-,...,...,574,-0.52,20.14,4.62,...,...,"5,323",3.54,66.4,20.75,...,...,...,...
1980M10,...,-,...,...,584,5.23,20.65,7.66,...,...,"5,296",2.76,60.3,13.29,...,...,...,...
1980M11,...,-,...,...,575,9.94,20.17,2.59,...,...,"5,271",3.96,61.7,23.09,...,...,...,...
1980M12,...,-,...,...,557,5.69,22.33,4.64,...,...,"5,373",5.04,67.3,25.99,...,...,...,...
1981M01,...,-,...,...,551,-0.18,21.40,3.83,...,...,"5,432",2.37,59.9,3.79,...,...,...,...
1981M02,...,-,...,...,581,4.68,17.06,-1.84,...,...,"5,260",0.57,50.6,-0.69,...,...,...,...
1981M03,...,-,...,...,555,-0.54,21.17,5.69,...,...,"5,269",2.83,65.2,20.75,...,...,...,...
1981M04,...,-,...,...,547,5.19,21.44,6.24,...,...,"5,297",2.64,69.0,23.14,...,...,...,...
1981M05,...,-,...,...,565,10.78,21.67,2.80,...,...,"5,351",2.53,75.7,29.71,...,...,...,...
1981M06,...,-,...,...,583,15.45,21.58,2.96,...,...,"5,393",2.84,71.4,17.65,...,...,...,...
1981M07,...,-,...,...,562,9.55,21.88,3.01,...,...,"5,511",3.80,72.9,20.96,...,...,...,...
1981M08,...,-,...,...,537,-4.28,21.95,3.29,...,...,"5,517",2.30,83.4,36.61,...,...,...,...
1981M09,...,-,...,...,526,-8.36,20.95,4.02,...,...,"5,445",2.29,69.2,4.24,...,...,...,...
1981M10,...,-,...,...,516,-11.64,21.09,2.13,...,...,"5,481",3.49,73.8,22.27,...,...,...,...
1981M11,...,-,...,...,519,-9.74,20.28,0.55,...,...,"5,467",3.72,69.4,12.55,...,...,...,...
1981M12,...,-,...,...,543,-2.51,24.14,8.11,...,...,"5,561",3.50,72.2,7.22,...,...,...,...
1982M01,...,-,466,...,537,-2.54,18.62,-12.99,17.05,...,"5,604",3.17,65.6,9.53,...,...,...,...
1982M02,...,-,451,...,528,-9.12,19.77,15.89,17.80,...,"5,494",4.45,58.0,14.66,...,...,...,...
1982M03,...,-,437,...,497,-10.45,21.97,3.78,20.26,...,"5,445",3.34,70.6,8.29,...,...,...,...
1982M04,...,-,432,...,482,-11.88,21.13,-1.45,19.84,...,"5,454",2.96,71.8,4.14,...,...,...,...
1982M05,...,-,436,...,474,-16.11,21.55,-0.55,20.21,...,"5,479",2.39,76.0,0.46,...,...,...,...
1982M06,...,-,445,...,459,-21.27,21.09,-2.27,19.47,...,"5,456",1.17,72.6,1.76,...,...,...,...
1982M07,...,-,462,...,458,-18.51,21.55,-1.51,19.85,...,"5,448",-1.14,78.7,7.91,...,...,...,...
1982M08,...,-,466,...,437,-18.62,20.77,-5.38,19.23,...,"5,537",0.36,78.7,-5.58,...,...,...,...
1982M09,...,-,468,...,465,-11.60,21.22,1.29,19.69,...,"5,555",2.02,72.3,4.48,...,...,...,...
1982M10,...,-,475,...,472,-8.53,20.86,-1.09,19.15,...,"5,587",1.93,69.3,-6.09,...,...,...,...
1982M11,...,-,477,...,473,-8.86,20.56,1.38,19.01,...,"5,603",2.49,71.2,2.54,...,...,...,...
1982M12,...,-,483,...,444,-18.23,23.33,-3.36,23.04,...,"5,656",1.71,83.1,15.06,...,...,...,...
1983M01,...,-,502,7.73,448,-16.57,22.45,20.57,20.63,21.00,"5,775",3.05,66.6,1.64,...,...,...,...
1983M02,...,-,545,20.84,465,-11.93,17.99,-9.00,16.78,-5.73,"5,578",1.53,62.7,8.09,...,...,...,...
1983M03,...,-,520,18.99,559,12.47,22.99,4.64,21.63,6.76,"5,590",2.66,71.4,1.08,...,...,...,...
1983M04,...,-,519,20.14,675,40.04,22.83,8.05,22.05,11.14,"5,607",2.81,83.6,16.42,...,...,...,...
1983M05,...,-,529,21.33,678,43.04,23.87,10.77,22.69,12.27,"5,670",3.49,86.0,13.06,...,...,...,...
1983M06,...,-,539,21.12,695,51.42,24.38,15.60,22.69,16.54,"5,717",4.78,88.8,22.28,...,...,...,...
1983M07,...,-,558,20.78,744,62.45,25.00,16.01,22.89,15.31,"5,719",4.97,93.2,18.37,...,...,...,...
1983M08,...,-,553,18.67,709,62.24,25.07,20.70,23.36,21.48,"5,793",4.62,96.4,22.48,...,...,...,...
1983M09,...,-,561,19.87,729,56.77,24.48,15.36,22.84,16.00,"5,794",4.30,86.8,20.18,...,...,...,...
1983M10,...,-,562,18.32,710,50.42,24.46,17.26,22.40,16.97,"5,856",4.81,85.9,23.98,...,...,...,...
1983M11,...,-,563,18.03,712,50.53,24.68,20.04,23.66,24.46,"5,952",6.23,94.7,33.11,...,...,...,...
1983M12,...,-,575,19.05,727,63.74,26.19,12.26,24.53,6.47,"5,980",5.73,92.7,11.55,...,...,...,...
1984M01,42,-,615,22.51,793,77.01,27.24,21.34,25.24,22.35,"6,087",5.40,94.9,42.44,...,...,...,...
1984M02,39,-,628,15.23,864,85.81,21.51,19.57,19.44,15.85,"5,994",7.46,76.5,22.07,...,...,...,...
1984M03,37,-,602,15.77,882,57.78,26.84,16.75,25.61,18.40,"5,948",6.40,99.2,38.98,...,...,...,...
1984M04,34,-,597,15.03,900,33.33,26.12,14.41,25.20,14.29,"5,898",5.19,103.6,23.90,...,...,...,...
1984M05,37,-,603,13.99,932,37.46,27.95,17.09,26.38,16.26,"5,962",5.15,114.2,32.80,...,...,...,...
1984M06,30,-,617,14.47,900,29.50,27.11,11.20,25.57,12.69,"5,999",4.93,107.8,21.31,...,...,...,...
1984M07,30,-,625,12.01,890,19.62,28.21,12.84,25.59,11.80,"5,995",4.83,115.7,24.22,...,...,...,...
1984M08,27,-,626,13.20,908,28.07,27.94,11.45,25.71,10.06,"6,016",3.85,108.6,12.64,...,...,...,...
1984M09,25,-,632,12.66,878,20.44,25.53,4.29,23.91,4.68,"6,067",4.71,94.6,8.92,...,...,...,...
1984M10,28,-,628,11.74,858,20.85,25.87,5.76,24.13,7.72,"6,083",3.88,104.0,21.04,...,...,...,...
