期間,店頭市場契約-遠期契約_原始值,店頭市場契約-遠期契約_年增率(%),店頭市場契約-交換_原始值,店頭市場契約-交換_年增率(%),店頭市場契約-買入選擇權_原始值,店頭市場契約-買入選擇權_年增率(%),店頭市場契約-賣出選擇權_原始值,店頭市場契約-賣出選擇權_年增率(%),交易所契約-期貨-長部位_原始值,交易所契約-期貨-長部位_年增率(%),交易所契約-期貨-短部位_原始值,交易所契約-期貨-短部位_年增率(%),交易所契約-買入選擇權_原始值,交易所契約-買入選擇權_年增率(%),交易所契約-賣出選擇權_原始值,交易所契約-賣出選擇權_年增率(%),契約合計_原始值,契約合計_年增率(%)
2002Q1,0,-100.00,"3,017",-15.44,"17,462",-7.45,"17,462",-7.45,0,--,0,--,0,--,0,--,"37,941",-8.48
2002Q2,0,-100.00,"4,233",20.70,"18,637",-12.22,"18,637",-12.22,0,--,0,--,0,--,0,--,"41,507",-9.87
2002Q3,0,--,"8,647",35.64,"26,833",35.16,"26,833",35.15,0,--,0,--,0,--,0,--,"62,313",35.22
2002Q4,0,--,"9,967",164.94,"34,811",60.53,"34,811",60.53,0,--,0,--,0,--,0,--,"79,589",68.86
2003Q1,118,--,"5,610",85.95,"30,502",74.68,"30,502",74.68,0,--,0,--,0,--,0,--,"66,732",75.88
2003Q2,0,--,"3,287",-22.35,"27,524",47.68,"27,524",47.68,0,--,0,--,0,--,0,--,"58,335",40.54
2003Q3,0,--,"5,469",-36.75,"42,112",56.94,"42,112",56.94,0,--,0,--,0,--,0,--,"89,693",43.94
2003Q4,0,--,"4,451",-55.34,"46,294",32.99,"46,294",32.99,0,--,0,--,0,--,0,--,"97,039",21.93
2004Q1,0,-100.00,"4,030",-28.16,"50,261",64.78,"50,261",64.78,0,--,0,--,0,--,0,--,"104,552",56.67
2004Q2,0,--,"2,756",-16.15,"65,342",137.40,"65,342",137.40,0,--,0,--,0,--,0,--,"133,440",128.75
2004Q3,0,--,"2,480",-54.65,"70,173",66.63,"70,173",66.63,0,--,0,--,0,--,0,--,"142,826",59.24
2004Q4,0,--,"1,660",-62.71,"72,158",55.87,"72,158",55.87,0,--,0,--,0,--,0,--,"145,976",50.43
2005Q1,0,--,"1,065",-73.57,"81,345",61.85,"81,345",61.85,0,--,0,--,0,--,0,--,"163,755",56.63
2005Q2,0,--,"1,054",-61.76,"90,271",38.15,"90,271",38.15,0,--,0,--,0,--,0,--,"181,596",36.09
2005Q3,0,--,"1,107",-55.36,"85,502",21.84,"85,502",21.84,0,--,0,--,0,--,0,--,"172,111",20.50
2005Q4,0,--,"1,800",8.43,"91,882",27.33,"91,882",27.33,0,--,0,--,0,--,0,--,"185,564",27.12
