期間,美元即期匯率--銀行與顧客間交易匯率--買進(新台幣元)_原始值,美元即期匯率--銀行與顧客間交易匯率--買進(新台幣元)_年增率(%),美元即期匯率--銀行與顧客間交易匯率--賣出(新台幣元)_原始值,美元即期匯率--銀行與顧客間交易匯率--賣出(新台幣元)_年增率(%),美元即期匯率--銀行間收盤匯率(新台幣元)_原始值,美元即期匯率--銀行間收盤匯率(新台幣元)_年增率(%),美元即期匯率--銀行間收盤匯率--日平均(新台幣元)_原始值,美元即期匯率--銀行間收盤匯率--日平均(新台幣元)_年增率(%),遠期信用狀美金利率(年息)(年息百分比率)_原始值,遠期信用狀美金利率(年息)(年息百分比率)_年增率(%)
2001M05,33.90,-3.10,34.00,-3.09,33.965,-3.083,33.251,-0.998,7.60,...
2001M06,34.38,-1.40,34.48,-1.39,34.435,-1.365,34.271,-2.976,7.40,...
2001M07,34.69,-0.89,34.79,-0.89,34.759,-0.932,34.779,-1.461,7.40,...
2001M08,34.49,0.58,34.59,0.58,34.554,0.593,34.615,0.474,7.20,...
2001M09,34.48,0.03,34.58,0.03,34.549,0.014,34.587,0.081,6.80,...
2001M10,34.48,0.00,34.58,0.00,34.525,0.070,34.549,0.110,6.40,...
2001M11,34.41,0.20,34.51,0.20,34.466,0.171,34.496,0.154,6.00,...
2001M12,34.94,-1.52,35.04,-1.51,34.999,-1.523,34.695,-0.574,5.80,...
2002M01,34.91,0.09,35.01,0.09,34.980,0.054,35.022,-0.934,5.80,...
2002M02,35.07,-0.46,35.17,-0.45,35.112,-0.376,35.066,-0.125,5.80,...
2002M03,34.95,0.34,35.05,0.34,35.000,0.320,35.018,0.137,5.80,...
2002M04,34.67,0.81,34.77,0.81,34.717,0.815,34.913,0.301,5.80,...
2002M05,34.09,1.70,34.19,1.70,34.145,1.675,34.459,1.318,5.80,...
2002M06,33.50,1.76,33.60,1.76,33.558,1.749,33.988,1.386,5.80,...
2002M07,33.73,-0.68,33.83,-0.68,33.758,-0.592,33.404,1.748,5.80,...
2002M08,34.19,-1.35,34.29,-1.34,34.247,-1.428,33.979,-1.692,5.75,...
2002M09,34.89,-2.01,34.99,-2.00,34.918,-1.922,34.589,-1.764,5.75,...
2002M10,34.72,0.49,34.82,0.49,34.761,0.452,34.951,-1.036,5.75,...
2002M11,34.77,-0.14,34.87,-0.14,34.812,-0.147,34.710,0.694,5.30,...
2002M12,34.71,0.17,34.81,0.17,34.753,0.170,34.848,-0.396,5.30,...
2003M01,34.65,0.17,34.75,0.17,34.703,0.144,34.607,0.696,5.30,...
2003M02,34.70,-0.14,34.80,-0.14,34.746,-0.124,34.787,-0.517,5.30,...
2003M03,34.70,0.00,34.80,0.00,34.750,-0.012,34.723,0.184,5.30,...
2003M04,34.79,-0.26,34.89,-0.26,34.849,-0.284,34.824,-0.290,5.30,...
2003M05,34.66,0.38,34.76,0.37,34.712,0.395,34.716,0.311,5.30,...
2003M06,34.56,0.29,34.66,0.29,34.612,0.289,34.623,0.269,5.05,...
2003M07,34.36,0.58,34.46,0.58,34.417,0.567,34.416,0.601,5.05,...
2003M08,34.11,0.73,34.21,0.73,34.170,0.723,34.335,0.236,5.05,...
2003M09,33.71,1.19,33.81,1.18,33.780,1.155,33.996,0.997,5.05,...
2003M10,33.91,-0.59,34.01,-0.59,33.980,-0.589,33.896,0.295,5.05,...
2003M11,34.14,-0.67,34.24,-0.67,34.208,-0.667,34.050,-0.452,5.05,...
2003M12,33.92,0.65,34.02,0.65,33.978,0.677,34.058,-0.023,5.05,...
2004M01,33.33,1.77,33.43,1.76,33.390,1.761,33.687,1.101,5.05,...
2004M02,33.31,0.06,33.41,0.06,33.365,0.075,33.227,1.384,5.05,...
2004M03,32.96,1.06,33.06,1.06,33.020,1.045,33.306,-0.237,5.05,...
2004M04,33.31,-1.05,33.41,-1.05,33.369,-1.046,33.006,0.909,5.05,...
2004M05,33.34,-0.09,33.44,-0.09,33.389,-0.060,33.504,-1.486,5.05,...
2004M06,33.72,-1.13,33.82,-1.12,33.775,-1.143,33.643,-0.413,5.05,...
2004M07,34.14,-1.23,34.24,-1.23,34.136,-1.058,33.891,-0.732,5.30,...
2004M08,34.00,0.41,34.10,0.41,34.053,0.244,34.119,-0.668,5.55,...
2004M09,33.93,0.21,34.03,0.21,33.984,0.203,33.920,0.587,5.80,...
2004M10,33.37,1.68,33.47,1.67,33.435,1.642,33.808,0.331,5.80,...
2004M11,32.14,3.83,32.24,3.82,32.205,3.819,32.774,3.155,6.05,...
2004M12,31.68,1.45,31.78,1.45,31.917,0.902,32.226,1.700,6.30,...
2005M01,31.72,-0.13,31.82,-0.13,31.790,0.399,31.939,0.899,6.30,...
2005M02,31.13,1.90,31.23,1.89,31.175,1.973,31.516,1.342,6.55,...
2005M03,31.47,-1.08,31.57,-1.08,31.530,-1.126,31.164,1.130,6.80,...
2005M04,31.21,0.83,31.31,0.83,31.279,0.802,31.523,-1.139,6.80,...
2005M05,31.30,-0.29,31.40,-0.29,31.363,-0.268,31.303,0.703,7.05,...
2005M06,31.57,-0.86,31.67,-0.85,31.618,-0.807,31.371,-0.217,7.05,...
2005M07,31.88,-0.97,32.01,-1.06,31.996,-1.181,31.921,-1.723,7.30,...
2005M08,32.70,-2.51,32.80,-2.41,32.751,-2.305,32.111,-0.592,7.55,...
