期間,定期存款--合計_原始值,定期存款--合計_年增率(%),定期存款--合計_原始值,定期存款--合計_年增率(%),定期存款--民營企業_原始值,定期存款--民營企業_年增率(%),定期存款--民營企業_原始值,定期存款--民營企業_年增率(%),定期存款--個人~未滿6個月_原始值,定期存款--個人~未滿6個月_年增率(%),定期存款--個人~未滿6個月_原始值,定期存款--個人~未滿6個月_年增率(%),定期存款--其他_原始值,定期存款--其他_年增率(%),定期存款--其他_原始值,定期存款--其他_年增率(%),定期儲蓄存款--合計_原始值,定期儲蓄存款--合計_年增率(%),定期儲蓄存款--合計_原始值,定期儲蓄存款--合計_年增率(%),定期儲存存款--國軍同袍儲蓄會(一戶)_原始值,定期儲存存款--國軍同袍儲蓄會(一戶)_年增率(%),定期儲存存款--國軍同袍儲蓄會(一戶)_原始值,定期儲存存款--國軍同袍儲蓄會(一戶)_年增率(%),定期儲蓄存款--退休及退役人員存款_原始值,定期儲蓄存款--退休及退役人員存款_年增率(%),定期儲蓄存款--退休及退役人員存款_原始值,定期儲蓄存款--退休及退役人員存款_年增率(%),定期儲蓄存款--個人_原始值,定期儲蓄存款--個人_年增率(%),定期儲蓄存款--個人_原始值,定期儲蓄存款--個人_年增率(%),定期儲蓄存款--其他_原始值,定期儲蓄存款--其他_年增率(%),定期儲蓄存款--其他_原始值,定期儲蓄存款--其他_年增率(%)
2010M01,"2,329,054",-10.90,"4,696,405",-2.57,"359,175",22.74,"2,251,664",1.62,"1,808,076",-17.19,"1,203,914",-19.70,"161,803",17.28,"1,240,827",12.25,"9,785,879",-5.51,"7,214,247",-5.47,-,-,-,-,"406,178",1.13,"435,567",0.87,"9,159,932",-6.04,"5,348,448",-3.90,"219,769",6.81,"1,430,230",-12.49
2010M02,"2,360,978",-8.73,"4,786,225",-0.26,"365,253",25.00,"2,276,804",1.99,"1,830,160",-15.00,"1,214,458",-16.36,"165,565",17.03,"1,294,962",16.21,"9,784,376",-5.97,"7,212,246",-5.46,-,-,-,-,"407,215",1.19,"436,459",0.87,"9,157,024",-6.53,"5,342,798",-4.16,"220,137",6.83,"1,432,989",-11.62
2010M03,"2,373,653",-5.98,"4,888,990",2.65,"374,347",27.57,"2,327,785",3.17,"1,830,007",-12.40,"1,209,768",-13.67,"169,299",19.20,"1,351,439",22.29,"9,780,665",-5.65,"7,223,920",-5.00,-,-,-,-,"407,940",1.28,"436,894",0.92,"9,150,577",-6.21,"5,339,205",-5.55,"222,148",7.41,"1,447,820",-4.65
2010M04,"2,369,922",-4.41,"4,915,459",3.52,"380,582",27.06,"2,340,193",2.43,"1,814,867",-10.86,"1,207,946",-10.10,"174,473",21.39,"1,367,321",22.06,"9,764,925",-5.36,"7,225,042",-4.54,-,-,-,-,"407,813",1.34,"436,670",0.94,"9,132,897",-5.93,"5,326,710",-5.32,"224,215",8.61,"1,461,661",-3.21
2010M05,"2,344,770",-3.31,"4,983,012",6.35,"392,386",29.65,"2,370,727",4.87,"1,773,383",-10.28,"1,200,041",-6.57,"179,001",22.72,"1,412,246",23.82,"9,742,139",-5.10,"7,224,297",-4.10,-,-,-,-,"407,386",1.36,"436,295",0.94,"9,108,212",-5.68,"5,322,817",-4.82,"226,541",9.84,"1,465,181",-2.86
2010M06,"2,343,686",-1.86,"5,029,710",7.35,"407,738",31.32,"2,421,820",8.03,"1,754,076",-9.13,"1,196,278",-5.51,"181,872",23.40,"1,411,611",19.86,"9,724,057",-4.72,"7,240,286",-3.33,-,-,-,-,"407,712",1.46,"436,376",1.01,"9,086,937",-5.31,"5,322,526",-4.32,"229,408",10.70,"1,481,384",-0.93
2010M07,"2,358,034",-1.28,"5,019,410",6.97,"411,709",28.00,"2,371,162",4.88,"1,761,569",-8.11,"1,197,321",-4.00,"184,756",23.24,"1,450,925",22.51,"9,736,240",-4.16,"7,265,958",-2.60,-,-,-,-,"409,065",1.57,"437,538",1.12,"9,096,667",-4.69,"5,340,778",-3.46,"230,508",8.75,"1,487,641",-0.47
2010M08,"2,368,635",2.08,"4,941,702",7.94,"413,385",27.72,"2,298,293",7.31,"1,766,949",-4.26,"1,196,912",-3.01,"188,301",24.59,"1,446,497",20.30,"9,737,079",-2.94,"7,271,848",-2.02,-,-,-,-,"412,723",1.70,"440,312",1.11,"9,092,457",-3.44,"5,342,191",-2.97,"231,899",10.44,"1,489,345",0.59
2010M09,"2,378,519",1.34,"4,838,976",6.13,"410,614",25.47,"2,238,998",5.07,"1,778,621",-4.75,"1,185,179",-1.90,"189,284",24.12,"1,414,800",15.93,"9,729,534",-3.51,"7,283,009",-1.62,-,-,-,-,"412,983",1.79,"440,437",1.18,"9,082,889",-4.05,"5,344,812",-2.68,"233,662",10.40,"1,497,760",1.54
2010M10,"2,391,164",1.62,"4,964,907",8.08,"420,856",25.33,"2,306,468",7.06,"1,776,812",-4.60,"1,198,895",-0.68,"193,496",24.98,"1,459,546",18.46,"9,719,676",-2.74,"7,276,035",-0.83,-,-,-,-,"412,811",1.81,"440,186",1.18,"9,072,111",-3.23,"5,344,359",-1.86,"234,754",10.26,"1,491,490",2.43
