期間,批發、零售及餐飲業_原始值,批發、零售及餐飲業_年增率(%),批發業_原始值,批發業_年增率(%),零售業_原始值,零售業_年增率(%),餐飲業_原始值,餐飲業_年增率(%)
2010M07,"1,172,180",8.68,"842,126",8.60,"299,509",8.57,"30,545",11.91
2010M08,"1,146,695",5.91,"822,069",5.48,"294,225",6.84,"30,401",8.52
2010M09,"1,162,177",6.53,"849,808",5.84,"284,254",8.06,"28,114",12.74
2010M10,"1,193,632",7.07,"856,371",6.69,"308,282",7.64,"28,979",12.81
2010M11,"1,153,911",5.41,"827,778",5.28,"298,770",5.47,"27,362",8.79
2010M12,"1,185,948",5.41,"844,876",6.19,"311,158",2.81,"29,915",11.63
2011M01,"1,202,170",12.78,"827,958",9.01,"341,348",22.76,"32,864",16.01
2011M02,"1,029,185",4.49,"718,685",6.90,"278,440",-1.09,"32,060",2.93
2011M03,"1,184,267",7.07,"860,968",6.66,"293,855",8.56,"29,443",4.29
2011M04,"1,160,931",4.55,"832,469",3.68,"298,111",6.66,"30,351",8.72
2011M05,"1,163,058",4.21,"832,956",4.29,"297,002",3.77,"33,100",6.36
2011M06,"1,202,797",5.10,"871,438",4.62,"299,484",6.07,"31,875",9.31
2011M07,"1,218,561",3.96,"869,078",3.20,"316,100",5.54,"33,383",9.29
2011M08,"1,182,715",3.14,"846,823",3.01,"303,681",3.21,"32,211",5.95
2011M09,"1,198,181",3.10,"864,266",1.70,"302,822",6.53,"31,093",10.60
2011M10,"1,213,439",1.66,"858,806",0.28,"322,112",4.49,"32,520",12.22
2011M11,"1,143,017",-0.94,"802,403",-3.07,"310,641",3.97,"29,974",9.54
2011M12,"1,170,125",-1.33,"807,773",-4.39,"330,350",6.17,"32,001",6.98
2012M01,"1,111,410",-7.55,"740,422",-10.57,"335,371",-1.75,"35,616",8.37
2012M02,"1,087,975",5.71,"768,434",6.92,"287,930",3.41,"31,611",-1.40
2012M03,"1,156,985",-2.30,"820,608",-4.69,"304,751",3.71,"31,626",7.41
2012M04,"1,132,759",-2.43,"794,827",-4.52,"306,468",2.80,"31,464",3.67
2012M05,"1,186,771",2.04,"837,848",0.59,"315,129",6.10,"33,794",2.09
2012M06,"1,187,187",-1.30,"847,911",-2.70,"306,391",2.31,"32,885",3.17
2012M07,"1,209,936",-0.71,"847,676",-2.46,"327,855",3.72,"34,405",3.06
2012M08,"1,186,363",0.31,"836,920",-1.17,"315,487",3.89,"33,955",5.42
2012M09,"1,191,004",-0.60,"855,314",-1.04,"303,498",0.22,"32,192",3.53
2012M10,"1,206,892",-0.54,"846,755",-1.40,"328,278",1.91,"31,859",-2.03
2012M11,"1,168,338",2.22,"821,920",2.43,"315,800",1.66,"30,618",2.15
2012M12,"1,185,082",1.28,"814,404",0.82,"336,193",1.77,"34,485",7.76
2013M01,"1,204,160",8.35,"839,849",13.43,"331,064",-1.28,"33,247",-6.65
2013M02,"1,024,516",-5.83,"683,238",-11.09,"306,461",6.44,"34,818",10.15
2013M03,"1,167,567",0.91,"836,029",1.88,"298,752",-1.97,"32,785",3.66
2013M04,"1,136,088",0.29,"797,042",0.28,"308,493",0.66,"30,552",-2.90
2013M05,"1,172,618",-1.19,"822,997",-1.77,"315,967",0.27,"33,654",-0.41
2013M06,"1,184,639",-0.21,"834,932",-1.53,"315,720",3.04,"33,988",3.35
2013M07,"1,209,720",-0.02,"850,975",0.39,"324,607",-0.99,"34,138",-0.78
2013M08,"1,180,238",-0.52,"828,840",-0.97,"316,621",0.36,"34,778",2.42
2013M09,"1,214,420",1.97,"863,885",1.00,"317,522",4.62,"33,013",2.55
2013M10,"1,229,780",1.90,"855,296",1.01,"342,388",4.30,"32,096",0.74
2013M11,"1,195,471",2.32,"828,752",0.83,"334,266",5.85,"32,453",5.99
2013M12,"1,243,028",4.89,"862,336",5.89,"345,515",2.77,"35,178",2.01
2014M01,"1,237,986",2.81,"844,351",0.54,"356,315",7.63,"37,319",12.25
2014M02,"1,045,243",2.02,"712,605",4.30,"297,885",-2.80,"34,753",-0.19
2014M03,"1,186,824",1.65,"841,755",0.68,"311,445",4.25,"33,623",2.56
2014M04,"1,192,517",4.97,"839,382",5.31,"321,056",4.07,"32,079",5.00
2014M05,"1,219,107",3.96,"854,064",3.77,"329,714",4.35,"35,330",4.98
2014M06,"1,233,728",4.14,"865,400",3.65,"333,045",5.49,"35,283",3.81
2014M07,"1,243,907",2.83,"866,390",1.81,"342,307",5.45,"35,209",3.14
