期間,全民健保被保險人數_原始值,全民健保被保險人數_年增率(%),全民健保被保險人數_原始值,全民健保被保險人數_年增率(%),全民健保被保險人數_原始值,全民健保被保險人數_年增率(%),公教人員保險被保險人數_原始值,公教人員保險被保險人數_年增率(%),公教人員保險被保險人數_原始值,公教人員保險被保險人數_年增率(%),公教人員保險被保險人數_原始值,公教人員保險被保險人數_年增率(%),勞工保險被保險人數_原始值,勞工保險被保險人數_年增率(%),勞工保險被保險人數_原始值,勞工保險被保險人數_年增率(%),勞工保險被保險人數_原始值,勞工保險被保險人數_年增率(%),農民保險被保險人數_原始值,農民保險被保險人數_年增率(%),農民保險被保險人數_原始值,農民保險被保險人數_年增率(%),農民保險被保險人數_原始值,農民保險被保險人數_年增率(%)
2003M03,"21,889,435",1.06,...,...,...,...,"621,830",-0.37,...,...,...,...,"7,868,580",1.56,...,...,...,...,"1,741,694",-1.35,...,...,...,...
2003M04,"21,913,289",1.15,...,...,...,...,"621,746",-0.36,...,...,...,...,"7,899,537",1.81,...,...,...,...,"1,740,132",-1.37,...,...,...,...
2003M05,"91,929,232",323.45,...,...,...,...,"622,001",-0.36,...,...,...,...,"7,916,161",1.73,...,...,...,...,"1,737,789",-1.39,...,...,...,...
2003M06,"21,956,016",0.94,...,...,...,...,"621,631",-0.41,...,...,...,...,"7,907,270",1.23,...,...,...,...,"1,733,662",-1.49,...,...,...,...
2003M07,"91,963,081",322.74,...,...,...,...,"619,117",-0.61,...,...,...,...,"7,977,231",1.88,...,...,...,...,"1,714,055",-2.51,...,...,...,...
2003M08,"91,961,722",322.86,...,...,...,...,"610,907",-0.50,...,...,...,...,"8,013,923",2.11,...,...,...,...,"1,726,346",-1.74,...,...,...,...
2003M09,"91,973,795",322.57,...,...,...,...,"618,919",-0.61,...,...,...,...,"8,029,119",2.42,...,...,...,...,"1,722,913",-1.85,...,...,...,...
2003M10,"91,968,687",322.26,...,...,...,...,"622,115",-0.70,...,...,...,...,"8,071,975",2.69,...,...,...,...,"1,717,909",-2.01,...,...,...,...
2003M11,"21,957,549",0.61,...,...,...,...,"623,217",-0.66,...,...,...,...,"8,111,760",2.93,...,...,...,...,"1,713,610",-2.15,...,...,...,...
2003M12,"91,984,415",320.61,...,...,...,...,"622,851",-0.61,...,...,...,...,"8,102,570",3.11,...,...,...,...,"1,710,122",-2.20,...,...,...,...
2004M01,"21,944,409",0.49,...,...,...,...,"622,842",-0.44,...,...,...,...,"8,094,250",2.83,...,...,...,...,"1,707,829",-2.24,...,...,...,...
2004M02,"21,960,913",0.45,...,...,...,...,"618,314",-0.61,...,...,...,...,"8,120,142",3.22,...,...,...,...,"1,703,993",-2.33,...,...,...,...
2004M03,"21,978,303",0.41,...,...,...,...,"617,874",-0.64,...,...,...,...,"8,140,245",3.45,...,...,...,...,"1,701,306",-2.32,...,...,...,...
2004M04,"21,983,915",0.32,...,...,...,...,"617,954",-0.61,...,...,...,...,"8,175,802",3.50,...,...,...,...,"1,698,485",-2.39,...,...,...,...
2004M05,"22,025,443",-76.04,...,...,...,...,"617,408",-0.74,...,...,...,...,"8,199,367",3.58,...,...,...,...,"1,695,837",-2.41,...,...,...,...
2004M06,"22,069,437",0.52,...,...,...,...,"617,269",-0.70,...,...,...,...,"8,235,307",4.15,...,...,...,...,"1,692,460",-2.38,...,...,...,...
2004M07,"22,047,275",-76.03,...,...,...,...,"614,989",-0.67,...,...,...,...,"8,291,668",3.94,...,...,...,...,"1,690,604",-1.37,...,...,...,...
2004M08,"22,020,447",-76.05,...,...,...,...,"605,020",-0.96,...,...,...,...,"8,284,667",3.38,...,...,...,...,"1,688,534",-2.19,...,...,...,...
2004M09,"22,033,306",-76.04,...,...,...,...,"613,436",-0.89,...,...,...,...,"8,298,079",3.35,...,...,...,...,"1,686,494",-2.11,...,...,...,...
2004M10,"22,053,332",-76.02,...,...,...,...,"616,145",-0.96,...,...,...,...,"8,353,694",3.49,...,...,...,...,"1,683,023",-2.03,...,...,...,...
2004M11,"22,083,400",0.57,...,...,...,...,"617,749",-0.88,...,...,...,...,"8,371,977",3.21,...,...,...,...,"1,679,657",-1.98,...,...,...,...
2004M12,"22,134,270",-75.94,...,...,...,...,"617,260",-0.90,...,...,...,...,"8,341,927",2.95,...,...,...,...,"1,676,550",-1.96,...,...,...,...
2005M01,"22,110,297",0.76,...,...,...,...,"614,912",-1.27,...,...,...,...,"8,369,637",3.40,...,...,...,...,"1,674,590",-1.95,...,...,...,...
2005M02,"22,069,529",0.49,...,...,...,...,"612,555",-0.93,...,...,...,...,"8,334,892",2.64,...,...,...,...,"1,672,096",-1.87,...,...,...,...
2005M03,"22,063,428",0.39,...,...,...,...,"613,681",-0.68,...,...,...,...,"8,318,394",2.19,...,...,...,...,"1,669,488",-1.87,...,...,...,...
2005M04,"22,070,656",0.39,...,...,...,...,"609,277",-1.40,...,...,...,...,"8,341,385",2.03,...,...,...,...,"1,666,532",-1.88,...,...,...,...
2005M05,"22,118,451",0.42,...,...,...,...,"608,887",-1.38,...,...,...,...,"8,322,023",1.50,...,...,...,...,"1,664,520",-1.85,...,...,...,...
2005M06,"22,129,646",0.27,...,...,...,...,"608,446",-1.43,...,...,...,...,"8,277,723",0.52,...,...,...,...,"1,661,300",-1.84,...,...,...,...
2005M07,"22,142,183",0.43,...,...,...,...,"606,641",-1.36,...,...,...,...,"8,430,314",1.67,...,...,...,...,"1,659,547",-1.84,...,...,...,...
2005M08,"22,195,185",0.79,...,...,...,...,"591,728",-2.20,...,...,...,...,"8,465,729",2.19,...,...,...,...,"1,656,155",-1.92,...,...,...,...
2005M09,"22,237,211",0.93,...,...,...,...,"588,616",-4.05,...,...,...,...,"8,490,419",2.32,...,...,...,...,"1,654,288",-1.91,...,...,...,...
2005M10,"22,269,309",0.98,...,...,...,...,"590,318",-4.19,...,...,...,...,"8,526,477",2.07,...,...,...,...,"1,651,631",-1.87,...,...,...,...
2005M11,"22,285,028",0.91,...,...,...,...,"591,846",-4.19,...,...,...,...,"8,551,180",2.14,...,...,...,...,"1,649,544",-1.79,...,...,...,...
2005M12,"22,314,647",0.81,...,...,...,...,"591,158",-4.23,...,...,...,...,"8,540,755",2.38,...,...,...,...,"1,651,631",-1.49,...,...,...,...
2006M01,"22,287,333",0.80,...,...,...,...,"590,444",-3.98,...,...,...,...,"8,558,289",2.25,...,...,...,...,"1,645,090",-1.76,...,...,...,...
