期間,合計_原始值,合計_年增率(%),本國銀行_原始值,本國銀行_年增率(%),外國銀行在台分行_原始值,外國銀行在台分行_年增率(%),外國銀行在台分行--預售外匯外銷貸款_原始值,外國銀行在台分行--預售外匯外銷貸款_年增率(%)
2001,"392,803",-28.68,"345,814",-25.78,"46,989",-44.60,"1,777",-11.86
2002,"441,792",12.47,"391,436",13.19,"50,356",7.17,707,-60.21
2003,"502,139",13.66,"455,872",16.46,"46,267",-8.12,-,-
2004,"560,042",11.53,"495,578",8.71,"64,464",39.33,-,-
