期間,放款_原始值,放款_年增率(%),投資--對非金融機構證券投資--政府機關_原始值,投資--對非金融機構證券投資--政府機關_年增率(%),投資--對非金融機構證券投資--公營事業_原始值,投資--對非金融機構證券投資--公營事業_年增率(%),投資--對非金融機構證券投資--民營事業_原始值,投資--對非金融機構證券投資--民營事業_年增率(%),投資---對金融機構投資_原始值,投資---對金融機構投資_年增率(%),投資--不動產投資_原始值,投資--不動產投資_年增率(%),對金融機構債權_原始值,對金融機構債權_年增率(%),庫存現金_原始值,庫存現金_年增率(%),資產合計(淨額)=負債合計(淨額)_原始值,資產合計(淨額)=負債合計(淨額)_年增率(%),各項準備_原始值,各項準備_年增率(%),淨值_原始值,淨值_年增率(%),其他項目(淨額)_原始值,其他項目(淨額)_年增率(%)
2010M04,"1,340",-25.10,"24,849",-7.74,601,-,"61,639",10.42,"7,014",-10.00,"16,012",-5.12,"45,008",29.39,105,-13.93,"156,568",8.63,"163,643",4.28,"73,277",19.03,"-80,352",--
2010M05,"1,138",-33.57,"24,533",-7.75,601,-,"61,218",2.73,"7,104",-7.49,"17,540",4.14,"44,373",28.71,106,-15.20,"156,613",6.53,"165,562",5.16,"68,805",5.02,"-77,754",--
2010M06,"1,049",-34.68,"24,284",-12.07,601,532.63,"55,481",-3.14,"7,219",-10.16,"17,287",2.27,"46,482",29.89,108,-11.48,"152,511",3.44,"165,296",4.26,"68,418",4.68,"-81,203",--
2010M07,"1,029",-35.04,"24,161",-10.72,601,-,"59,526",-2.83,"7,168",-9.57,"17,323",2.40,"46,235",26.96,105,-11.76,"156,148",3.22,"166,277",5.05,"70,745",5.37,"-80,874",--
2010M08,"1,026",-34.44,"25,264",-7.99,602,20.40,"57,366",-1.72,"7,308",-6.85,"17,319",2.26,"47,503",23.59,106,-14.52,"156,494",3.48,"166,144",2.85,"71,271",8.80,"-80,921",--
2010M09,"1,086",-31.27,"26,050",-1.54,603,-13.86,"59,171",-5.82,"7,339",-8.73,"17,259",2.63,"48,690",29.51,105,-15.32,"160,303",4.00,"168,377",3.63,"72,500",6.14,"-80,574",--
2010M10,"1,083",-30.58,"26,755",4.88,602,-33.26,"59,449",-4.93,"7,586",-6.29,"17,135",1.92,"48,843",34.49,105,-15.32,"161,558",6.39,"170,058",4.41,"73,015",6.83,"-81,515",--
2010M11,"1,015",-33.18,"26,259",3.93,602,50.12,"60,607",-0.99,"7,786",-5.52,"17,112",1.78,"50,125",28.42,105,-7.89,"163,611",7.22,"168,788",3.89,"73,245",5.58,"-78,422",--
2010M12,852,-38.75,"26,318",4.91,402,0.50,"60,316",1.94,"8,049",6.29,"16,907",3.85,"50,742",27.60,101,-3.81,"163,687",9.29,"167,687",4.51,"75,132",4.75,"-79,132",--
2011M01,863,-37.24,"25,174",3.90,402,0.25,"60,207",3.37,"8,011",8.67,"16,907",3.96,"52,057",23.71,103,-4.63,"163,724",9.10,"174,174",7.61,"76,211",8.74,"-86,661",--
2011M02,864,-35.71,"24,197",-1.79,402,0.25,"59,768",6.92,"7,775",9.11,"16,822",3.42,"52,751",22.89,108,-4.42,"162,687",9.40,"175,549",9.13,"75,600",8.96,"-88,462",--
2011M03,851,-37.01,"23,973",-0.94,402,0.25,"60,317",-3.16,"8,226",20.67,"16,826",5.14,"53,281",16.24,104,-4.59,"163,980",4.44,"176,738",8.23,"75,879",3.00,"-88,637",--
2011M04,855,-36.19,"24,187",-2.66,402,-33.11,"59,654",-3.22,"8,415",19.97,"16,833",5.13,"54,690",21.51,104,-0.95,"165,140",5.47,"178,238",8.92,"76,865",4.90,"-89,963",--
2011M05,813,-28.56,"24,182",-1.43,402,-33.11,"61,039",-0.29,"8,657",21.86,"16,843",-3.97,"53,720",21.06,106,0.00,"165,762",5.84,"177,252",7.06,"75,313",9.46,"-86,803",--
2011M06,781,-25.55,"23,808",-1.96,402,-33.11,"59,774",7.74,"8,762",21.37,"16,851",-2.52,"53,653",15.43,103,-4.63,"164,134",7.62,"178,121",7.76,"73,516",7.45,"-87,503",--
2011M07,782,-24.00,"23,078",-4.48,402,-33.11,"59,883",0.60,"9,038",26.09,"17,460",0.79,"53,201",15.07,104,-0.95,"163,948",5.00,"178,105",7.11,"75,900",7.29,"-90,057",--
2011M08,778,-24.17,"22,985",-9.02,403,-33.06,"56,336",-1.80,"9,431",29.05,"17,450",0.76,"56,326",18.57,102,-3.77,"163,811",4.68,"177,972",7.12,"74,421",4.42,"-88,582",--
2011M09,772,-28.91,"24,206",-7.08,403,-33.17,"53,943",-8.84,"8,410",14.59,"18,172",5.29,"56,353",15.74,103,-1.90,"162,362",1.28,"176,389",4.76,"73,346",1.17,"-87,373",--
2011M10,751,-30.66,"24,276",-9.27,403,-33.06,"54,504",-8.32,"8,567",12.93,"18,167",6.02,"57,419",17.56,106,0.95,"164,193",1.63,"174,746",2.76,"75,245",3.05,"-85,798",--
2011M11,721,-28.97,"24,513",-6.65,403,-33.06,"54,214",-10.55,"8,709",11.85,"18,161",6.13,"56,629",12.98,104,-0.95,"163,454",-0.10,"173,925",3.04,"74,448",1.64,"-84,919",--
2011M12,663,-22.18,"25,376",-3.58,403,0.25,"53,216",-11.77,"8,269",2.73,"18,158",7.40,"56,524",11.39,99,-1.98,"162,708",-0.60,"172,097",2.63,"74,096",-1.38,"-83,485",--
2012M01,678,-21.44,"23,961",-4.82,403,0.25,"54,575",-9.35,"8,728",8.95,"18,140",7.29,"57,941",11.30,110,6.80,"164,536",0.50,"178,341",2.39,"76,322",0.15,"-90,127",--
2012M02,665,-23.03,"24,608",1.70,404,0.50,"56,273",-5.85,"9,606",23.55,"18,144",7.86,"56,482",7.07,108,0.00,"166,290",2.21,"177,682",1.22,"78,705",4.11,"-90,097",--
2012M03,640,-24.79,"23,914",-0.25,404,0.50,"57,569",-4.56,"9,332",13.45,"18,151",7.87,"56,768",6.54,107,2.88,"166,885",1.77,"172,904",-2.17,"78,968",4.07,"-84,987",--
2012M04,632,-26.08,"23,826",-1.49,404,0.50,"60,427",1.30,"9,224",9.61,"18,070",7.35,"54,284",-0.74,110,5.77,"166,977",1.11,"172,742",-3.08,"79,124",2.94,"-84,889",--
2012M05,625,-23.12,"24,126",-0.23,403,0.25,"54,730",-10.34,"8,844",2.16,"18,015",6.96,"53,479",-0.45,107,0.94,"160,329",-3.28,"172,570",-2.64,"73,002",-3.07,"-85,243",--
2012M06,630,-19.33,"24,211",1.69,403,0.25,"54,234",-9.27,"8,752",-0.11,"18,060",7.17,"51,791",-3.47,110,6.80,"158,191",-3.62,"175,188",-1.65,"72,211",-1.78,"-89,208",--
2012M07,556,-28.90,"23,266",0.81,403,0.25,"48,293",-19.35,"8,297",-8.20,"14,011",-19.75,"44,370",-16.60,75,-27.88,"139,271",-15.05,"156,941",-11.88,"64,690",-14.77,"-82,360",--
2012M08,626,-19.54,"24,315",5.79,403,0.00,"57,124",1.40,"8,897",-5.66,"17,935",2.78,"52,710",-6.42,108,5.88,"162,118",-1.03,"176,405",-0.88,"75,305",1.19,"-89,592",--
2012M09,648,-16.06,"23,736",-1.94,403,0.00,"57,835",7.22,"8,936",6.25,"17,986",-1.02,"52,751",-6.39,108,4.85,"162,403",0.03,"175,604",-0.45,"76,811",4.72,"-90,012",--
2012M10,647,-13.85,"23,648",-2.59,403,0.00,"56,006",2.76,"9,180",7.16,"17,988",-0.99,"53,723",-6.44,106,0.00,"161,701",-1.52,"174,530",-0.12,"76,040",1.06,"-88,869",--
2012M11,617,-14.42,"24,358",-0.63,403,0.00,"55,857",3.03,"9,401",7.95,"17,986",-0.96,"53,473",-5.57,104,0.00,"162,199",-0.77,"173,378",-0.31,"77,531",4.14,"-88,710",--
2012M12,611,-7.84,"24,229",-4.52,404,0.25,"53,596",0.71,"9,061",9.58,"17,953",-1.13,"53,955",-4.54,102,3.03,"159,911",-1.72,"171,213",-0.51,"78,489",5.93,"-89,791",--
2013M01,677,-0.15,"22,976",-4.11,404,0.25,"55,549",1.78,"10,026",14.87,"13,967",-23.00,"55,146",-4.82,97,-11.82,"158,842",-3.46,"169,997",-4.68,"84,216",10.34,"-95,371",--
2013M02,684,2.86,"23,256",-5.49,403,-0.25,"56,299",0.05,"10,283",7.05,"14,175",-21.88,"54,310",-3.85,98,-9.26,"159,508",-4.08,"167,986",-5.46,"85,568",8.72,"-94,046",--
2013M03,673,5.16,"22,908",-4.21,403,-0.25,"57,226",-0.60,"10,636",13.97,"14,192",-21.81,"54,417",-4.14,96,-10.28,"160,551",-3.80,"167,367",-3.20,"86,886",10.03,"-93,702",--
2013M04,684,8.23,"22,810",-4.26,403,-0.25,"57,144",-5.43,"10,231",10.92,"14,174",-21.56,"54,279",-0.01,95,-13.64,"159,820",-4.29,"166,711",-3.49,"88,407",11.73,"-95,298",--
2013M05,664,6.24,"22,745",-5.72,403,0.00,"57,949",5.88,"10,198",15.31,"14,140",-21.51,"53,182",-0.56,94,-12.15,"159,375",-0.60,"168,045",-2.62,"86,994",19.17,"-95,664",--
