期間,新臺幣_原始值,新臺幣_年增率(%),日圓_原始值,日圓_年增率(%),馬克_原始值,馬克_年增率(%),英鎊_原始值,英鎊_年增率(%),法國法郎_原始值,法國法郎_年增率(%),港幣_原始值,港幣_年增率(%),韓元_原始值,韓元_年增率(%),加拿大幣_原始值,加拿大幣_年增率(%),新加坡元_原始值,新加坡元_年增率(%),人民幣_原始值,人民幣_年增率(%),澳幣_原始值,澳幣_年增率(%),印尼盾_原始值,印尼盾_年增率(%),荷蘭幣_原始值,荷蘭幣_年增率(%),泰銖_原始值,泰銖_年增率(%),馬來西亞幣_原始值,馬來西亞幣_年增率(%),菲律賓披索_原始值,菲律賓披索_年增率(%),歐元_原始值,歐元_年增率(%)
1999,32.2661,3.65,113.9070,14.92,1.8358,-4.15,0.6180,-2.31,6.1570,-4.18,7.7575,-0.16,"1,188.8200",17.88,1.4857,-0.15,1.6950,-1.26,8.2782,0.01,1.5496,2.53,"7,855.1500",27.48,2.0685,-4.10,37.8137,9.38,3.8000,3.27,39.0890,4.62,0.9386,-4.88
2000,31.2252,3.33,107.7650,5.70,2.1229,-13.52,0.6596,-6.31,7.1198,-13.52,7.7912,-0.43,"1,130.9600",5.12,1.4851,0.04,1.7240,-1.68,8.2785,0.00,1.7172,-9.76,"8,421.7700",-6.73,2.3919,-13.52,40.1118,-5.73,3.8000,0.00,44.1922,-11.55,1.0854,-13.52
2001,33.8003,-7.62,121.5290,-11.33,2.1857,-2.88,0.6945,-5.02,7.3304,-2.87,7.7988,-0.10,"1,290.9900",-12.40,1.5488,-4.11,1.7917,-3.78,8.2771,0.02,1.9319,-11.11,"10,260.9000",-17.92,2.4627,-2.87,44.4319,-9.72,3.8000,0.00,50.9926,-13.34,1.1175,-2.87
2002,34.5752,-2.24,125.3880,-3.08,-,--,0.6661,4.26,-,--,7.7989,0.00,"1,251.0883",3.19,1.5693,-1.31,1.7906,0.06,8.2770,0.00,1.8406,4.96,"9,311.1917",10.20,-,--,42.9601,3.43,3.8000,0.00,51.6036,-1.18,1.0626,5.17
2003,34.4176,0.46,115.9335,8.16,-,--,0.6119,8.87,-,--,7.7867,0.16,"1,191.6142",4.99,1.4011,12.01,1.7422,2.78,8.2770,0.00,1.5419,19.37,"8,577.1333",8.56,-,--,41.4846,3.56,3.8000,0.00,54.2033,-4.80,0.8860,19.92
2004,33.4218,2.98,108.1926,7.15,-,--,0.5459,12.08,-,--,7.7880,-0.02,"1,145.3192",4.04,1.3010,7.69,1.6902,3.07,8.2768,0.00,1.3598,13.40,"8,938.8500",-4.05,-,--,40.2224,3.14,3.8000,0.00,56.0399,-3.28,0.8054,10.02
2005,32.1671,3.90,110.2182,-1.84,-,--,0.5493,-0.62,-,--,7.7773,0.14,"1,024.1167",11.83,1.2118,7.37,1.6644,1.55,8.1943,1.01,1.3095,3.84,"9,704.7417",-7.89,-,--,40.2201,0.01,3.7871,0.34,55.0855,1.73,0.8041,0.15
2006,32.5313,-1.12,116.2993,-5.23,-,--,0.5427,1.22,-,--,7.7678,0.12,954.7905,7.26,1.1344,6.82,1.5889,4.75,7.9734,2.77,1.3280,-1.39,"9,159.3167",5.95,-,--,37.8820,6.17,3.6682,3.24,51.3143,7.35,0.7971,0.88
2007,32.8418,-0.95,117.7535,-1.24,-,--,0.4996,8.63,-,--,7.8014,-0.43,929.2573,2.75,1.0741,5.61,1.5071,5.43,7.6075,4.81,1.1951,11.12,"9,141.0000",0.20,-,--,34.5182,9.74,3.4376,6.71,46.1484,11.19,0.7306,9.10
2008,31.5167,4.20,103.3595,13.93,-,--,0.5396,-7.42,-,--,7.7868,0.19,"1,102.0467",-15.68,1.0670,0.66,1.4149,6.52,6.9487,9.48,1.1922,0.24,"9,698.9625",-5.75,-,--,33.3133,3.62,3.3358,3.05,44.3233,4.12,0.6827,7.03
2009,33.0495,-4.64,93.5701,10.46,-,--,0.6392,-15.58,-,--,7.7518,0.45,"1,276.9300",-13.70,1.1431,-6.65,1.4545,-2.73,6.8314,1.72,1.2822,-7.02,"10,389.9375",-6.65,-,--,34.2858,-2.84,3.5245,-5.35,47.6797,-7.04,0.7198,-5.16
2010,31.6422,4.45,87.7799,6.60,-,--,0.6468,-1.17,-,--,7.7692,-0.22,"1,156.0610",10.46,1.0302,10.96,1.3635,6.67,6.7703,0.90,1.0902,17.61,"9,090.4333",14.30,-,--,31.6857,8.21,3.2211,9.42,45.1097,5.70,0.7550,-4.66
2011,29.4637,7.39,79.8070,9.99,-,--,0.6236,3.72,-,--,7.7840,-0.19,"1,108.2921",4.31,0.9895,4.11,1.2578,8.41,6.4615,4.78,0.9695,12.45,"8,770.4333",3.65,-,--,30.4917,3.92,3.0600,5.26,43.3131,4.15,0.7194,4.96
2012,29.6140,-0.51,79.7905,0.02,-,--,0.6308,-1.14,-,--,7.7564,0.36,"1,126.4708",-1.61,0.9992,-0.97,1.2497,0.65,6.3123,2.36,0.9658,0.38,"9,386.6292",-6.56,-,--,31.0831,-1.90,3.0888,-0.93,42.2288,2.57,0.7783,-7.57
2013,29.7699,-0.52,97.5957,-18.24,-,--,0.6392,-1.31,-,--,7.7560,0.01,"1,094.8529",2.89,1.0298,-2.97,1.2513,-0.13,6.1958,1.88,1.0358,-6.76,"10,461.2400",-10.27,-,--,30.7260,1.16,3.1509,-1.97,42.4462,-0.51,0.7532,3.34
