期間,合計_原始值,合計_年增率(%),本國銀行_原始值,本國銀行_年增率(%),外國銀行在台分行_原始值,外國銀行在台分行_年增率(%),外國銀行在台分行--預售外匯外銷貸款_原始值,外國銀行在台分行--預售外匯外銷貸款_年增率(%)
2010M01,"584,144",7.63,"484,472",8.01,"99,672",5.85,-,-
2010M02,"639,488",34.95,"538,450",32.52,"101,038",49.52,-,-
2010M03,"571,228",27.98,"491,135",31.59,"80,093",9.57,-,-
2010M04,"630,386",35.04,"537,143",40.16,"93,243",11.58,-,-
2010M05,"743,344",57.45,"620,413",57.68,"122,931",56.34,-,-
2010M06,"724,489",57.35,"586,571",51.72,"137,918",86.83,-,-
2010M07,"793,748",62.73,"655,158",58.54,"138,590",85.98,-,-
2010M08,"844,902",65.70,"689,014",58.96,"155,888",103.91,-,-
2010M09,"720,525",44.96,"596,178",40.77,"124,347",69.15,-,-
2010M10,"738,602",32.49,"626,799",33.05,"111,803",29.44,-,-
2010M11,"797,494",36.52,"664,102",33.31,"133,392",55.12,-,-
2010M12,"696,970",26.00,"591,657",27.55,"105,313",17.98,-,-
2011M01,"759,086",29.95,"652,354",34.65,"106,732",7.08,-,-
2011M02,"793,881",24.14,"677,110",25.75,"116,771",15.57,-,-
2011M03,"766,783",34.23,"655,892",33.55,"110,891",38.45,-,-
2011M04,"816,632",29.54,"689,104",28.29,"127,528",36.77,-,-
2011M05,"893,728",20.23,"746,203",20.28,"147,525",20.01,-,-
2011M06,"878,749",21.29,"702,426",19.75,"176,323",27.85,-,-
2011M07,"906,302",14.18,"714,756",9.10,"191,546",38.21,-,-
2011M08,"982,812",16.32,"775,553",12.56,"207,259",32.95,-,-
2011M09,"941,038",30.60,"754,258",26.52,"186,780",50.21,-,-
2011M10,"973,266",31.77,"773,491",23.40,"199,775",78.68,-,-
2011M11,"990,216",24.17,"790,479",19.03,"199,737",49.74,-,-
2011M12,"822,933",18.07,"659,908",11.54,"163,025",54.80,-,-
2012M01,"809,006",6.58,"669,078",2.56,"139,928",31.10,-,-
2012M02,"815,044",2.67,"676,767",-0.05,"138,277",18.42,-,-
2012M03,"752,729",-1.83,"618,744",-5.66,"133,985",20.83,-,-
2012M04,"820,877",0.52,"655,492",-4.88,"165,385",29.69,-,-
2012M05,"882,767",-1.23,"721,651",-3.29,"161,116",9.21,-,-
2012M06,"782,218",-10.99,"647,307",-7.85,"134,911",-23.49,-,-
2012M07,"879,310",-2.98,"729,585",2.07,"149,725",-21.83,-,-
2012M08,"880,940",-10.37,"727,897",-6.14,"153,043",-26.16,-,-
2012M09,"792,636",-15.77,"646,144",-14.33,"146,492",-21.57,-,-
2012M10,"872,639",-10.34,"706,832",-8.62,"165,807",-17.00,-,-
2012M11,"838,312",-15.34,"682,186",-13.70,"156,126",-21.83,-,-
2012M12,"814,732",-1.00,"647,754",-1.84,"166,978",2.42,-,-
2013M01,"817,705",1.08,"663,553",-0.83,"154,152",10.17,-,-
2013M02,"842,171",3.33,"676,510",-0.04,"165,661",19.80,-,-
2013M03,"831,672",10.49,"658,281",6.39,"173,391",29.41,-,-
2013M04,"852,102",3.80,"722,664",10.25,"129,438",-21.74,-,-
2013M05,"846,999",-4.05,"721,316",-0.05,"125,683",-21.99,-,-
2013M06,"854,262",9.21,"707,473",9.29,"146,789",8.80,-,-
2013M07,"919,441",4.56,"755,311",3.53,"164,130",9.62,-,-
2013M08,"907,634",3.03,"747,166",2.65,"160,468",4.85,-,-
2013M09,"887,994",12.03,"717,622",11.06,"170,372",16.30,-,-
2013M10,"929,664",6.53,"758,761",7.35,"170,903",3.07,-,-
2013M11,"958,642",14.35,"772,820",13.29,"185,822",19.02,-,-
2013M12,"936,005",14.89,"730,329",12.75,"205,676",23.18,-,-
2014M01,"1,006,205",23.05,"775,501",16.87,"230,704",49.66,-,-
2014M02,"1,002,338",19.02,"772,386",14.17,"229,952",38.81,-,-
2014M03,"931,142",11.96,"706,459",7.32,"224,683",29.58,-,-
2014M04,"957,348",12.35,"721,640",-0.14,"235,708",82.10,-,-
2014M05,"962,856",13.68,"720,060",-0.17,"242,796",93.18,-,-
2014M06,"914,819",7.09,"681,276",-3.70,"233,543",59.10,-,-
2014M07,"986,061",7.25,"739,522",-2.09,"246,539",50.21,-,-
