期間,新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%)
1998M04,498,-3.11,16,-5.88,-,--,24,9.09,8,14.29,3,-25.00,5,150.00,5,-28.57,11,120.00,23,53.33,6,20.00,10,66.67,-,--,3,-40.00,43,13.16,6,-33.33,14,100.00,89,-20.54,80,-3.61,105,-9.48,21,-12.50,5,-37.50,21,-4.55,303,16.09,10,42.86,-,--,17,41.67,11,10.00,-,--,3,0.00,10,66.67,10,25.00,14,180.00,5,150.00,6,0.00,-,--,5,25.00,20,-35.48,9,350.00,6,-14.29,52,20.93,41,20.59,52,4.00,11,10.00,5,66.67,16,6.67
1998M05,485,-20.62,15,0.00,-,--,19,-45.71,8,-20.00,1,-85.71,5,0.00,7,-41.67,3,-40.00,21,16.67,7,16.67,8,-38.46,2,100.00,8,-11.11,39,-26.42,7,-12.50,10,-9.09,103,-12.71,74,-16.85,104,-26.24,23,-39.47,5,0.00,16,33.33,295,9.67,18,125.00,-,--,15,66.67,6,-50.00,1,-50.00,7,16.67,10,100.00,4,0.00,6,-50.00,3,0.00,7,75.00,1,0.00,1,-50.00,28,47.37,6,-14.29,6,20.00,47,-21.67,47,46.88,51,24.39,13,62.50,4,-20.00,14,-41.67
1998M06,518,2.37,16,-27.27,-,--,24,0.00,10,25.00,5,--,2,--,8,-11.11,7,-12.50,16,-27.27,5,25.00,9,12.50,-,--,1,-50.00,34,-8.11,3,-57.14,13,44.44,124,31.91,80,-14.89,105,-9.48,23,9.52,10,400.00,23,21.05,312,11.43,12,33.33,-,--,13,0.00,8,14.29,4,300.00,9,125.00,6,-33.33,9,28.57,18,260.00,2,-50.00,3,0.00,-,--,5,0.00,22,-37.14,11,37.50,3,-40.00,38,-22.45,44,4.76,66,60.98,17,13.33,6,100.00,16,6.67
1998M07,510,-9.25,15,-21.05,-,--,31,6.90,6,-45.45,5,150.00,3,50.00,6,0.00,9,50.00,29,123.08,6,50.00,10,25.00,-,--,2,-50.00,38,-20.83,10,25.00,7,-36.36,106,-13.82,80,-16.67,107,-2.73,19,-36.67,7,-30.00,14,-36.36,614,124.09,39,290.00,-,--,35,105.88,33,312.50,5,66.67,15,275.00,20,233.33,11,83.33,15,36.36,5,150.00,9,50.00,-,--,4,33.33,60,150.00,12,0.00,14,133.33,79,113.51,73,108.57,89,89.36,30,100.00,27,170.00,39,225.00
1998M08,552,0.00,18,-33.33,-,--,25,-34.21,11,37.50,1,-75.00,4,33.33,5,-58.33,12,140.00,30,100.00,3,50.00,9,28.57,-,--,2,-71.43,48,-20.00,10,25.00,7,0.00,128,31.96,74,-22.11,116,0.87,23,21.05,10,42.86,16,0.00,636,120.83,40,207.69,-,--,26,188.89,24,71.43,9,800.00,11,83.33,15,15.38,14,250.00,32,433.33,4,33.33,21,133.33,-,--,9,50.00,41,13.89,11,37.50,13,44.44,80,122.22,51,64.52,144,171.70,31,244.44,24,700.00,36,89.47
1998M09,518,3.60,17,13.33,-,--,26,8.33,12,71.43,3,50.00,3,50.00,6,-25.00,6,200.00,26,116.67,5,-16.67,16,128.57,-,--,2,-80.00,29,7.41,8,-20.00,6,-25.00,113,11.88,83,-1.19,116,-14.07,16,-11.11,12,100.00,13,-13.33,456,95.71,12,20.00,-,--,18,5.88,11,266.67,6,100.00,15,200.00,14,100.00,9,28.57,19,171.43,4,33.33,6,20.00,-,--,11,450.00,47,104.35,5,0.00,7,40.00,84,180.00,64,100.00,72,71.43,20,81.82,10,42.86,22,144.44
1998M10,434,-9.21,13,44.44,-,--,20,-4.76,8,-46.67,-,--,3,200.00,5,0.00,12,100.00,16,14.29,4,-20.00,6,-25.00,-,--,4,0.00,33,-23.26,5,-28.57,16,128.57,78,-20.41,72,-10.00,107,0.00,15,-51.61,3,-50.00,14,75.00,"1,267",360.73,108,"1,700.00",-,--,87,521.43,40,300.00,12,--,59,742.86,37,428.57,26,550.00,27,237.50,12,500.00,11,175.00,-,--,12,140.00,126,472.73,55,816.67,25,733.33,168,281.82,122,229.73,192,255.56,59,353.85,6,-14.29,83,295.24
1998M11,422,-0.24,15,25.00,-,--,20,-4.76,12,20.00,3,50.00,3,50.00,5,25.00,7,133.33,6,-62.50,3,-25.00,7,75.00,-,--,4,33.33,36,16.13,8,-33.33,13,44.44,82,-1.20,62,-7.46,88,-15.38,22,69.23,8,-27.27,18,50.00,628,"1,041.82",47,"1,466.67",-,--,25,257.14,28,833.33,6,500.00,19,"1,800.00",22,--,20,--,7,133.33,8,--,15,--,-,--,9,--,59,"1,375.00",82,"1,950.00",15,--,57,714.29,67,"1,016.67",72,620.00,19,--,10,400.00,41,925.00
1998M12,481,-5.87,21,133.33,-,--,23,-8.00,9,-10.00,2,100.00,4,100.00,8,60.00,2,-77.78,17,-22.73,6,-14.29,6,-33.33,1,0.00,7,16.67,29,-6.45,10,11.11,12,-14.29,97,-2.02,69,-6.76,103,-16.94,21,-19.23,12,140.00,22,-4.35,"1,470",413.99,50,177.78,-,--,105,356.52,60,900.00,24,"1,100.00",28,833.33,48,700.00,28,833.33,24,380.00,11,450.00,26,188.89,-,--,35,775.00,142,317.65,64,966.67,18,500.00,187,334.88,186,365.00,244,369.23,57,375.00,20,566.67,113,841.67
1999M01,429,-8.53,13,-35.00,-,--,19,5.56,10,42.86,1,-66.67,2,-60.00,10,66.67,12,100.00,13,85.71,2,-50.00,11,-15.38,-,--,4,-55.56,37,15.62,14,180.00,23,155.56,71,-31.07,58,-23.68,89,-13.59,21,-4.55,9,-10.00,10,-9.09,238,-10.53,7,16.67,-,--,12,50.00,12,100.00,1,0.00,8,0.00,7,-22.22,3,-62.50,7,-53.33,-,--,5,66.67,-,--,2,-50.00,28,-22.22,7,0.00,5,25.00,39,-2.50,28,-12.50,44,-4.35,8,-27.27,4,0.00,11,-21.43
1999M02,376,13.25,22,266.67,-,--,26,36.84,3,-25.00,2,--,3,200.00,6,20.00,6,0.00,9,-43.75,4,-33.33,6,20.00,1,0.00,4,--,23,-8.00,2,-60.00,5,-58.33,73,-2.67,56,21.74,85,34.92,21,31.25,7,-12.50,12,-7.69,221,-18.15,6,-25.00,-,--,10,-47.37,5,-16.67,1,-75.00,3,200.00,4,-20.00,5,25.00,4,-50.00,1,-75.00,2,-75.00,-,--,1,-66.67,24,4.35,1,-80.00,6,-14.29,52,-1.89,24,-36.84,53,29.27,5,-37.50,4,-50.00,10,-41.18
1999M03,465,-8.28,25,66.67,-,--,18,-28.00,8,-38.46,-,--,2,0.00,4,-20.00,5,-37.50,19,-13.64,3,0.00,8,-27.27,-,--,5,150.00,24,-41.46,7,-22.22,13,0.00,84,-24.32,76,22.58,97,-11.01,33,32.00,14,366.67,20,-20.00,261,-3.69,10,0.00,-,--,24,140.00,4,-55.56,-,--,6,-33.33,6,200.00,2,-71.43,3,-62.50,4,0.00,4,-20.00,-,--,3,0.00,23,-28.12,7,600.00,9,0.00,44,7.32,31,-29.55,53,39.47,12,-29.41,4,300.00,12,-25.00
