期間,證券投資--小計_原始值,證券投資--小計_年增率(%),證券投資--政府債券_原始值,證券投資--政府債券_年增率(%),證券投資--金融機構債券_原始值,證券投資--金融機構債券_年增率(%),證券投資--公司債_原始值,證券投資--公司債_年增率(%),證券投資--可轉讓定期存單_原始值,證券投資--可轉讓定期存單_年增率(%),證券投資--商業本票_原始值,證券投資--商業本票_年增率(%),證券投資--承兌匯票_原始值,證券投資--承兌匯票_年增率(%),存放銀行_原始值,存放銀行_年增率(%),庫存現金_原始值,庫存現金_年增率(%),資產合計(淨額)=負債合計(淨額)_原始值,資產合計(淨額)=負債合計(淨額)_年增率(%),借入款_原始值,借入款_年增率(%),淨值_原始值,淨值_年增率(%),其他項目(淨額)_原始值,其他項目(淨額)_年增率(%),保證_原始值,保證_年增率(%),附買回交易_原始值,附買回交易_年增率(%)
2001M05,"968,773",2.81,"379,386",8.69,70,-90.03,"8,158",-41.32,"95,422",45.50,"483,804",-5.30,"1,933",-13.51,"59,823",12.57,-,-,"1,028,601",3.33,"83,589",18.47,"129,198",1.04,"815,814",2.35,"601,158",-7.69,"849,659",2.65
2001M06,"1,011,588",8.76,"375,952",9.47,70,-89.96,"7,102",-42.48,"130,317",68.91,"496,066",0.32,"2,081",2.21,"70,765",37.20,-,-,"1,082,356",10.25,"93,374",72.49,"129,658",0.54,"859,324",7.60,"593,638",-8.01,"892,056",7.70
2001M07,"932,864",-2.84,"360,797",1.77,70,-89.94,"6,285",-47.80,"120,124",51.03,"443,375",-13.22,"2,213",-6.82,"65,579",47.60,-,-,"998,448",-0.61,"99,205",41.82,"131,040",1.07,"768,203",-4.56,"599,966",-7.51,"807,489",-3.44
2001M08,"946,026",-2.83,"380,957",5.77,470,-29.85,"5,900",-49.36,"117,976",28.01,"438,508",-13.48,"2,215",7.63,"61,736",23.16,-,-,"1,007,767",-1.56,"78,633",23.77,"124,190",-4.88,"804,944",-2.97,"588,385",-10.52,"840,504",-2.43
2001M09,"955,148",0.42,"382,043",2.46,430,-8.51,"5,160",-53.31,"107,138",19.49,"458,506",-3.51,"1,871",-0.48,"61,689",33.68,-,-,"1,016,842",1.96,"89,906",39.03,"126,009",-4.14,"800,927",-0.03,"575,011",-11.73,"838,117",0.46
2001M10,"948,542",-0.80,"385,443",4.16,430,152.94,"4,680",-55.50,"96,332",5.54,"459,761",-4.64,"1,896",-10.23,"65,625",32.69,-,-,"1,014,172",0.84,"90,816",35.84,"127,243",-3.71,"796,113",-1.31,"579,084",-7.17,"833,422",-0.88
2001M11,"942,251",2.88,"405,297",12.16,430,152.94,"4,874",-52.62,"87,776",-3.86,"442,163",-1.93,"1,711",-9.99,"64,777",42.95,-,-,"1,007,033",4.76,"75,276",39.71,"128,157",-3.74,"803,600",3.80,"579,924",-6.54,"841,126",3.82
2001M12,"940,094",-2.59,"391,269",6.63,430,152.94,"4,363",-56.84,"84,995",-9.27,"457,083",-7.10,"1,954",-7.92,"67,320",40.90,-,-,"1,007,417",-0.53,"71,076",50.72,"127,211",-4.54,"809,130",-2.80,"564,175",-6.47,"845,834",-2.51
2002M01,"940,470",-0.82,"411,242",13.20,730,329.41,"4,092",-58.30,"88,533",-12.38,"433,728",-8.08,"2,145",4.48,"58,751",18.26,-,-,"999,226",0.13,"97,359",35.22,"128,112",-4.57,"773,755",-2.26,"580,186",-5.67,"810,724",-2.13
2002M02,"932,248",-5.97,"403,268",10.90,730,329.41,"4,062",-58.90,"87,607",-27.27,"434,324",-12.32,"2,257",12.74,"48,976",-16.34,-,-,"981,229",-6.55,"67,835",-25.70,"129,177",-4.66,"784,217",-4.74,"585,433",-7.05,"822,008",-4.38
2002M03,"956,487",-5.56,"388,529",4.35,"1,180","1,585.71","27,624",198.48,"82,826",-23.78,"454,141",-12.75,"2,187",10.01,"49,971",-18.62,-,-,"1,006,463",-6.31,"64,858",-36.18,"130,188",-4.99,"811,417",-2.89,"568,431",-10.42,"846,989",-2.75
2002M04,"938,210",-3.85,"426,557",16.59,"2,391","3,315.71","3,952",-54.91,"76,697",-23.20,"426,524",-14.60,"2,089",18.29,"51,745",-13.06,-,-,"989,960",-4.38,"80,383",17.67,"129,399",-5.37,"780,178",-6.03,"556,036",-11.56,"815,568",-5.71
2002M05,"950,612",-1.87,"462,776",21.98,"3,611","5,058.57","3,956",-51.51,"77,439",-18.85,"400,784",-17.16,"2,046",5.85,"49,525",-17.21,-,-,"1,000,142",-2.77,"79,254",-5.19,"129,981",0.61,"790,907",-3.05,"540,974",-10.01,"830,021",-2.31
2002M06,"965,133",-4.59,"419,633",11.62,"3,791","5,315.71","20,614",190.26,"81,545",-37.43,"437,384",-11.83,"2,166",4.08,"53,318",-24.65,-,-,"1,018,455",-5.90,"59,134",-36.67,"128,284",-1.06,"831,037",-3.29,"542,723",-8.58,"866,171",-2.90
2002M07,"975,349",4.55,"452,631",25.45,"9,017","12,781.43","4,533",-27.88,"68,366",-43.09,"438,829",-1.03,"1,973",-10.85,"52,385",-20.12,-,-,"1,027,739",2.93,"78,039",-21.34,"129,498",-1.18,"820,202",6.77,"526,581",-12.23,"860,032",6.51
2002M08,"964,390",1.94,"438,008",14.98,"10,418","2,116.60","4,543",-23.00,"77,414",-34.38,"432,017",-1.48,"1,990",-10.16,"53,791",-12.87,-,-,"1,018,186",1.03,"117,025",48.82,"126,608",1.95,"774,553",-3.78,"518,299",-11.91,"808,953",-3.75
2002M09,"951,051",-0.43,"442,315",15.78,"15,765","3,566.28","4,460",-13.57,"71,768",-33.01,"415,128",-9.46,"1,615",-13.68,"47,207",-23.48,-,-,"998,263",-1.83,"115,892",28.90,"128,453",1.94,"753,918",-5.87,"512,611",-10.85,"792,498",-5.44
2002M10,"916,969",-3.33,"459,022",19.09,"17,794","4,038.14","4,548",-2.82,"73,320",-23.89,"360,651",-21.56,"1,634",-13.82,"43,898",-33.11,-,-,"960,872",-5.26,"80,233",-11.65,"123,837",-2.68,"756,802",-4.94,"496,536",-14.25,"794,598",-4.66
2002M11,"932,995",-0.98,"456,430",12.62,"18,890","4,293.02","5,027",3.14,"76,364",-13.00,"374,446",-15.31,"1,838",7.42,"45,756",-29.36,-,-,"978,756",-2.81,"67,664",-10.11,"123,681",-3.49,"787,411",-2.01,"506,315",-12.69,"820,523",-2.45
2002M12,"951,388",1.20,"449,807",14.96,"18,777","4,266.74","5,677",30.12,"90,950",7.01,"384,480",-15.88,"1,697",-13.15,"47,328",-29.70,-,-,"998,719",-0.86,"61,315",-13.73,"124,228",-2.34,"813,176",0.50,"517,921",-8.20,"842,021",-0.45
2003M01,"962,823",2.38,"468,396",13.90,"18,851","2,482.33","5,691",39.08,"85,891",-2.98,"382,038",-11.92,"1,956",-8.81,"48,634",-17.22,"66,485",-,"1,077,941",7.88,"93,460",-4.00,"126,071",-1.59,"37,840",-95.11,"530,563",-8.55,"820,570",1.21
2003M02,"944,525",1.32,"483,906",20.00,"19,086","2,514.52","5,664",39.44,"75,663",-13.63,"358,434",-17.47,"1,772",-21.49,"47,275",-3.47,"56,271",-,"1,048,070",6.81,"111,599",64.52,"127,809",-1.06,"28,453",-96.37,"507,243",-13.36,"780,209",-5.08
2003M03,"967,917",1.19,"507,399",30.59,"19,128","1,521.02","5,581",-79.80,"78,003",-5.82,"356,321",-21.54,"1,485",-32.10,"44,721",-10.51,"60,025",-,"1,072,662",6.58,"73,036",12.61,"126,723",-2.66,"34,965",-95.69,"494,641",-12.98,"837,938",-1.07
2003M04,"964,075",2.76,"510,578",19.70,"19,945",734.17,"5,377",36.06,"82,737",7.88,"343,890",-19.37,"1,548",-25.90,"46,703",-9.74,"64,226",-,"1,075,003",8.59,"74,918",-6.80,"127,663",-1.34,"40,032",-94.87,"503,369",-9.47,"832,390",2.06
2003M05,"963,520",1.36,"508,152",9.81,"21,259",488.73,"5,521",39.56,"84,436",9.04,"342,521",-14.54,"1,631",-20.28,"51,417",3.82,"55,997",-,"1,070,934",7.08,"82,807",4.48,"128,661",-1.02,"33,275",-95.79,"489,027",-9.60,"826,191",-0.46
2003M06,"997,915",3.40,"518,852",23.64,"24,132",536.56,"6,676",-67.61,"87,221",6.96,"359,249",-17.86,"1,785",-17.59,"46,026",-13.68,"48,954",-,"1,092,895",7.31,"71,325",20.62,"130,094",1.41,"32,557",-96.08,"495,320",-8.73,"858,919",-0.84
2003M07,"990,955",1.60,"512,345",13.19,"23,738",163.26,"6,821",50.47,"88,458",29.39,"357,712",-18.48,"1,881",-4.66,"45,580",-12.99,"57,290",-,"1,093,824",6.43,"59,576",-23.66,"131,087",1.23,"40,176",-95.10,"508,872",-3.36,"862,985",0.34
2003M08,"979,071",1.52,"519,528",18.61,"26,404",153.45,"7,176",57.96,"91,874",18.68,"332,250",-23.09,"1,839",-7.59,"52,223",-2.91,"63,735",-,"1,095,028",7.55,"70,437",-39.81,"132,102",4.34,"49,348",-93.63,"482,715",-6.87,"843,141",4.23
2003M09,"998,471",4.99,"526,381",19.01,"28,363",79.91,"7,227",62.04,"99,300",38.36,"335,400",-19.21,"1,800",11.46,"57,328",21.44,"67,109",-,"1,122,908",12.49,"77,818",-32.85,"133,126",3.64,"53,452",-92.91,"478,152",-6.72,"858,512",8.33
2003M10,"1,041,332",13.56,"527,465",14.91,"27,639",55.33,"7,219",58.73,"113,715",55.09,"363,694",0.84,"1,600",-2.08,"64,667",47.31,"75,466",-,"1,181,465",22.96,"82,751",3.14,"134,081",8.27,"63,420",-91.62,"472,745",-4.79,"901,213",13.42
2003M11,"1,044,425",11.94,"531,580",16.46,"29,586",56.62,"7,649",52.16,"123,765",62.07,"350,287",-6.45,"1,558",-15.23,"59,133",29.24,"80,452",-,"1,184,009",20.97,"84,006",24.15,"135,222",9.33,"66,513",-91.55,"481,665",-4.87,"898,268",9.48
2003M12,"1,008,211",5.97,"507,876",12.91,"30,321",61.48,"8,800",55.01,"128,808",41.63,"330,758",-13.97,"1,648",-2.89,"65,966",39.38,"64,263",-,"1,138,440",13.99,"73,814",20.38,"135,656",9.20,"55,840",-93.13,"490,416",-5.31,"873,130",3.69
2004M01,"927,506",-3.67,"450,075",-3.91,"28,990",53.78,"8,949",57.25,"121,066",40.95,"317,012",-17.02,"1,414",-27.71,"70,981",45.95,"54,551",-17.95,"1,053,038",-2.31,"65,325",-30.10,"136,976",8.65,"-8,749",--,"488,070",-8.01,"859,486",4.74
