期間,義務機關(構)數(個)_原始值,義務機關(構)數(個)_年增率(%),義務機關(構)數(個)_原始值,義務機關(構)數(個)_年增率(%),義務機關(構)數(個)_原始值,義務機關(構)數(個)_年增率(%),法定進用人數(人)_原始值,法定進用人數(人)_年增率(%),法定進用人數(人)_原始值,法定進用人數(人)_年增率(%),法定進用人數(人)_原始值,法定進用人數(人)_年增率(%),實際進用人數(人)_原始值,實際進用人數(人)_年增率(%),實際進用人數(人)_原始值,實際進用人數(人)_年增率(%),實際進用人數(人)_原始值,實際進用人數(人)_年增率(%),未達法定進用機關(構)數(個)_原始值,未達法定進用機關(構)數(個)_年增率(%),未達法定進用機關(構)數(個)_原始值,未達法定進用機關(構)數(個)_年增率(%),未達法定進用機關(構)數(個)_原始值,未達法定進用機關(構)數(個)_年增率(%)
2006M01,"9,609",...,"3,507",...,"6,102",...,"34,342",...,"13,003",...,"21,339",...,"46,482",...,"18,150",...,"28,332",...,"1,085",...,55,...,"1,030",...
2006M02,"9,585",...,"3,475",...,"6,110",...,"34,250",...,"12,781",...,"21,469",...,"46,445",...,"17,896",...,"28,549",...,"1,104",...,64,...,"1,040",...
2006M03,"9,576",...,"3,476",...,"6,100",...,"34,108",...,"12,770",...,"21,338",...,"46,411",...,"17,820",...,"28,591",...,"1,080",...,55,...,"1,025",...
2006M04,"9,568",...,"3,487",...,"6,081",...,"34,062",...,"12,775",...,"21,287",...,"46,632",...,"17,947",...,"28,685",...,"1,064",...,45,...,"1,019",...
2006M05,"9,610",...,"3,488",...,"6,122",...,"34,154",...,"12,734",...,"21,420",...,"47,129",...,"18,037",...,"29,092",...,"1,051",...,37,...,"1,014",...
2006M06,"9,634",...,"3,488",...,"6,146",...,"34,145",...,"12,760",...,"21,385",...,"46,897",...,"17,977",...,"28,920",...,"1,070",...,40,...,"1,030",...
2006M07,"9,622",...,"3,451",...,"6,171",...,"34,064",...,"12,596",...,"21,468",...,"46,844",...,"17,818",...,"29,026",...,"1,078",...,52,...,"1,026",...
2006M08,"9,619",...,"3,400",...,"6,219",...,"34,127",...,"12,368",...,"21,759",...,"46,893",...,"17,675",...,"29,218",...,"1,077",...,53,...,"1,024",...
2006M09,"9,656",...,"3,451",...,"6,205",...,"34,272",...,"12,663",...,"21,609",...,"46,939",...,"17,895",...,"29,044",...,"1,055",...,49,...,"1,006",...
2006M10,"9,729",...,"3,486",...,"6,243",...,"34,467",...,"12,769",...,"21,698",...,"47,499",...,"18,091",...,"29,408",...,"1,065",...,51,...,"1,014",...
2006M11,"9,718",...,"3,496",...,"6,222",...,"34,547",...,"12,818",...,"21,729",...,"47,586",...,"18,171",...,"29,415",...,"1,039",...,49,...,990,...
2006M12,"9,715",...,"3,498",...,"6,217",...,"34,714",...,"12,962",...,"21,752",...,"48,120",...,"18,436",...,"29,684",...,"1,019",...,47,...,972,...
2007M01,"9,697",0.92,"3,491",-0.46,"6,206",1.70,"34,797",1.32,"12,950",-0.41,"21,847",2.38,"48,759",4.90,"18,745",3.28,"30,014",5.94,"1,042",-3.96,56,1.82,986,-4.27
2007M02,"9,674",0.93,"3,456",-0.55,"6,218",1.77,"34,775",1.53,"12,818",0.29,"21,957",2.27,"48,999",5.50,"18,759",4.82,"30,240",5.92,"1,020",-7.61,43,-32.81,977,-6.06
2007M03,"9,634",0.61,"3,477",0.03,"6,157",0.93,"34,578",1.38,"12,910",1.10,"21,668",1.55,"48,795",5.14,"18,810",5.56,"29,985",4.88,"1,008",-6.67,44,-20.00,964,-5.95
2007M04,"9,669",1.06,"3,465",-0.63,"6,204",2.02,"34,598",1.57,"12,786",0.09,"21,812",2.47,"48,903",4.87,"18,668",4.02,"30,235",5.40,"1,008",-5.26,45,0.00,963,-5.50
2007M05,"9,617",0.07,"3,469",-0.54,"6,148",0.42,"34,473",0.93,"12,783",0.38,"21,690",1.26,"49,485",5.00,"18,917",4.88,"30,568",5.07,"1,008",-4.09,58,56.76,950,-6.31
2007M06,"9,645",0.11,"3,474",-0.40,"6,171",0.41,"34,510",1.07,"12,743",-0.13,"21,767",1.79,"48,147",2.67,"18,492",2.86,"29,655",2.54,"1,055",-1.40,57,42.50,998,-3.11
2007M07,"9,599",-0.24,"3,417",-0.99,"6,182",0.18,"34,401",0.99,"12,491",-0.83,"21,910",2.06,"47,128",0.61,"17,954",0.76,"29,174",0.51,"1,091",1.21,68,30.77,"1,023",-0.29
2007M08,"9,613",-0.06,"3,368",-0.94,"6,245",0.42,"34,454",0.96,"12,267",-0.82,"22,187",1.97,"47,137",0.52,"17,817",0.80,"29,320",0.35,"1,101",2.23,69,30.19,"1,032",0.78
2007M09,"9,673",0.18,"3,447",-0.12,"6,226",0.34,"34,772",1.46,"12,546",-0.92,"22,226",2.86,"47,383",0.95,"18,046",0.84,"29,337",1.01,"1,100",4.27,75,53.06,"1,025",1.89
2007M10,"9,754",0.26,"3,484",-0.06,"6,270",0.43,"35,041",1.67,"12,677",-0.72,"22,364",3.07,"47,738",0.50,"18,217",0.70,"29,521",0.38,"1,103",3.57,67,31.37,"1,036",2.17
2007M11,"9,771",0.55,"3,488",-0.23,"6,283",0.98,"35,142",1.72,"12,759",-0.46,"22,383",3.01,"47,949",0.76,"18,318",0.81,"29,631",0.73,"1,102",6.06,74,51.02,"1,028",3.84
2007M12,"9,800",0.87,"3,486",-0.34,"6,314",1.56,"35,312",1.72,"12,809",-1.18,"22,503",3.45,"48,395",0.57,"18,403",-0.18,"29,992",1.04,"1,059",3.93,61,29.79,998,2.67
2008M01,"9,977",2.89,"3,539",1.37,"6,438",3.74,"35,836",2.99,"13,126",1.36,"22,710",3.95,"49,816",2.17,"19,884",6.08,"29,932",-0.27,"1,025",-1.63,38,-32.14,987,0.10
