期間,本國銀行_原始值,本國銀行_年增率(%),本國銀行_原始值,本國銀行_年增率(%),外國銀行在台分行_原始值,外國銀行在台分行_年增率(%),外國銀行在台分行_原始值,外國銀行在台分行_年增率(%),信託投資公司_原始值,信託投資公司_年增率(%),信託投資公司_原始值,信託投資公司_年增率(%),票券金融公司_原始值,票券金融公司_年增率(%),票券金融公司_原始值,票券金融公司_年增率(%),中華郵政公司_原始值,中華郵政公司_年增率(%),中華郵政公司_原始值,中華郵政公司_年增率(%),信用合作社_原始值,信用合作社_年增率(%),信用合作社_原始值,信用合作社_年增率(%)
2010M01,"216,292",45.26,"165,053",5.27,"34,309",-24.11,"124,549",233.27,-,-,-,-,"25,075",-18.20,"3,263",120.32,"25,715","171,333.33","8,526",-70.74,-,-,-,-
2010M02,"217,967",68.95,"100,024",-54.30,"37,028",-49.81,"183,883",405.52,-,-,-,-,"19,183",-55.31,"1,260",129.09,"25,215",-36.99,"14,226",-52.48,-,-,-,-
2010M03,"156,573",231.84,"114,665",-24.12,"35,202",-46.70,"126,092",352.09,-,-,-,-,"18,717",-44.01,"1,175",-14.23,"37,665",-11.00,"6,225",-27.62,-,-,-,-
2010M04,"190,484",173.87,"206,511",5.83,"32,667",-37.76,"95,978",149.22,-,-,-,-,"26,334",-32.87,685,-65.75,"58,515",-23.33,"4,826",150.05,-,-,-,-
2010M05,"192,252",-30.21,"191,638",-31.19,"45,329",-0.70,"112,049",-23.18,-,-,-,-,"28,266",-44.25,"2,650",430.00,"42,815",-28.04,"2,325",-64.07,-,-,-,-
2010M06,"186,699",-22.24,"208,271",42.30,"18,137",-24.07,"59,832",-68.24,-,-,-,-,"26,768",19.23,"1,790",116.18,"42,515",-16.50,"4,226",138.08,-,-,-,-
2010M07,"234,049",17.40,"205,853",15.93,"11,730",-63.46,"97,710",-21.58,-,-,-,-,"35,871",8.66,"2,926",118.36,"34,615",-11.50,"9,776","11,969.14",-,-,-,-
2010M08,"256,454",37.53,"243,643",79.63,"23,956",-2.50,"124,129",-7.99,-,-,-,-,"30,748",39.16,975,5.63,"69,015",59.70,"11,426",133.66,-,-,-,-
2010M09,"154,126",-30.66,"146,330",-11.83,"14,993",-53.08,"82,023",-36.45,-,-,-,-,"38,049",27.42,"1,105",20.90,"26,615",-9.21,"4,325",-75.21,-,-,-,-
2010M10,"180,612",-23.09,"180,471",11.72,"16,147",-32.85,"91,595",-40.78,-,-,-,-,"35,258",22.64,640,-16.67,"42,215",11.93,"1,526",-81.82,-,-,-,-
2010M11,"206,409",3.51,"242,043",134.04,"21,579",0.18,"89,855",-39.57,-,-,-,-,"40,261",30.16,440,-70.61,"68,815",143.46,"4,726",-82.19,-,-,-,-
2010M12,"159,579",9.08,"140,702",70.53,"11,128",-15.12,"76,195",-21.58,-,-,-,-,"19,470",-23.47,"1,370",-36.87,"39,755",203.13,"11,665",-27.66,-,-,-,-
2011M01,"153,325",-29.11,"148,879",-9.80,"18,035",-47.43,"73,600",-40.91,-,-,-,-,"39,899",59.12,"1,000",-69.35,"36,115",40.44,"23,895",180.26,-,-,-,-
2011M02,"162,850",-25.29,"144,015",43.98,"9,850",-73.40,"85,475",-53.52,-,-,-,-,"49,930",160.28,30,-97.62,"23,915",-5.16,"17,025",19.68,-,-,-,-
2011M03,"183,545",17.23,"150,295",31.07,"12,605",-64.19,"91,792",-27.20,-,-,-,-,"31,257",67.00,720,-38.72,"20,655",-45.16,"5,255",-15.58,-,-,-,-
2011M04,"166,367",-12.66,"131,427",-36.36,"17,965",-45.01,"100,750",4.97,-,-,-,-,"36,335",37.98,-,-,"18,615",-68.19,"7,105",47.22,-,-,-,-
2011M05,"108,383",-43.62,"89,322",-53.39,"11,715",-74.16,"81,142",-27.58,-,-,-,-,"34,166",20.87,-,-,"16,515",-61.43,315,-86.45,-,-,-,-
2011M06,"126,769",-32.10,"121,236",-41.79,"5,700",-68.57,"57,600",-3.73,-,-,-,-,"23,047",-13.90,380,-78.77,"32,815",-22.82,"9,115",115.69,-,-,-,-
2011M07,"189,178",-19.17,"147,377",-28.41,"7,800",-33.50,"71,890",-26.43,-,-,-,-,"25,759",-28.19,"2,470",-15.58,"7,015",-79.73,"8,015",-18.01,-,-,-,-
2011M08,"152,133",-40.68,"120,137",-50.69,"10,004",-58.24,"79,380",-36.05,-,-,-,-,"24,310",-20.94,630,-35.38,"16,715",-75.78,"3,015",-73.61,-,-,-,-
2011M09,"167,928",8.96,"159,893",9.27,"15,510",3.45,"49,360",-39.82,-,-,-,-,"39,925",4.93,"1,410",27.60,"3,015",-88.67,"15,715",263.35,-,-,-,-
2011M10,"112,874",-37.50,"94,484",-47.65,"13,170",-18.44,"62,914",-31.31,-,-,-,-,"27,494",-22.02,-,-,"7,915",-81.25,"4,055",165.73,-,-,-,-
2011M11,"203,282",-1.51,"173,423",-28.35,"9,903",-54.11,"63,625",-29.19,-,-,-,-,"26,748",-33.56,85,-80.68,"5,615",-91.84,"8,415",78.06,-,-,-,-
2011M12,"125,764",-21.19,"91,146",-35.22,"6,266",-43.69,"61,210",-19.67,-,-,-,-,"20,031",2.88,130,-90.51,"10,715",-73.05,"10,290",-11.79,-,-,-,-
2012M01,"120,798",-21.21,"108,290",-27.26,"13,211",-26.75,"55,000",-25.27,-,-,-,-,"20,271",-49.19,90,-91.00,"11,315",-68.67,"2,215",-90.73,-,-,-,-
2012M02,"150,931",-7.32,"148,764",3.30,"10,866",10.31,"61,563",-27.98,-,-,-,-,"38,560",-22.77,30,0.00,"10,015",-58.12,15,-99.91,-,-,-,-
2012M03,"172,335",-6.11,"142,603",-5.12,"11,827",-6.17,"77,320",-15.77,-,-,-,-,"22,496",-28.03,65,-90.97,"20,265",-1.89,"6,935",31.97,-,-,-,-
2012M04,"137,525",-17.34,"99,046",-24.64,"9,452",-47.39,"84,430",-16.20,-,-,-,-,"28,469",-21.65,140,-,"17,315",-6.98,"9,145",28.71,-,-,-,-
2012M05,"114,200",5.37,"95,787",7.24,"9,118",-22.17,"75,640",-6.78,-,-,-,-,"39,229",14.82,20,-,"15,615",-5.45,"6,715","2,031.75",-,-,-,-
2012M06,"131,671",3.87,"95,222",-21.46,"18,091",217.39,"77,740",34.97,-,-,-,-,"25,800",11.95,300,-21.05,"6,815",-79.23,"9,115",0.00,-,-,-,-
2012M07,"190,441",0.67,"176,732",19.92,"16,895",116.60,"93,563",30.15,-,-,-,-,"50,659",96.67,-,-,"19,315",175.34,"7,015",-12.48,-,-,-,-
2012M08,"182,307",19.83,"208,394",73.46,"17,948",79.41,"52,710",-33.60,-,-,-,-,"53,749",121.10,-,-,"7,515",-55.04,415,-86.24,-,-,-,-
2012M09,"121,200",-27.83,"137,094",-14.26,"15,160",-2.26,"55,685",12.81,-,-,-,-,"53,999",35.25,-,-,"11,915",295.19,"9,495",-39.58,-,-,-,-
