期間,放款_原始值,放款_年增率(%),投資--對非金融機構證券投資--政府機關_原始值,投資--對非金融機構證券投資--政府機關_年增率(%),投資--對非金融機構證券投資--公營事業_原始值,投資--對非金融機構證券投資--公營事業_年增率(%),投資--對非金融機構證券投資--民營事業_原始值,投資--對非金融機構證券投資--民營事業_年增率(%),投資---對金融機構投資_原始值,投資---對金融機構投資_年增率(%),投資--不動產投資_原始值,投資--不動產投資_年增率(%),對金融機構債權_原始值,對金融機構債權_年增率(%),庫存現金_原始值,庫存現金_年增率(%),資產合計(淨額)=負債合計(淨額)_原始值,資產合計(淨額)=負債合計(淨額)_年增率(%),各項準備_原始值,各項準備_年增率(%),淨值_原始值,淨值_年增率(%),其他項目(淨額)_原始值,其他項目(淨額)_年增率(%)
2005,"5,092",-8.27,"22,817",-2.95,37,-97.25,"56,943",0.79,"11,260",11.05,"19,079",-2.18,"31,010",-2.23,143,1.42,"146,381",-1.37,"100,599",6.20,"76,289",-2.16,"-30,507",--
2006,"6,318",24.08,"20,232",-11.33,-,-,"50,549",-11.23,"9,859",-12.44,"17,447",-8.55,"31,177",0.54,144,0.70,"135,726",-7.28,"104,636",4.01,"73,120",-4.15,"-42,030",--
2007,"2,918",-53.81,"20,978",3.69,-,-,"53,225",5.29,"8,170",-17.13,"16,697",-4.30,"36,407",16.78,137,-4.86,"138,532",2.07,"112,776",7.78,"67,451",-7.75,"-41,695",--
2008,"2,028",-30.50,"26,486",26.26,-,-,"45,990",-13.59,"8,728",6.83,"16,960",1.58,"34,900",-4.14,124,-9.49,"135,216",-2.39,"158,448",40.50,"55,117",-18.29,"-78,349",--
