期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),住宅_原始值,住宅_年增率(%),住宅_原始值,住宅_年增率(%),住宅_原始值,住宅_年增率(%),其他_原始值,其他_年增率(%),其他_原始值,其他_年增率(%),其他_原始值,其他_年增率(%)
2007M03,184,10.84,310,8.01,"246,306",15.03,102,37.84,224,42.68,"28,312",7.46,82,-10.87,86,-33.85,"217,994",16.10
2007M04,182,1.11,290,16.47,"211,995",61.49,111,16.84,221,27.01,"45,222",62.22,71,-16.47,69,-8.00,"166,773",61.30
2007M05,214,14.44,328,51.15,"224,761",61.38,109,18.48,182,38.93,"34,131",93.49,105,10.53,146,69.77,"190,630",56.72
2007M06,172,7.50,289,29.02,"217,065",120.66,93,0.00,203,23.03,"38,407",67.40,79,17.91,86,45.76,"178,658",136.87
2007M07,205,5.67,397,44.36,"184,303",136.46,107,-16.41,217,6.90,"32,793",24.45,98,48.48,180,150.00,"151,510",193.68
2007M08,196,-25.76,419,2.20,"207,742",3.38,93,-47.75,289,8.65,"38,298",-16.69,103,19.77,130,-9.72,"169,444",9.33
2007M09,134,8.06,301,31.44,"130,452",19.41,56,-17.65,165,-5.17,"25,620",-28.43,78,39.29,136,147.27,"104,832",42.72
2007M10,165,17.02,302,53.30,"251,150",109.85,79,12.86,160,56.86,"26,792",29.41,86,21.13,142,49.47,"224,358",126.67
2007M11,175,0.57,416,96.23,"210,343",19.74,101,5.21,199,68.64,"31,854",-4.16,74,-5.13,217,130.85,"178,489",25.32
2007M12,168,-17.24,389,12.75,"173,716",-21.28,88,-3.30,230,19.17,"37,410",-1.49,80,-28.57,159,4.61,"136,306",-25.39
2008M01,199,-2.45,343,-37.86,"168,963",-23.82,88,-21.43,152,-66.52,"23,002",-62.50,111,20.65,191,94.90,"145,961",-9.03
2008M02,81,-40.88,136,-24.44,"78,726",-29.42,44,-43.59,62,-40.38,"10,973",-40.38,37,-37.29,74,-2.63,"67,753",-27.25
2008M03,130,-29.35,306,-1.29,"164,101",-33.38,63,-38.24,207,-7.59,"25,347",-10.47,67,-18.29,99,15.12,"138,754",-36.35
2008M04,185,1.65,553,90.69,"188,804",-10.94,107,-3.60,446,101.81,"59,227",30.97,78,9.86,107,55.07,"129,577",-22.30
2008M05,158,-26.17,404,23.17,"205,400",-8.61,85,-22.02,326,79.12,"47,287",38.55,73,-30.48,78,-46.58,"158,113",-17.06
2008M06,150,-12.79,400,38.41,"234,200",7.89,70,-24.73,275,35.47,"41,577",8.25,80,1.27,125,45.35,"192,623",7.82
2008M07,158,-22.93,239,-39.80,"140,274",-23.89,74,-30.84,135,-37.79,"22,933",-30.07,84,-14.29,104,-42.22,"117,341",-22.55
2008M08,145,-26.02,191,-54.42,"105,576",-49.18,66,-29.03,103,-64.36,"20,832",-45.61,79,-23.30,88,-32.31,"84,744",-49.99
2008M09,130,-2.99,290,-3.65,"138,614",6.26,64,14.29,221,33.94,"38,222",49.19,66,-15.38,69,-49.26,"100,392",-4.24
2008M10,169,2.42,251,-16.89,"261,883",4.27,81,2.53,141,-11.88,"21,666",-19.13,88,2.33,110,-22.54,"240,217",7.07
2008M11,118,-32.57,503,20.91,"132,553",-36.98,58,-42.57,387,94.47,"50,229",57.69,60,-18.92,116,-46.54,"82,324",-53.88
2008M12,129,-23.21,396,1.80,"115,149",-33.71,63,-28.41,308,33.91,"27,609",-26.20,66,-17.50,88,-44.65,"87,540",-35.78
2009M01,94,-52.76,125,-63.56,"124,603",-26.25,46,-47.73,76,-50.00,"13,381",-41.83,48,-56.76,49,-74.35,"111,222",-23.80
2009M02,95,17.28,180,32.35,"53,188",-32.44,42,-4.55,101,62.90,"10,818",-1.41,53,43.24,79,6.76,"42,370",-37.46
2009M03,115,-11.54,389,27.12,"99,235",-39.53,63,0.00,310,49.76,"53,162",109.74,52,-22.39,79,-20.20,"46,073",-66.80
2009M04,122,-34.05,191,-65.46,"84,780",-55.10,62,-42.06,92,-79.37,"14,217",-76.00,60,-23.08,99,-7.48,"70,563",-45.54
2009M05,129,-18.35,245,-39.36,"122,648",-40.29,68,-20.00,173,-46.93,"28,548",-39.63,61,-16.44,72,-7.69,"94,100",-40.49
2009M06,178,18.67,552,38.00,"122,841",-47.55,77,10.00,361,31.27,"39,704",-4.50,101,26.25,191,52.80,"83,137",-56.84
2009M07,169,6.96,431,80.33,"136,857",-2.44,95,28.38,211,56.30,"32,543",41.90,74,-11.90,220,111.54,"104,314",-11.10
2009M08,126,-13.10,170,-10.99,"98,337",-6.86,59,-10.61,92,-10.68,"18,428",-11.54,67,-15.19,78,-11.36,"79,909",-5.71
2009M09,154,18.46,225,-22.41,"111,071",-19.87,62,-3.12,114,-48.42,"18,824",-50.75,92,39.39,111,60.87,"92,247",-8.11
2009M10,167,-1.18,288,14.74,"93,355",-64.35,88,8.64,177,25.53,"20,173",-6.89,79,-10.23,111,0.91,"73,182",-69.54
2009M11,202,71.19,409,-18.69,"256,273",93.34,103,77.59,256,-33.85,"41,917",-16.55,99,65.00,153,31.90,"214,356",160.38
2009M12,221,71.32,665,67.93,"282,174",145.05,111,76.19,523,69.81,"61,312",122.07,110,66.67,142,61.36,"220,862",152.30
2010M01,183,94.68,418,234.40,"159,876",28.31,86,86.96,274,260.53,"64,135",379.30,97,102.08,144,193.88,"95,741",-13.92
2010M02,156,64.21,354,96.67,"94,624",77.90,73,73.81,230,127.72,"26,299",143.10,83,56.60,124,56.96,"68,325",61.26
2010M03,187,62.61,368,-5.40,"238,235",140.07,104,65.08,253,-18.39,"40,438",-23.93,83,59.62,115,45.57,"197,797",329.31
2010M04,200,63.93,394,106.28,"140,460",65.68,106,70.97,291,216.30,"51,531",262.46,94,56.67,103,4.04,"88,929",26.03
2010M05,186,44.19,729,197.55,"170,883",39.33,94,38.24,617,256.65,"75,969",166.11,92,50.82,112,55.56,"94,914",0.87
2010M06,237,33.15,648,17.39,"185,136",50.71,138,79.22,514,42.38,"64,110",61.47,99,-1.98,134,-29.84,"121,026",45.57
2010M07,200,18.34,361,-16.24,"177,344",29.58,95,0.00,201,-4.74,"43,814",34.63,105,41.89,160,-27.27,"133,530",28.01
2010M08,172,36.51,381,124.12,"190,381",93.60,90,52.54,254,176.09,"40,228",118.30,82,22.39,127,62.82,"150,153",87.90
2010M09,190,23.38,422,87.56,"376,232",238.73,102,64.52,322,182.46,"38,746",105.83,88,-4.35,100,-9.91,"337,486",265.85
