期間,店頭市場契約-遠期契約_原始值,店頭市場契約-遠期契約_年增率(%),店頭市場契約-交換_原始值,店頭市場契約-交換_年增率(%),店頭市場契約-買入選擇權_原始值,店頭市場契約-買入選擇權_年增率(%),店頭市場契約-賣出選擇權_原始值,店頭市場契約-賣出選擇權_年增率(%),交易所契約-期貨-長部位_原始值,交易所契約-期貨-長部位_年增率(%),交易所契約-期貨-短部位_原始值,交易所契約-期貨-短部位_年增率(%),交易所契約-買入選擇權_原始值,交易所契約-買入選擇權_年增率(%),交易所契約-賣出選擇權_原始值,交易所契約-賣出選擇權_年增率(%),契約合計_原始值,契約合計_年增率(%)
2010Q1,"2,873",-18.38,"7,220",74.99,"65,996",-56.93,"65,996",-56.93,101,-44.81,0,--,80,5.26,42,-79.21,"142,308",-54.76
2010Q2,"4,129",68.26,"7,964",-49.05,"51,124",-62.20,"50,946",-62.33,189,"3,680.00",0,--,7,-89.39,30,30.43,"114,389",-60.38
2010Q3,"4,526",150.61,"5,004",-61.46,"31,766",-72.40,"30,905",-73.15,507,"4,509.09",0,--,71,2.90,120,37.93,"72,899",-70.27
2010Q4,"4,193",46.97,"4,178",-50.24,"11,795",-86.90,"11,356",-87.37,626,116.61,0,--,38,660.00,13,-71.74,"32,199",-83.19
2011Q1,"3,479",21.09,"11,024",52.69,"12,123",-81.63,"11,770",-82.17,21,-79.21,80,--,46,-42.50,143,240.48,"38,686",-72.82
2011Q2,"1,936",-53.11,"12,475",56.64,"26,175",-48.80,"25,973",-49.02,242,28.04,0,--,14,100.00,15,-50.00,"66,830",-41.58
2011Q3,"1,978",-56.30,"13,814",176.06,"44,272",39.37,"44,593",44.29,0,-100.00,348,--,72,1.41,175,45.83,"105,252",44.38
2011Q4,689,-83.57,"11,415",173.22,"45,863",288.83,"45,836",303.63,4,-99.36,0,--,15,-60.53,37,184.62,"103,859",222.55
2012Q1,"3,288",-5.49,"9,938",-9.85,"48,906",303.41,"49,672",322.02,120,471.43,11,-86.25,78,69.57,102,-28.67,"112,115",189.81
2012Q2,"1,040",-46.28,"14,987",20.14,"31,309",19.61,"32,180",23.90,124,-48.76,10,--,35,150.00,65,333.33,"79,750",19.33
2012Q3,964,-51.26,"13,594",-1.59,"16,670",-62.35,"17,809",-60.06,21,--,54,-84.48,95,31.94,256,46.29,"49,463",-53.01
2012Q4,464,-32.66,"13,360",17.04,"12,507",-72.73,"13,177",-71.25,62,"1,450.00",0,--,15,0.00,54,45.95,"39,639",-61.83
2013Q1,"1,332",-59.49,"14,224",43.13,"17,279",-64.67,"18,257",-63.24,91,-24.17,17,54.55,127,62.82,130,27.45,"51,457",-54.10
2013Q2,"2,625",152.40,"14,141",-5.64,"18,249",-41.71,"17,321",-46.17,"1,173",845.97,256,"2,460.00",42,20.00,74,13.85,"53,881",-32.44
2013Q3,"1,142",18.46,"13,979",2.83,"12,655",-24.09,"12,888",-27.63,332,"1,480.95",336,522.22,20,-78.95,356,39.06,"41,708",-15.68
2013Q4,876,88.79,"13,044",-2.37,"9,225",-26.24,"9,003",-31.68,11,-82.26,92,--,16,6.67,96,77.78,"32,363",-18.36
2014Q1,"1,430",7.36,"15,040",5.74,"8,267",-52.16,"8,644",-52.65,"1,095","1,103.30",903,"5,211.76",66,-48.03,36,-72.31,"35,481",-31.05
2014Q2,589,-77.56,"9,602",-32.10,"9,300",-49.04,"9,915",-42.76,466,-60.27,162,-36.72,59,40.48,9,-87.84,"30,102",-44.13
